massloading(kg/m2)	area(sqkm)	sqrtA(km)	dist_from_vent(m)	x(m)	y(m)	dir(deg)	Mean(phi)	F(percent)
7.7694e+01	1.0	1.0	3887.3228	2259.80	-3163.00	147.2	-0.4950	19.7837
2.5438e+01	4.0	2.0	8651.6245	5635.99	-6564.01	135.6	0.0493	32.6576
1.2099e+01	9.0	3.0	13761.2532	10037.00	-9414.39	132.4	0.3961	46.4021
6.9175e+00	16.0	4.0	19677.0621	15180.75	-12519.25	130.1	0.8207	76.9140
4.5247e+00	25.0	5.0	26919.0994	21037.00	-16795.31	128.4	1.2006	97.0571
3.1478e+00	36.0	6.0	34334.7046	27037.00	-21163.00	128.1	1.6713	99.7944
2.2451e+00	49.0	7.0	41799.2517	33537.00	-24948.89	126.3	1.8981	99.9823
1.6403e+00	64.0	8.0	49339.4447	39075.53	-30124.47	127.7	2.0555	99.9996
1.1995e+00	81.0	9.0	57034.3127	45537.00	-34340.86	126.9	2.2677	100.0000
8.6982e-01	100.0	10.0	63146.5260	51037.00	-37184.79	126.1	2.3587	100.0000
6.3004e-01	121.0	11.0	69394.5635	56721.39	-39978.61	125.4	2.4397	100.0000
4.5727e-01	144.0	12.0	76079.0549	62894.34	-42805.66	124.6	2.5138	100.0000
3.3403e-01	169.0	13.0	83167.1891	69037.00	-46375.36	123.8	2.6222	100.0000
