massloading(kg/m2)	area(sqkm)	sqrtA(km)	dist_from_vent(m)	x(m)	y(m)	dir(deg)	Mean(phi)	F(percent)
1.1742e+03	0.0400	0.2000	167.1466	37.00	-163.00	167.2	-1.6971	4.0869
7.9289e+02	0.1200	0.3464	287.6421	237.00	-163.00	124.5	-1.6295	4.1048
5.6489e+02	0.2000	0.4472	433.5182	237.00	-363.00	146.9	-1.4402	6.5823
4.8248e+02	0.3200	0.5657	610.8502	237.00	-563.00	157.2	-1.2782	9.9892
4.3364e+02	0.4000	0.6325	712.6977	437.00	-563.00	142.2	-1.2399	10.0738
3.7999e+02	0.5600	0.7483	879.2827	437.00	-763.00	150.2	-1.1955	9.8979
3.1082e+02	0.7200	0.8485	993.9507	637.00	-763.00	140.1	-1.1402	10.6291
3.0918e+02	0.7600	0.8718	1057.5150	437.00	-963.00	155.6	-1.1292	10.6298
2.8294e+02	0.9200	0.9592	1154.6160	637.00	-963.00	146.5	-1.0681	11.5913
2.5313e+02	0.9600	0.9798	1242.3920	437.00	-1163.00	159.4	-1.1011	10.5321
2.4713e+02	1.0400	1.0198	1326.0234	637.00	-1163.00	151.3	-1.0112	12.3285
2.2640e+02	1.2800	1.1314	1432.8775	837.00	-1163.00	144.3	-0.9905	12.4763
2.1171e+02	1.4000	1.1832	1504.5059	637.00	-1363.00	155.0	-0.9692	12.8084
2.0150e+02	1.5200	1.2329	1599.4805	837.00	-1363.00	148.4	-0.9315	13.3711
1.8701e+02	1.7200	1.3115	1712.6407	1037.00	-1363.00	142.7	-0.9244	13.2352
1.8546e+02	1.7600	1.3266	1773.0025	837.00	-1563.00	151.8	-0.8957	13.7714
1.8310e+02	1.8000	1.3416	1875.7233	1037.00	-1563.00	146.4	-0.8884	13.6337
1.7083e+02	1.9600	1.4000	1993.2732	1237.00	-1563.00	141.6	-0.9026	13.0169
1.6776e+02	2.1600	1.4697	2045.3699	1037.00	-1763.00	149.5	-0.8546	13.9883
1.6365e+02	2.2400	1.4967	2153.6801	1237.00	-1763.00	144.9	-0.8643	13.4192
1.5032e+02	2.4800	1.5748	2320.2452	1237.00	-1963.00	147.8	-0.8136	14.2845
1.4349e+02	2.7200	1.6492	2432.7634	1437.00	-1963.00	143.8	-0.8171	13.9379
1.3512e+02	2.8800	1.6971	2491.7339	1237.00	-2163.00	150.2	-0.7683	15.1013
1.3434e+02	2.9200	1.7088	2596.8323	1437.00	-2163.00	146.4	-0.7731	14.6500
1.2709e+02	3.3200	1.8221	2712.6257	1637.00	-2163.00	142.9	-0.7745	14.3844
1.2330e+02	3.4400	1.8547	2765.6352	1437.00	-2363.00	148.7	-0.7335	15.3209
1.1941e+02	3.6800	1.9183	2874.6370	1637.00	-2363.00	145.3	-0.7184	15.5114
1.1229e+02	3.9200	1.9799	2993.0483	1837.00	-2363.00	142.1	-0.7183	15.2594
1.1094e+02	4.0000	2.0000	3041.1738	1637.00	-2563.00	147.4	-0.6783	16.2500
1.0627e+02	4.1600	2.0396	3153.3376	1837.00	-2563.00	144.4	-0.6607	16.4956
1.0047e+02	4.6000	2.1448	3211.5320	1637.00	-2763.00	149.4	-0.6279	17.3902
9.8871e+01	4.6800	2.1633	3273.8873	2037.00	-2563.00	141.5	-0.6525	16.4042
9.8036e+01	4.8000	2.1909	3317.9418	1837.00	-2763.00	146.4	-0.5998	17.9264
9.3617e+01	5.0000	2.2361	3432.7158	2037.00	-2763.00	143.6	-0.5903	17.8543
8.9855e+01	5.2000	2.2804	3486.2498	1837.00	-2963.00	148.2	-0.5537	18.9982
8.7950e+01	5.3600	2.3152	3595.6554	2037.00	-2963.00	145.5	-0.5410	19.0299
8.2708e+01	5.8000	2.4083	3762.1720	2037.00	-3163.00	147.2	-0.5115	19.6752
7.9042e+01	6.3200	2.5140	3874.1113	2237.00	-3163.00	144.7	-0.4857	20.0798
7.6138e+01	6.5200	2.5534	3931.8110	2037.00	-3363.00	148.8	-0.4785	20.4468
7.5537e+01	6.6400	2.5768	4039.0516	2237.00	-3363.00	146.4	-0.4615	20.6397
7.2725e+01	6.9200	2.6306	4153.1600	2437.00	-3363.00	144.1	-0.4470	20.7128
7.0274e+01	7.2400	2.6907	4207.0343	2237.00	-3563.00	147.9	-0.4321	21.3546
6.9887e+01	7.2800	2.6981	4316.7045	2437.00	-3563.00	145.6	-0.4237	21.2842
6.7803e+01	7.6000	2.7568	4432.6897	2637.00	-3563.00	143.5	-0.4200	21.0376
6.5658e+01	7.9200	2.8142	4554.5074	2837.00	-3563.00	141.5	-0.4364	20.1605
6.4861e+01	8.0800	2.8425	4594.9905	2637.00	-3763.00	145.0	-0.3932	21.7355
6.3628e+01	8.3200	2.8844	4712.6148	2837.00	-3763.00	143.0	-0.4045	21.0299
6.1092e+01	8.6400	2.9394	4835.6528	3037.00	-3763.00	141.1	-0.4106	20.4694
6.0271e+01	8.8000	2.9665	4873.8012	2837.00	-3963.00	144.4	-0.3640	22.1842
5.8886e+01	9.0000	3.0000	4992.8687	3037.00	-3963.00	142.5	-0.3693	21.6698
5.6613e+01	9.6800	3.1113	5116.9852	3237.00	-3963.00	140.8	-0.3769	21.0589
5.5862e+01	9.8800	3.1432	5153.0513	3037.00	-4163.00	143.9	-0.3292	22.8550
5.4545e+01	10.2000	3.1937	5273.3991	3237.00	-4163.00	142.1	-0.3342	22.3508
5.2751e+01	10.6000	3.2558	5398.4755	3437.00	-4163.00	140.5	-0.3506	21.4556
5.1875e+01	10.8400	3.2924	5432.6732	3237.00	-4363.00	143.4	-0.2931	23.6190
5.0773e+01	11.1600	3.3407	5554.1640	3437.00	-4363.00	141.8	-0.3051	22.8753
4.9040e+01	11.4400	3.3823	5680.1002	3637.00	-4363.00	140.2	-0.3149	22.1942
4.8278e+01	11.7600	3.4293	5712.6122	3437.00	-4563.00	143.0	-0.2583	24.3837
4.7251e+01	12.0400	3.4699	5835.1296	3637.00	-4563.00	141.4	-0.2698	23.6543
4.5823e+01	12.5200	3.5384	5961.8402	3837.00	-4563.00	139.9	-0.2869	22.7216
4.5058e+01	12.7600	3.5721	5992.8239	3637.00	-4763.00	142.6	-0.2268	25.0801
4.4197e+01	13.0800	3.6166	6116.2683	3837.00	-4763.00	141.1	-0.2435	24.1621
4.2823e+01	13.4400	3.6661	6243.6798	4037.00	-4763.00	139.7	-0.2533	23.4843
4.2189e+01	13.8400	3.7202	6273.2717	3837.00	-4963.00	142.3	-0.1987	25.6930
4.1328e+01	14.2800	3.7789	6397.5572	4037.00	-4963.00	140.9	-0.2092	24.9946
4.0174e+01	14.8400	3.8523	6525.6063	4237.00	-4963.00	139.5	-0.2244	24.1209
3.9551e+01	15.2000	3.8987	6553.9254	4037.00	-5163.00	142.0	-0.1681	26.4347
3.8779e+01	15.5200	3.9395	6678.9773	4237.00	-5163.00	140.6	-0.1793	25.7124
3.7727e+01	15.9600	3.9950	6807.6088	4437.00	-5163.00	139.3	-0.1928	24.8966
3.7139e+01	16.2800	4.0348	6834.7595	4237.00	-5363.00	141.7	-0.1370	27.2332
