massloading(kg/m2)	area(sqkm)	sqrtA(km)	dist_from_vent(m)	x(m)	y(m)	dir(deg)	Mean(phi)	F(percent)
1.0240e+03	0.0611	0.2437	892.5042	564.94	-690.94	167.2	-1.3524	7.0313
5.1200e+02	0.0739	0.2703	1344.2980	885.47	-1011.47	167.2	-1.1561	9.3285
2.5600e+02	0.0852	0.2911	1657.6796	1037.00	-1293.26	138.3	-1.0251	11.0246
1.2800e+02	0.1859	0.4291	3214.2928	2037.00	-2486.42	136.7	-0.7717	13.0884
6.4000e+01	0.3470	0.5889	5578.0119	3712.63	-4163.00	143.9	-0.4428	15.9881
3.2000e+01	0.8505	0.9220	8689.6789	6037.00	-6250.21	135.6	-0.0976	23.4995
1.6000e+01	1.5682	1.2520	12728.9382	9037.00	-8964.29	132.1	0.3616	44.1129
8.0000e+00	3.3728	1.8365	20809.1352	16116.93	-13163.00	129.4	0.8731	84.6189
4.0000e+00	6.8824	2.6234	33745.3173	27037.00	-20192.75	126.7	1.5164	99.8162
2.0000e+00	12.5678	3.5451	48845.0774	39037.00	-29359.06	126.8	1.9987	100.0000
1.0000e+00	20.8611	4.5674	64239.8998	52037.00	-37668.49	125.5	2.2847	100.0000
5.0000e-01	31.1117	5.5777	79286.6900	65848.38	-44163.00	124.2	2.4765	100.0000
