#Md(phi)	area(sqkm)	max_dist(m)
-0.94	1.0000	2109.5
-0.88	2.0000	3549.4
-0.87	3.0000	3549.4
-0.80	4.0000	4435.3
-0.77	5.0000	4435.3
-0.73	6.0000	5361.5
-0.71	7.0000	5361.5
-0.69	8.0000	5361.5
-0.67	9.0000	5361.5
-0.67	10.0000	6310.3
-0.63	11.0000	6310.3
-0.62	12.0000	7272.8
-0.58	13.0000	7272.8
-0.58	14.0000	7272.8
-0.57	15.0000	8244.3
-0.53	16.0000	8244.3
-0.51	17.0000	9221.8
-0.49	18.0000	9221.8
-0.49	19.0000	9221.8
-0.48	20.0000	9221.8
-0.48	21.0000	9221.8
-0.47	22.0000	10203.7
-0.46	23.0000	10203.7
-0.45	24.0000	10203.7
-0.44	25.0000	10203.7
-0.44	26.0000	10203.7
-0.42	27.0000	10203.7
-0.42	28.0000	11188.8
-0.41	29.0000	11188.8
-0.41	30.0000	11188.8
-0.40	31.0000	11188.8
-0.37	32.0000	11188.8
-0.37	33.0000	12176.4
-0.36	34.0000	12176.4
-0.36	35.0000	12176.4
-0.34	36.0000	12176.4
-0.33	37.0000	12176.4
-0.33	38.0000	13165.8
-0.33	39.0000	13165.8
-0.33	40.0000	13165.8
-0.32	41.0000	13165.8
-0.31	42.0000	13165.8
-0.30	43.0000	13165.8
-0.30	44.0000	13165.8
-0.29	45.0000	13165.8
-0.28	46.0000	14156.7
-0.28	47.0000	14156.7
-0.27	48.0000	14156.7
-0.27	49.0000	14156.7
-0.27	50.0000	14156.7
-0.24	51.0000	14156.7
-0.24	52.0000	15148.8
-0.24	53.0000	15148.8
-0.23	54.0000	15148.8
-0.22	55.0000	15148.8
-0.21	56.0000	15148.8
-0.20	57.0000	15148.8
-0.20	58.0000	15148.8
-0.19	59.0000	16141.9
-0.19	60.0000	16141.9
-0.19	61.0000	16141.9
-0.19	62.0000	16141.9
-0.18	63.0000	16141.9
-0.18	64.0000	16141.9
-0.16	65.0000	16141.9
-0.16	66.0000	16141.9
-0.16	67.0000	16141.9
-0.16	68.0000	16141.9
-0.14	69.0000	16141.9
-0.14	70.0000	16141.9
-0.12	71.0000	16141.9
-0.11	72.0000	16141.9
-0.11	73.0000	17057.5
-0.11	74.0000	17057.5
-0.10	75.0000	17057.5
-0.09	76.0000	17057.5
-0.09	77.0000	17057.5
-0.08	78.0000	17057.5
-0.08	79.0000	17057.5
-0.07	80.0000	17057.5
