#massloading(kg/sq-m)	area(sqkm)	max_dist(m)	Md
397.8369	1.0000	167.1	13393053235859209799209590639504113109324628743271645689102799781409443567162604238663219430310967213539985424066147409838372033767426141434024285107472756977368718630950943168177066521439411344721087702202398106310448840011179630788608.0000
155.6305	2.0000	1558.2	0.5754
124.8661	3.0000	2398.7	0.6631
107.2077	4.0000	2398.7	0.6631
94.8203	5.0000	2971.2	0.5865
92.8327	6.0000	3762.2	0.7338
69.1566	7.0000	5153.1	0.7599
64.4933	8.0000	5153.1	0.7599
60.2420	9.0000	5153.1	0.7599
59.6886	10.0000	5153.1	0.7599
53.2921	11.0000	6553.9	0.7895
51.8270	12.0000	6553.9	0.7895
50.7022	13.0000	6553.9	0.7895
43.2222	14.0000	7367.5	0.9253
42.9192	15.0000	7959.5	0.8341
42.6017	16.0000	7959.5	0.8341
42.3993	17.0000	7959.5	0.8341
41.6590	18.0000	7959.5	0.8341
38.3607	19.0000	7959.5	0.8341
37.8178	20.0000	7959.5	0.8341
35.9705	21.0000	8756.7	0.9831
35.4993	22.0000	9367.7	0.8888
35.3577	23.0000	9367.7	0.8888
31.7550	24.0000	9367.7	0.8888
31.7163	25.0000	9367.7	0.8888
31.5709	26.0000	9367.7	0.8888
31.4018	27.0000	9367.7	0.8888
30.6372	28.0000	10041.3	0.7736
30.0000	29.0000	10152.8	1.0445
29.9794	30.0000	10777.5	0.9366
29.0537	31.0000	10777.5	0.9366
28.8921	32.0000	10777.5	0.9366
26.8787	33.0000	11455.5	0.8302
26.8533	34.0000	11455.5	0.8302
25.6953	35.0000	11455.5	0.8302
25.5039	36.0000	12188.3	0.9984
25.4376	37.0000	12188.3	0.9984
24.9958	38.0000	12188.3	0.9984
24.8322	39.0000	12188.3	0.9984
23.7571	40.0000	12869.7	0.8912
22.9807	41.0000	12869.7	0.8912
22.1983	42.0000	12869.7	0.8912
22.0205	43.0000	13599.8	1.0486
21.5587	44.0000	13599.8	1.0486
21.1951	45.0000	13599.8	1.0486
21.0555	46.0000	14283.8	0.9579
20.0743	47.0000	14283.8	0.9579
20.0664	48.0000	14283.8	0.9579
19.8132	49.0000	14283.8	0.9579
19.4994	50.0000	15003.4	0.8728
19.3914	51.0000	15003.4	0.8728
19.3789	52.0000	15003.4	0.8728
19.0182	53.0000	15003.4	0.8728
18.9715	54.0000	15011.8	1.1134
18.6914	55.0000	15698.0	1.0212
18.6874	56.0000	15698.0	1.0212
18.3296	57.0000	15698.0	1.0212
18.3219	58.0000	15698.0	1.0212
17.8432	59.0000	16416.5	0.9467
17.7723	60.0000	16416.5	0.9467
17.1143	61.0000	16416.5	0.9467
17.0358	62.0000	16416.5	0.9467
16.7978	63.0000	17163.2	0.8832
16.5599	64.0000	17163.2	0.8832
16.4408	65.0000	17163.2	0.8832
16.4156	66.0000	17163.2	0.8832
16.4052	67.0000	17163.2	0.8832
16.2695	68.0000	17163.2	0.8832
16.2324	69.0000	17829.8	1.0175
16.1594	70.0000	17829.8	1.0175
16.0653	71.0000	17829.8	1.0175
16.0221	72.0000	17829.8	1.0175
15.9555	73.0000	17829.8	1.0175
15.6751	74.0000	18573.5	0.9579
15.6685	75.0000	18573.5	0.9579
15.6221	76.0000	18573.5	0.9579
15.3012	77.0000	18573.5	0.9579
15.0177	78.0000	19340.4	0.9129
14.7236	79.0000	19340.4	0.9129
14.6831	80.0000	19340.4	0.9129
14.6821	81.0000	19340.4	0.9129
14.6251	82.0000	19340.4	0.9129
14.6217	83.0000	19340.4	0.9129
14.5407	84.0000	19340.4	0.9129
14.5187	85.0000	19984.4	1.0379
14.4997	86.0000	19984.4	1.0379
14.3215	87.0000	20127.7	0.8806
14.3195	88.0000	20127.7	0.8806
14.2256	89.0000	20747.3	0.9951
14.2085	90.0000	20747.3	0.9951
13.9385	91.0000	20747.3	0.9951
13.9243	92.0000	20747.3	0.9951
13.8502	93.0000	21529.6	0.9639
13.6152	94.0000	21529.6	0.9639
13.5837	95.0000	21529.6	0.9639
13.4109	96.0000	22329.3	0.9424
13.3270	97.0000	22329.3	0.9424
13.3188	98.0000	22329.3	0.9424
13.3049	99.0000	22329.3	0.9424
13.3025	100.0000	22329.3	0.9424
13.2122	101.0000	22933.0	1.0443
13.2101	102.0000	22933.0	1.0443
13.1576	103.0000	22933.0	1.0443
13.0197	104.0000	23727.6	1.0217
12.9175	105.0000	23727.6	1.0217
12.9042	106.0000	23727.6	1.0217
12.8908	107.0000	23727.6	1.0217
12.8569	108.0000	23727.6	1.0217
12.7838	109.0000	23727.6	1.0217
12.7571	110.0000	24537.2	1.0075
12.6142	111.0000	24537.2	1.0075
12.5913	112.0000	24537.2	1.0075
12.4715	113.0000	25127.6	1.0972
12.4507	114.0000	25127.6	1.0972
12.4172	115.0000	25360.3	0.9990
12.4049	116.0000	25932.1	1.0796
12.3849	117.0000	25932.1	1.0796
12.3423	118.0000	25932.1	1.0796
12.3224	119.0000	25932.1	1.0796
12.2480	120.0000	26749.7	1.0672
12.1618	121.0000	26749.7	1.0672
12.1383	122.0000	26749.7	1.0672
12.1294	123.0000	26749.7	1.0672
12.1245	124.0000	26749.7	1.0672
11.9970	125.0000	26749.7	1.0672
11.9958	126.0000	26749.7	1.0672
11.9844	127.0000	27579.3	1.0582
11.8927	128.0000	27579.3	1.0582
11.8923	129.0000	28141.5	1.1297
11.8197	130.0000	28141.5	1.1297
11.7986	131.0000	28141.5	1.1297
11.7916	132.0000	28141.5	1.1297
11.7900	133.0000	28965.8	1.1176
11.7432	134.0000	28965.8	1.1176
11.6807	135.0000	28965.8	1.1176
11.6215	136.0000	28965.8	1.1176
11.6015	137.0000	28965.8	1.1176
11.5713	138.0000	29800.9	1.1091
11.4852	139.0000	29800.9	1.1091
11.4299	140.0000	30354.9	1.1757
11.4206	141.0000	30354.9	1.1757
11.4121	142.0000	30354.9	1.1757
11.3934	143.0000	30354.9	1.1757
11.3933	144.0000	31184.8	1.1713
11.3925	145.0000	31184.8	1.1713
11.3525	146.0000	31184.8	1.1713
11.3268	147.0000	31184.8	1.1713
11.2512	148.0000	31184.8	1.1713
11.2450	149.0000	32024.5	1.1706
11.2403	150.0000	32024.5	1.1706
11.2098	151.0000	32024.5	1.1706
11.1674	152.0000	32024.5	1.1706
11.1488	153.0000	32024.5	1.1706
11.0675	154.0000	32024.5	1.1706
11.0267	155.0000	33406.1	1.2468
11.0158	156.0000	33406.1	1.2468
11.0115	157.0000	33406.1	1.2468
11.0082	158.0000	33406.1	1.2468
10.9996	159.0000	33406.1	1.2468
10.9648	160.0000	33406.1	1.2468
10.9605	161.0000	33406.1	1.2468
10.9371	162.0000	33406.1	1.2468
10.8934	163.0000	33406.1	1.2468
10.8042	164.0000	33406.1	1.2468
10.8015	165.0000	34249.7	1.2392
10.7893	166.0000	34249.7	1.2392
10.7768	167.0000	34249.7	1.2392
10.6923	168.0000	34249.7	1.2392
10.6881	169.0000	34249.7	1.2392
