z	h(m)	phi-1.0	phi-1.1	phi-1.2	phi-1.3	phi-1.4	phi-1.5	phi-1.6	phi-1.7	phi-1.8	phi-1.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	161.8114	156.2995	150.9754	145.8326	140.8650	136.0666	131.4317	126.9546	122.6301	118.4529
43	4300.0	483.8145	467.3340	451.4149	436.0380	421.1850	406.8379	392.9795	379.5932	366.6628	354.1729
42	4200.0	799.0559	771.8371	745.5455	720.1495	695.6186	671.9232	649.0351	626.9265	605.5711	584.9431
41	4100.0	1107.8878	1070.1491	1033.6959	998.4844	964.4724	931.6189	899.8846	869.2312	839.6220	811.0214
40	4000.0	1410.6124	1362.5617	1316.1479	1271.3151	1228.0094	1186.1789	1145.7733	1106.7440	1069.0443	1032.6287
39	3900.0	1707.1516	1648.9998	1592.8288	1538.5712	1486.1618	1435.5377	1386.6380	1339.4040	1293.7790	1249.7081
38	3800.0	1997.4316	1929.3917	1863.6695	1800.1861	1738.8652	1679.6330	1622.4186	1567.1530	1513.7701	1462.2055
37	3700.0	2281.3820	2203.6698	2128.6047	2056.0966	1986.0584	1918.4060	1853.0580	1789.9361	1728.9643	1670.0694
36	3600.0	2558.9368	2471.7701	2387.5725	2306.2430	2227.6839	2151.8008	2078.5026	2007.7011	1939.3115	1873.2514
35	3500.0	2830.0339	2733.6325	2640.5150	2550.5694	2463.6876	2379.7654	2298.7018	2220.3996	2144.7646	2071.7061
34	3400.0	3094.6152	2989.2012	2887.3781	2789.0234	2694.0190	2602.2508	2513.6086	2427.9859	2345.2798	2265.3909
33	3300.0	3352.6269	3238.4241	3128.1115	3021.5566	2918.6313	2819.2120	2723.1792	2630.4178	2540.8161	2454.2666
32	3200.0	3604.0195	3481.2534	3362.6691	3248.1243	3137.4812	3030.6071	2927.3735	2827.6564	2731.3361	2638.2967
31	3100.0	3848.7478	3717.6453	3591.0087	3468.6858	3350.5296	3236.3982	3126.1546	3019.6663	2916.8054	2817.4483
30	3000.0	4086.5444	3947.3417	3812.8808	3683.0001	3557.5436	3436.3606	3319.3055	3206.2378	3097.0216	2991.5256
29	2900.0	4317.0524	4169.9978	4027.9524	3890.7455	3758.2124	3630.1939	3506.5362	3387.0907	3271.7139	3160.2674
28	2800.0	4540.0475	4385.3968	4236.0141	4091.7199	3952.3409	3817.7097	3687.6645	3562.0491	3440.7126	3323.5093
27	2700.0	4755.3205	4593.3368	4436.8709	4285.7348	4139.7470	3998.7320	3862.5205	3730.9489	3603.8590	3481.0984
26	2600.0	4962.6817	4793.6346	4630.3458	4472.6192	4320.2654	4173.1013	4030.9501	3893.6412	3761.0095	3632.8957
25	2500.0	5161.9610	4986.1256	4816.2799	4652.2197	4493.7480	4340.6745	4192.8152	4049.9925	3912.0349	3778.7766
24	2400.0	5353.0081	5170.6650	4994.5331	4824.4010	4660.0642	4501.3253	4347.9936	4199.8850	4056.8215	3918.6313
23	2300.0	5535.6930	5347.1270	5164.9842	4989.0459	4819.1007	4654.9444	4496.3799	4343.2167	4195.2708	4052.3645
22	2200.0	5709.9062	5515.4059	5327.5309	5146.0556	4970.7621	4801.4397	4637.8850	4479.9016	4327.2997	4179.8960
21	2100.0	5875.5588	5675.4157	5482.0902	5295.3501	5114.9710	4940.7364	4772.4367	4609.8700	4452.8409	4301.1608
20	2000.0	6032.2582	5826.7773	5628.2959	5436.5755	5251.3858	5072.5043	4899.7162	4732.8139	4571.5969	4415.8715
19	1900.0	6177.6744	5967.2401	5763.9740	5567.6319	5377.9779	5194.7843	5017.8308	4846.9051	4681.8017	4522.3224
18	1800.0	6309.9824	6095.0412	5887.4218	5686.8746	5493.1587	5306.0416	5125.2983	4950.7118	4782.0724	4619.1775
17	1700.0	6429.5406	6210.5268	5998.9735	5794.6264	5597.2402	5406.5776	5222.4097	5044.5153	4872.6806	4706.6992
16	1600.0	6536.7558	6314.0899	6099.0088	5891.2542	5690.5765	5496.7345	5309.4956	5128.6347	4953.9345	4785.1854
15	1500.0	6633.3640	6407.4073	6189.1475	5978.3224	5774.6788	5577.9720	5387.9658	5204.4319	5027.1499	4855.9067
14	1400.0	6723.5909	6494.5608	6273.3322	6059.6395	5853.2259	5653.8435	5461.2529	5275.2225	5095.5291	4921.9567
13	1300.0	6810.0365	6578.0617	6353.9887	6137.5486	5928.4811	5726.5353	5531.4685	5343.0464	5161.0426	4985.2385
12	1200.0	6892.4759	6657.6929	6430.9074	6211.8471	6000.2488	5795.8583	5598.4301	5407.7270	5223.5200	5045.5877
11	1100.0	6970.6817	6733.2347	6503.8760	6282.3301	6068.3309	5861.6213	5661.9529	5469.0860	5282.7889	5102.8377
10	1000.0	7039.0380	6799.2626	6567.6547	6343.9363	6127.8385	5919.1018	5717.4755	5522.7173	5334.5933	5152.8774
9	900.0	7089.5687	6848.0720	6614.8015	6389.4771	6171.8280	5961.5929	5758.5192	5562.3629	5372.8884	5189.8681
8	800.0	7125.7867	6883.0563	6648.5941	6422.1186	6203.3576	5992.0485	5787.9373	5590.7790	5400.3365	5216.3812
7	700.0	7157.9281	6914.1028	6678.5830	6451.0860	6231.3383	6019.0761	5814.0442	5615.9965	5424.6951	5239.9101
6	600.0	7190.2463	6945.3201	6708.7370	6480.2128	6259.4730	6046.2523	5840.2948	5641.3529	5449.1877	5263.5684
5	500.0	7222.7501	6976.7168	6739.0642	6509.5069	6287.7692	6073.5847	5866.6961	5666.8549	5473.8210	5287.3626
4	400.0	7255.4476	7008.3004	6769.5720	6538.9755	6316.2340	6101.0799	5893.2547	5692.5088	5498.6011	5311.2985
3	300.0	7288.3395	7040.0719	6800.2612	6568.6194	6344.8681	6128.7386	5919.9712	5718.3153	5523.5285	5335.3768
2	200.0	7318.7388	7069.4356	6828.6247	6596.0167	6371.3321	6154.3012	5944.6631	5742.1660	5546.5668	5357.6304
1	100.0	7339.6397	7089.6246	6848.1260	6614.8537	6389.5275	6171.8767	5961.6399	5758.5646	5562.4067	5372.9307
0	0.0	7346.6421	7096.3885	6854.6594	6621.1646	6395.6234	6177.7650	5967.3276	5764.0586	5567.7136	5378.0568
