z	h(m)	phi1.0	phi0.9	phi0.8	phi0.7	phi0.6	phi0.5	phi0.4	phi0.3	phi0.2	phi0.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	561.9662	524.3330	489.2200	456.4584	425.8907	397.3701	370.7594	345.9308	322.7648	301.1502
43	4300.0	1678.8006	1566.3764	1461.4808	1363.6098	1272.2929	1187.0913	1107.5953	1033.4230	964.2178	899.6470
42	4200.0	2770.4926	2584.9610	2411.8539	2250.3393	2099.6408	1959.0341	1827.8435	1705.4383	1591.2302	1484.6702
41	4100.0	3838.7005	3581.6342	3341.7829	3117.9937	2909.1910	2714.3711	2532.5978	2362.9973	2204.7545	2057.1087
40	4000.0	4884.6520	4557.5415	4252.3366	3967.5703	3701.8740	3453.9706	3222.6685	3006.8560	2805.4959	2617.6202
39	3900.0	5908.1277	5512.4781	5143.3239	4798.8909	4477.5235	4177.6772	3897.9106	3636.8792	3393.3283	3166.0873
38	3800.0	6908.9218	6446.2520	6014.5658	5611.7883	5235.9836	4885.3455	4558.1885	4252.9403	3968.1336	3702.3995
37	3700.0	7886.8426	7358.6844	6865.8953	6406.1068	5977.1090	5576.8399	5203.3756	4854.9211	4529.8016	4226.4543
36	3600.0	8841.7127	8249.6096	7697.1579	7181.7023	6700.7652	6252.0350	5833.3549	5442.7126	5078.2304	4738.1565
35	3500.0	9773.3689	9118.8756	8508.2118	7938.4423	7406.8286	6910.8154	6448.0188	6016.2142	5613.3264	5237.4187
34	3400.0	10681.6628	9966.3438	9298.9275	8676.2062	8095.1866	7553.0762	7047.2693	6575.3347	6135.0042	5724.1614
33	3300.0	11566.4607	10791.8894	10069.1889	9394.8854	8765.7380	8178.7228	7631.0182	7119.9917	6643.1872	6198.3128
32	3200.0	12427.6438	11595.4017	10818.8923	10094.3835	9418.3928	8787.6712	8199.1872	7650.1121	7137.8070	6659.8094
31	3100.0	13265.1085	12376.7839	11547.9477	10774.6162	10053.0724	9379.8482	8751.7078	8165.6321	7618.8042	7108.5957
30	3000.0	14078.0271	13135.2637	12255.6344	11434.9112	10669.1494	9954.6684	9288.0340	8666.0422	8085.7033	7544.2279
29	2900.0	14865.1380	13869.6641	12940.8542	12074.2439	11265.6679	10511.2399	9807.3336	9150.5658	8537.7798	7966.0302
28	2800.0	15625.6116	14579.2111	13602.8850	12691.9405	11841.9992	11048.9759	10309.0591	9618.6922	8974.5572	8373.5579
27	2700.0	16358.8050	15263.3048	14241.1669	13287.4786	12397.6559	11567.4219	10792.7863	10070.0257	9395.6662	8766.4665
26	2600.0	17064.1432	15921.4086	14855.1995	13860.3912	12932.2023	12066.1714	11258.1360	10504.2123	9800.7766	9144.4479
25	2500.0	17741.1203	16553.0505	15444.5423	14410.2675	13445.2550	12544.8665	11704.7743	10920.9406	10189.5979	9507.2310
24	2400.0	18389.2998	17157.8234	16008.8153	14936.7528	13936.4832	13003.1986	12132.4133	11319.9418	10561.8792	9854.5817
23	2300.0	19008.3153	17735.3853	16547.6996	15439.5497	14405.6092	13440.9087	12540.8112	11700.9906	10917.4103	10186.3040
22	2200.0	19597.8711	18285.4603	17060.9377	15918.4178	14852.4090	13857.7876	12929.7730	12063.9048	11256.0211	10502.2391
21	2100.0	20157.7420	18807.8384	17548.3337	16373.1743	15276.7118	14253.6761	13299.1500	12408.5457	11577.5826	10802.2665
20	2000.0	20686.6829	19301.3576	18008.8035	16802.8078	15677.5740	14627.6938	13648.1209	12734.1470	11881.3793	11085.7189
19	1900.0	21176.7819	19758.6361	18435.4594	17200.8918	16048.9996	14974.2461	13971.4656	13035.8383	12162.8672	11348.3564
18	1800.0	21621.8895	20173.9362	18822.9481	17562.4315	16386.3280	15288.9847	14265.1271	13309.8342	12418.5144	11586.8837
17	1700.0	22023.3721	20548.5327	19172.4590	17888.5367	16690.5949	15572.8757	14530.0068	13556.9757	12649.1056	11802.0329
16	1600.0	22382.7514	20883.8455	19485.3169	18180.4435	16962.9536	15826.9953	14767.1088	13778.1997	12855.5149	11994.6195
15	1500.0	22705.9851	21185.4332	19766.7081	18442.9908	17207.9189	16055.5560	14980.3635	13977.1733	13041.1639	12167.8361
14	1400.0	23007.2723	21466.5441	20028.9939	18687.7121	17436.2519	16268.5983	15179.1389	14162.6374	13214.2079	12329.2920
13	1300.0	23295.3225	21735.3044	20279.7561	18921.6815	17654.5531	16472.2805	15369.1812	14339.9531	13379.6493	12483.6542
12	1200.0	23569.4427	21991.0676	20518.3916	19144.3363	17862.2974	16666.1127	15550.0330	14508.6938	13537.0900	12630.5516
11	1100.0	23828.9360	22233.1834	20744.2936	19355.1104	18058.9565	16849.6022	15721.2348	14668.4307	13686.1298	12769.6106
10	1000.0	24055.3181	22444.4054	20941.3707	19538.9898	18230.5221	17009.6785	15870.5913	14807.7852	13816.1522	12890.9258
9	900.0	24222.3912	22600.2902	21086.8163	19674.6953	18357.1398	17127.8171	15980.8184	14910.6308	13912.1105	12980.4581
8	800.0	24341.9603	22711.8521	21190.9073	19771.8156	18447.7563	17212.3652	16059.7046	14984.2342	13980.7849	13044.5336
7	700.0	24447.9230	22810.7188	21283.1532	19857.8841	18528.0610	17287.2922	16129.6139	15049.4619	14041.6445	13101.3176
6	600.0	24554.3289	22909.9990	21375.7849	19944.3125	18608.7016	17362.5325	16199.8156	15114.9624	14102.7586	13158.3391
5	500.0	24661.2089	23009.7216	21468.8293	20031.1261	18689.7015	17438.1081	16270.3301	15180.7548	14164.1451	13215.6146
4	400.0	24768.5866	23109.9085	21562.3070	20118.3438	18771.0785	17514.0356	16341.1730	15246.8535	14225.8173	13273.1569
3	300.0	24876.4633	23210.5610	21656.2192	20205.9670	18852.8338	17590.3159	16412.3451	15313.2594	14287.7763	13330.9666
2	200.0	24976.0535	23303.4819	21742.9174	20286.8593	18928.3090	17660.7368	16478.0501	15374.5644	14344.9758	13384.3357
1	100.0	25044.4577	23367.3053	21802.4668	20342.4208	18980.1497	17709.1059	16523.1800	15416.6721	14384.2637	13420.9926
0	0.0	25067.3506	23388.6651	21822.3962	20361.0156	18997.4993	17725.2936	16538.2837	15430.7643	14397.4122	13433.2606
