z	h(m)	phi3.0	phi2.9	phi2.8	phi2.7	phi2.6	phi2.5	phi2.4	phi2.3	phi2.2	phi2.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-725.3564	-631.4594	-549.7173	-536.3025	-500.3880	-466.8785	-435.6130	-406.4413	-379.2232	-353.8277
43	4300.0	-2215.0835	-1928.3422	-1678.7194	-1640.6625	-1530.7922	-1428.2796	-1332.6320	-1243.3896	-1160.1236	-1082.4336
42	4200.0	-3736.4593	-3252.7768	-2831.7066	-2771.9779	-2586.3468	-2413.1469	-2251.5457	-2100.7664	-1960.0843	-1828.8234
41	4100.0	-5293.0981	-4607.9096	-4011.4183	-3932.3079	-3668.9730	-3423.2728	-3194.0265	-2980.1321	-2780.5616	-2594.3557
40	4000.0	-6886.4807	-5995.0297	-5252.7385	-5122.5983	-4779.5532	-4459.4808	-4160.8427	-3882.2035	-3622.2240	-3379.6545
39	3900.0	-8513.7322	-7411.6344	-6558.3916	-6340.8156	-5916.1902	-5520.0006	-5150.3427	-4805.4396	-4483.6337	-4183.3782
38	3800.0	-10171.9661	-8855.2109	-7891.7721	-7584.9036	-7076.9653	-6603.0421	-6160.8561	-5748.2820	-5363.3368	-5004.1702
37	3700.0	-11858.2852	-10323.2369	-9250.6526	-8852.7840	-8259.9395	-7706.7961	-7190.6950	-6709.1557	-6259.8636	-5840.6593
36	3600.0	-13569.7831	-11813.1823	-10632.7833	-10142.3575	-9463.1542	-8829.4351	-8238.1542	-7686.4697	-7171.7298	-6691.4605
35	3500.0	-15303.5452	-13322.5099	-12035.8926	-11451.5048	-10684.6318	-9969.1140	-9301.5122	-8678.6178	-8097.4367	-7555.1756
34	3400.0	-17056.6505	-14848.6767	-13457.6884	-12778.0872	-11922.3769	-11123.9710	-10379.0319	-9683.9792	-9035.4721	-8430.3936
33	3300.0	-18826.1724	-16389.1350	-14895.8590	-14119.9478	-13174.3772	-12292.1285	-11468.9615	-10700.9194	-9984.3109	-9315.6914
32	3200.0	-20609.1801	-17941.3334	-16348.0742	-15474.9125	-14438.6039	-13471.6938	-12569.5348	-11727.7906	-10942.4156	-10209.6348
31	3100.0	-22402.7403	-19502.7181	-17811.9862	-16840.7907	-15713.0133	-14660.7598	-13678.9726	-12762.9327	-11908.2373	-11110.7783
30	3000.0	-24230.8282	-21094.1611	-19307.1133	-18235.7936	-17014.5971	-15875.1804	-14812.0671	-13820.1472	-12894.6533	-12031.1370
29	2900.0	-26134.3779	-22751.2974	-20867.4857	-19691.6725	-18372.9801	-17142.5966	-15994.6082	-14923.4971	-13924.1152	-12991.6588
28	2800.0	-28125.6887	-24484.8341	-22504.0200	-21218.6130	-19797.6660	-18471.8755	-17234.8693	-16080.7016	-15003.8252	-13999.0639
27	2700.0	-30198.4002	-26289.2343	-24211.8512	-22812.0759	-21284.4194	-19859.0655	-18529.1633	-17288.3207	-16130.5735	-15050.3573
26	2600.0	-32346.1109	-28158.9251	-25986.0403	-24467.4528	-22828.9407	-21300.1548	-19873.7472	-18542.8618	-17301.1018	-16142.4988
25	2500.0	-34562.3922	-30088.3100	-27821.5853	-26180.0768	-24426.8754	-22791.0806	-21264.8302	-19840.7881	-18512.1099	-17272.4092
24	2400.0	-36840.8018	-32071.7807	-29713.4322	-27945.2325	-26073.8239	-24327.7379	-22698.5821	-21178.5259	-19760.2634	-18436.9777
23	2300.0	-39174.8976	-34103.7292	-31656.4866	-29758.1664	-27765.3510	-25905.9885	-24171.1419	-22552.4729	-21042.2012	-19633.0680
22	2200.0	-41558.2515	-36178.5592	-33645.6246	-31614.0977	-29496.9961	-27521.6705	-25678.6266	-23959.0058	-22354.5428	-20857.5260
21	2100.0	-43984.4625	-38290.6986	-35675.7041	-33508.2289	-31264.2830	-29170.6075	-27217.1392	-25394.4888	-23693.8959	-22107.1865
20	2000.0	-46442.6421	-40430.6683	-37737.7478	-35432.1836	-33059.3963	-30845.5074	-28779.8761	-26852.5739	-25054.3373	-23376.5233
