z	h(m)	phi-2.0	phi-2.1	phi-2.2	phi-2.3	phi-2.4	phi-2.5	phi-2.6	phi-2.7	phi-2.8	phi-2.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	3.6563	3.5317	3.4114	3.2952	3.1830	3.0745	2.9698	2.8687	2.7709	2.6765
43	4300.0	11.0802	10.7027	10.3382	9.9860	9.6459	9.3173	8.9999	8.6933	8.3972	8.1112
42	4200.0	18.5468	17.9150	17.3048	16.7153	16.1459	15.5960	15.0647	14.5515	14.0559	13.5771
41	4100.0	26.0534	25.1659	24.3087	23.4806	22.6808	21.9082	21.1619	20.4411	19.7448	19.0722
40	4000.0	33.6004	32.4559	31.3503	30.2824	29.2509	28.2545	27.2920	26.3624	25.4644	24.5969
39	3900.0	41.1880	39.7849	38.4297	37.1207	35.8562	34.6348	33.4550	32.3154	31.2146	30.1513
38	3800.0	48.8161	47.1533	45.5471	43.9956	42.4969	41.0493	39.6510	38.3004	36.9957	35.7355
37	3700.0	56.4851	54.5610	52.7024	50.9072	49.1731	47.4981	45.8801	44.3173	42.8077	41.3495
36	3600.0	64.1949	62.0082	59.8959	57.8557	55.8849	53.9812	52.1424	50.3663	48.6506	46.9934
35	3500.0	71.9457	69.4949	67.1277	64.8411	62.6323	60.4988	58.4380	56.4474	54.5246	52.6673
34	3400.0	79.7375	77.0214	74.3977	71.8635	69.4155	67.0510	64.7670	62.5608	60.4297	58.3713
33	3300.0	87.5706	84.5876	81.7063	78.9230	76.2346	73.6378	71.1294	68.7065	66.3661	64.1054
32	3200.0	95.4450	92.1938	89.0533	86.0198	83.0897	80.2593	77.5254	74.8846	72.3338	69.8698
31	3100.0	103.3608	99.8399	96.4390	93.1539	89.9808	86.9157	83.9550	81.0952	78.3328	75.6645
30	3000.0	111.3160	107.5242	103.8615	100.3236	96.9062	93.6053	90.4167	87.3368	84.3618	81.4881
29	2900.0	119.3120	115.2478	111.3220	107.5300	103.8671	100.3290	96.9114	93.6103	90.4216	87.3415
28	2800.0	127.3519	123.0138	118.8235	114.7759	110.8662	107.0897	103.4419	99.9183	96.5147	93.2270
27	2700.0	135.4359	130.8225	126.3662	122.0617	117.9038	113.8876	110.0082	106.2609	102.6412	99.1449
26	2600.0	143.5643	138.6739	133.9502	129.3874	124.9800	120.7227	116.6104	112.6382	108.8014	105.0952
25	2500.0	151.7371	146.5683	141.5757	136.7531	132.0948	127.5951	123.2488	119.0505	114.9952	111.0780
24	2400.0	159.9544	154.5058	149.2428	144.1590	139.2484	134.5051	129.9234	125.4977	121.2228	117.0935
23	2300.0	168.2166	162.4865	156.9516	151.6053	146.4410	141.4527	136.6343	131.9801	127.4843	123.1417
22	2200.0	176.5236	170.5106	164.7024	159.0920	153.6727	148.4381	143.3817	138.4976	133.7799	129.2229
21	2100.0	184.8758	178.5782	172.4952	166.6194	160.9437	155.4614	150.1658	145.0506	140.1096	135.3370
20	2000.0	193.2724	186.6888	180.3295	174.1868	168.2534	162.5220	156.9859	151.6384	146.4731	141.4836
19	1900.0	201.7163	194.8451	188.2080	181.7969	175.6043	169.6225	163.8446	158.2634	152.8724	147.6650
18	1800.0	210.2114	203.0508	196.1341	189.4531	182.9996	176.7660	170.7447	164.9285	159.3104	153.8837
17	1700.0	218.7577	211.3060	204.1082	197.1555	190.4397	183.9526	177.6865	171.6338	165.7874	160.1400
16	1600.0	227.3557	219.6112	212.1304	204.9045	197.9247	191.1826	184.6702	178.3797	172.3034	166.4341
15	1500.0	236.0051	227.9659	220.2005	212.6997	205.4543	198.4558	191.6957	185.1658	178.8584	172.7658
14	1400.0	244.7075	236.3719	228.3202	220.5428	213.0303	205.7737	198.7643	191.9936	185.4536	179.1364
13	1300.0	253.4655	244.8315	236.4917	228.4359	220.6545	213.1382	205.8780	198.8650	192.0909	185.5476
12	1200.0	262.2794	253.3452	244.7153	236.3794	228.3275	220.5498	213.0371	205.7802	198.7706	191.9998
11	1100.0	271.1495	261.9132	252.9914	244.3736	236.0494	228.0087	220.2418	212.7396	205.4929	198.4931
10	1000.0	280.0737	270.5333	261.3180	252.4165	243.8183	235.5129	227.4905	219.7413	212.2561	205.0259
9	900.0	289.0494	279.2033	269.6926	260.5059	251.6321	243.0606	234.7811	226.7836	219.0585	211.5966
8	800.0	298.0758	287.9222	278.1145	268.6409	259.4900	250.6508	242.1128	233.8655	225.8992	218.2042
7	700.0	307.1517	296.6889	286.5826	276.8206	267.3911	258.2827	249.4847	240.9863	232.7774	224.8482
6	600.0	316.2762	305.5027	295.0962	285.0441	275.3344	265.9555	256.8961	248.1453	239.6926	231.5277
5	500.0	325.4493	314.3633	303.6549	293.3113	283.3200	273.6691	264.3470	255.3423	246.6444	238.2428
4	400.0	334.6717	323.2716	312.2597	301.6230	291.3486	281.4242	271.8379	262.5781	253.6337	244.9940
3	300.0	343.9437	332.2277	320.9108	309.9794	299.4204	289.2210	279.3691	269.8527	260.6606	251.7815
2	200.0	353.2612	341.2278	329.6044	318.3768	307.5317	297.0561	286.9373	277.1631	267.7219	258.6023
1	100.0	362.6232	350.2709	338.3394	326.8144	315.6819	304.9286	294.5416	284.5084	274.8170	265.4557
0	0.0	372.0329	359.3600	347.1189	335.2948	323.8734	312.8411	302.1846	291.8911	281.9482	272.3440
