z	h(m)	phi1.0	phi0.9	phi0.8	phi0.7	phi0.6	phi0.5	phi0.4	phi0.3	phi0.2	phi0.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	17.9579	16.7553	15.6332	14.5863	13.6095	12.6981	11.8478	11.0544	10.3141	9.6234
43	4300.0	54.3725	50.7314	47.3340	44.1642	41.2067	38.4472	35.8725	33.4702	31.2288	29.1375
42	4200.0	90.9402	84.8502	79.1680	73.8664	68.9198	64.3044	59.9981	55.9802	52.2314	48.7336
41	4100.0	127.6592	119.1103	111.1338	103.6915	96.7476	90.2687	84.2237	78.5835	73.3210	68.4109
40	4000.0	164.5361	153.5176	143.2370	133.6448	124.6950	116.3446	108.5533	101.2838	94.5011	88.1727
39	3900.0	201.5710	188.0724	175.4777	163.7265	152.7622	142.5322	132.9872	124.0815	115.7721	108.0192
38	3800.0	238.7642	222.7749	207.8563	193.9368	180.9494	168.8318	157.5256	146.9766	137.1340	127.9506
37	3700.0	276.1160	257.6253	240.3729	224.2759	209.2568	195.2435	182.1686	169.9693	158.5870	147.9669
36	3600.0	313.6265	292.6239	273.0278	254.7439	237.6845	221.7675	206.9164	193.0598	180.1311	168.0683
35	3500.0	351.2962	327.7709	305.8211	285.3412	266.2327	248.4039	231.7690	216.2482	201.7667	188.2550
34	3400.0	389.1251	363.0665	338.7531	316.0678	294.9017	275.1530	256.7268	239.5346	223.4937	208.5270
33	3300.0	427.1135	398.5110	371.8239	346.9240	323.6915	302.0149	281.7898	262.9192	245.3123	228.8845
32	3200.0	465.2618	434.1046	405.0339	377.9100	352.6025	328.9897	306.9583	286.4022	267.2227	249.3276
31	3100.0	503.5700	469.8474	438.3831	409.0259	381.6347	356.0778	332.2323	309.9837	289.2250	269.8565
30	3000.0	542.0302	505.7320	471.8647	440.2653	410.7820	383.2732	357.6065	333.6587	311.3146	290.4668
29	2900.0	580.6432	541.7592	505.4792	471.6288	440.0452	410.5767	383.0816	357.4278	333.4919	311.1590
28	2800.0	619.4185	577.9379	539.2351	503.1241	469.4314	437.9950	408.6638	381.2968	355.7625	331.9381
27	2700.0	658.3564	614.2682	573.1325	534.7515	498.9408	465.5283	434.3532	405.2659	378.1264	352.8044
26	2600.0	697.4573	650.7507	607.1718	566.5113	528.5738	493.1768	460.1502	429.3353	400.5840	373.7581
25	2500.0	736.7215	687.3855	641.3533	598.4038	558.3305	520.9408	486.0549	453.5053	423.1354	394.7993
24	2400.0	776.1494	724.1730	675.6773	630.4292	588.2113	548.8205	512.0676	477.7760	445.7808	415.9282
23	2300.0	815.7413	761.1136	710.1441	662.5878	618.2163	576.8162	538.1886	502.1477	468.5204	437.1449
22	2200.0	855.4976	798.2075	744.7539	694.8800	648.3459	604.9282	564.4179	526.6205	491.3543	458.4498
21	2100.0	895.4186	835.4551	779.5072	727.3059	678.6004	633.1566	590.7560	551.1948	514.2829	479.8429
20	2000.0	935.5014	872.8537	814.4013	759.8633	708.9775	661.4994	617.2008	575.8687	537.3045	501.3228
19	1900.0	975.7483	910.4054	849.4383	792.5539	739.4789	689.9583	643.7538	600.6435	560.4202	522.8906
18	1800.0	1016.1649	948.1153	884.6229	825.3823	770.1090	718.5371	670.4188	625.5228	583.6335	544.5493
17	1700.0	1056.7516	985.9841	919.9557	858.3490	800.8680	747.2362	697.1961	650.5069	606.9444	566.2992
16	1600.0	1097.5093	1024.0123	955.4373	891.4545	831.7565	776.0562	724.0861	675.5962	630.3535	588.1406
15	1500.0	1138.4353	1062.1977	991.0655	924.6968	862.7727	804.9954	751.0872	700.7892	653.8594	610.0724
14	1400.0	1179.5315	1100.5418	1026.8418	958.0773	893.9177	834.0547	778.2006	726.0868	677.4630	632.0953
13	1300.0	1220.8025	1139.0490	1062.7703	991.5998	925.1953	863.2377	805.4293	751.4921	701.1669	654.2119
12	1200.0	1262.2491	1177.7200	1098.8516	1025.2648	956.6059	892.5449	832.7738	777.0054	724.9717	676.4225
11	1100.0	1303.8719	1216.5555	1135.0864	1059.0731	988.1501	921.9767	860.2347	802.6273	748.8778	698.7277
10	1000.0	1345.6689	1255.5535	1171.4728	1093.0228	1019.8263	951.5316	887.8104	828.3564	772.8838	721.1261
9	900.0	1387.6388	1294.7127	1208.0097	1127.1129	1051.6335	981.2088	915.5002	854.1919	796.9892	743.6172
8	800.0	1429.7814	1334.0332	1244.6970	1161.3433	1083.5716	1011.0081	943.3039	880.1337	821.1937	766.2009
7	700.0	1472.0963	1373.5144	1281.5343	1195.7137	1115.6404	1040.9293	971.2213	906.1816	845.4973	788.8769
6	600.0	1514.5822	1413.1552	1318.5204	1230.2230	1147.8387	1070.9714	999.2516	932.3347	869.8990	811.6445
5	500.0	1557.2393	1452.9556	1355.6555	1264.8713	1180.1667	1101.1344	1027.3948	958.5932	894.3991	834.5039
4	400.0	1600.0704	1492.9185	1392.9422	1299.6610	1212.6266	1131.4207	1055.6528	984.9589	918.9991	857.4565
3	300.0	1643.0761	1533.0442	1430.3808	1334.5925	1245.2188	1161.8303	1084.0260	1011.4320	943.6994	880.5027
2	200.0	1686.2449	1573.3221	1467.9614	1369.6565	1277.9347	1192.3552	1112.5067	1038.0055	968.4934	903.6363
1	100.0	1729.5762	1613.7517	1505.6835	1404.8524	1310.7737	1222.9951	1141.0947	1064.6790	993.3807	926.8569
0	0.0	1773.0814	1654.3434	1543.5570	1440.1896	1343.7444	1253.7579	1169.7974	1091.4596	1018.3678	950.1708
