i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	272.6417	-396.1917	678235.6417	3531766.8083	169670.4042	2.3284e+04
1	318.5066	-471.4418	678281.5066	3531691.5582	195135.7515	2.1536e+04
2	372.0960	-560.8592	678335.0960	3531602.1408	235440.4477	1.9921e+04
3	433.2674	-661.3298	678396.2674	3531501.6702	280311.1521	1.8427e+04
4	502.7226	-767.9705	678465.7226	3531395.0295	328881.3205	1.7046e+04
5	580.5308	-878.3998	678543.5308	3531284.6002	383558.1211	1.5768e+04
6	666.0000	-991.2366	678629.0000	3531171.7634	446086.4885	1.4587e+04
7	758.7535	-1105.5364	678721.7535	3531057.4636	517508.6014	1.3495e+04
8	857.8377	-1220.0094	678820.8377	3530942.9906	598048.3775	1.2485e+04
9	962.1168	-1333.4906	678925.1168	3530829.5094	686883.0371	1.1551e+04
10	1070.7297	-1445.1691	679033.7297	3530717.8309	783690.4281	1.0687e+04
11	1183.5674	-1554.5441	679146.5674	3530608.4559	888472.3914	9.8882e+03
12	1300.5657	-1661.2278	679263.5657	3530501.7722	1001130.4876	9.1492e+03
13	1420.8221	-1765.3360	679383.8221	3530397.6640	1121501.5448	8.4657e+03
14	1544.0190	-1866.7870	679507.0190	3530296.2130	1249353.1674	7.8335e+03
15	1670.3522	-1965.2091	679633.3522	3530197.7909	1384396.9897	7.2488e+03
16	1799.7345	-2060.3541	679762.7345	3530102.6459	1526310.3070	6.7078e+03
17	1931.2065	-2152.6506	679894.2065	3530010.3494	1674753.5477	6.2075e+03
18	2064.8343	-2241.8829	680027.8343	3529921.1171	1829346.7954	5.7446e+03
19	2201.0214	-2327.4824	680164.0214	3529835.5176	1989684.7359	5.3163e+03
20	2338.5252	-2410.2762	680301.5252	3529752.7238	2155373.5578	4.9202e+03
21	2477.8324	-2489.7027	680440.8324	3529673.2973	2325979.3665	4.5537e+03
22	2618.6905	-2566.0344	680581.6905	3529596.9656	2501072.4444	4.2146e+03
23	2760.1437	-2640.0301	680723.1437	3529522.9699	2677073.1553	3.9008e+03
24	2902.9970	-2712.1349	680865.9970	3529450.8651	2859242.7060	3.6105e+03
25	3045.6230	-2783.1019	681008.6230	3529379.8981	3044125.0975	3.3419e+03
26	3189.0346	-2852.7603	681152.0346	3529310.2397	3231211.9373	3.0934e+03
27	3332.2732	-2921.2429	681295.2732	3529241.7571	3420052.4492	2.8634e+03
28	3475.9004	-2988.4317	681438.9004	3529174.5683	3610192.4637	2.6506e+03
29	3619.2859	-3054.4295	681582.2859	3529108.5705	3801221.9600	2.4537e+03
30	3762.8710	-3119.1340	681725.8710	3529043.8660	3992734.6141	2.2715e+03
31	3905.9786	-3182.6876	681868.9786	3528980.3124	4184365.6656	2.1028e+03
32	4049.2909	-3244.9161	682012.2909	3528918.0839	4375746.9823	1.9467e+03
33	4191.7321	-3306.1006	682154.7321	3528856.8994	4566561.4523	1.8023e+03
34	4334.5639	-3365.8801	682297.5639	3528797.1199	4756468.6643	1.6686e+03
35	4476.4151	-3424.6597	682439.4151	3528738.3403	4945192.8539	1.5449e+03
36	4618.1442	-3482.1709	682581.1442	3528680.8291	5132434.4190	1.4303e+03
37	4759.2814	-3538.5735	682722.2814	3528624.4265	5318110.1880	1.3243e+03
38	4899.5226	-3593.9671	682862.5226	3528569.0329	5502719.6885	1.2262e+03
39	5039.7560	-3648.0408	683002.7560	3528514.9592	5686036.0419	1.1354e+03
40	5178.9046	-3701.1826	683141.9046	3528461.8174	5867791.2334	1.0513e+03
41	5317.3241	-3753.2616	683280.3241	3528409.7384	6047705.8235	9.7350e+02
42	5455.3339	-3804.1621	683418.3339	3528358.8379	6225515.1171	9.0146e+02
43	5592.2087	-3854.1742	683555.2087	3528308.8258	6400987.0269	8.3477e+02
44	5728.2137	-3903.1963	683691.2137	3528259.8037	6573884.0095	7.7303e+02
45	5863.7436	-3951.0727	683826.7436	3528211.9273	6743978.2730	7.1588e+02
46	5998.0982	-3998.1096	683961.0982	3528164.8904	6911073.8604	6.6296e+02
47	6131.2764	-4044.3192	684094.2764	3528118.6808	7074972.8278	6.1397e+02
48	6263.9801	-4089.3941	684226.9801	3528073.6059	7235474.5065	5.6862e+02
49	6395.5968	-4133.6258	684358.5968	3528029.3742	7392412.7601	5.2662e+02
50	6526.0045	-4177.0824	684489.0045	3527985.9176	7545621.7264	4.8774e+02
51	6655.2036	-4219.7771	684618.2036	3527943.2229	7694942.2850	4.5174e+02
52	6783.8613	-4261.4414	684746.8613	3527901.5586	7840212.1866	4.1840e+02
53	6911.3466	-4302.3553	684874.3466	3527860.6447	7972310.8091	3.8753e+02
54	7037.5587	-4342.5683	685000.5587	3527820.4317	8109516.3885	3.5895e+02
55	7162.4403	-4382.0801	685125.4403	3527780.9199	8242552.2357	3.3248e+02
56	7286.0245	-4420.8537	685249.0245	3527742.1463	8370946.6207	3.0797e+02
57	7408.6902	-4458.7253	685371.6902	3527704.2747	8494246.3499	2.8527e+02
58	7529.8388	-4495.9019	685492.8388	3527667.0981	8612041.3589	2.6426e+02
59	7649.4266	-4532.3845	685612.4266	3527630.6155	8723938.1361	2.4479e+02
60	7767.4134	-4568.1752	685730.4134	3527594.8248	8829570.3092	2.2676e+02
61	7883.7619	-4603.2775	685846.7619	3527559.7225	8928599.2640	2.1007e+02
62	7998.4377	-4637.6961	685961.4377	3527525.3039	9020714.6649	1.9461e+02
63	8108.4851	-4670.5153	686071.4851	3527492.4847	9105440.3674	1.8029e+02
64	8211.8539	-4701.1052	686174.8539	3527461.8948	9182389.3416	1.6702e+02
65	8314.4077	-4731.3293	686277.4077	3527431.6707	9251730.1392	1.5474e+02
66	8416.1255	-4761.1974	686379.1255	3527401.8026	9313269.2029	1.4336e+02
67	8516.9874	-4790.7195	686479.9874	3527372.2805	9366842.5079	1.3282e+02
68	8616.9748	-4819.9064	686579.9748	3527343.0936	9412315.6213	1.2306e+02
