i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	114518.0773	-166594.4832	792481.0773	3365568.5168	14916303504.1354	5.2976e+03
1	133226.2438	-197285.6915	811189.2438	3334877.3085	18011722500.8332	5.2953e+03
2	152628.4096	-229641.4958	830591.4096	3302521.5042	21389756309.1670	5.2930e+03
3	172959.4565	-262924.1180	850922.4565	3269238.8820	24993059035.3085	5.2907e+03
4	194976.9972	-296698.8090	872939.9972	3235464.1910	28822069116.5778	5.2884e+03
5	219031.7799	-330761.8480	896994.7799	3201401.1520	32879325269.0741	5.2862e+03
6	244933.5512	-364873.9245	922896.5512	3167289.0755	37156227059.7079	5.2839e+03
7	272552.4832	-398826.7897	950515.4832	3133336.2103	41636305396.5358	5.2816e+03
8	301464.6658	-432177.6034	979427.6658	3099985.3966	46297171814.4078	5.2793e+03
9	331238.0785	-464555.0103	1009201.0785	3067607.9897	51120575578.6937	5.2771e+03
10	361588.5097	-495780.3097	1039551.5097	3036382.6903	56096029994.1323	5.2748e+03
11	392561.4680	-525790.5408	1070524.4680	3006372.4592	61212713274.3972	5.2725e+03
12	424208.5337	-554535.3692	1102171.5337	2977627.6308	66459218180.5308	5.2702e+03
13	456157.9361	-582140.8816	1134120.9361	2950022.1184	71825945205.5511	5.2680e+03
14	488314.2311	-608647.9857	1166277.2311	2923515.0143	77301838792.2639	5.2657e+03
15	520834.1832	-633969.3964	1198797.1832	2898193.6036	82874301506.5842	5.2634e+03
16	553735.8929	-658052.5592	1231698.8929	2874110.4408	88531418812.1777	5.2612e+03
17	586591.5773	-681118.7999	1264554.5773	2851044.2001	94264324172.4347	5.2589e+03
18	619485.2325	-703121.7802	1297448.2325	2829041.2198	100061172480.0273	5.2566e+03
19	652679.0557	-723854.6272	1330642.0557	2808308.3728	105908792050.2028	5.2544e+03
20	685586.2739	-743696.7428	1363549.2739	2788466.2572	111800388661.0112	5.2521e+03
21	718505.4162	-762437.6069	1396468.4162	2769725.3931	117722975783.8755	5.2498e+03
22	751346.9301	-780217.1808	1429309.9301	2751945.8192	123666093473.2256	5.2476e+03
23	783706.5862	-797307.9969	1461669.5862	2734855.0031	129620751427.4444	5.2453e+03
24	816213.0397	-813648.1787	1494176.0397	2718514.8213	135573392516.8423	5.2431e+03
25	848074.3086	-829531.6291	1526037.3086	2702631.3709	141520910586.0425	5.2408e+03
26	879847.3065	-844918.3323	1557810.3065	2687244.6677	147447512489.0970	5.2385e+03
27	911058.2586	-859854.9317	1589021.2586	2672308.0683	153350965171.8627	5.2363e+03
28	942027.8385	-874311.0619	1619990.8385	2657851.9381	159219391340.8658	5.2340e+03
29	972449.7679	-888325.9978	1650412.7679	2643837.0022	165049707278.4295	5.2318e+03
30	1002580.9235	-901870.9576	1680543.9235	2630292.0424	170831681480.3507	5.2295e+03
31	1032085.1623	-915000.7142	1710048.1623	2617162.2858	176563772240.2339	5.2273e+03
32	1061347.8350	-927656.9419	1739310.8350	2604506.0581	182234568555.4029	5.2250e+03
33	1089813.5602	-939947.3889	1767776.5602	2592215.6111	187846730172.8951	5.2228e+03
34	1118180.5011	-951739.1424	1796143.5011	2580423.8576	193384633344.2842	5.2205e+03
35	1145727.9119	-963189.6480	1823690.9119	2568973.3520	198854350435.1575	5.2183e+03
36	1172938.3857	-974196.7424	1850901.3857	2557966.2576	204243869835.5205	5.2160e+03
37	1199572.9309	-984825.2492	1877535.9309	2547337.7508	209552642060.1981	5.2138e+03
38	1225481.7497	-995114.7980	1903444.7497	2537048.2020	214778743231.7553	5.2115e+03
39	1251164.1780	-1004941.5496	1929127.1780	2527221.4504	219908979155.6407	5.2093e+03
40	1276044.7685	-1014460.9939	1954007.7685	2517702.0061	224948168548.3612	5.2071e+03
41	1300332.4744	-1023619.5344	1978295.4744	2508543.4656	229888522367.9684	5.2048e+03
42	1324215.8191	-1032369.5396	2002178.8191	2499793.4604	234722724830.7978	5.2026e+03
43	1347307.3373	-1040828.9866	2025270.3373	2491334.0134	239453750914.1530	5.2003e+03
44	1369766.0352	-1048954.5716	2047729.0352	2483208.4284	244075394721.8464	5.1981e+03
45	1391822.3186	-1056680.4082	2069785.3186	2475482.5918	248580268127.3667	5.1959e+03
46	1413098.1927	-1064132.4708	2091061.1927	2468030.5292	252972188455.6776	5.1936e+03
47	1433603.5525	-1071314.2380	2111566.5525	2460848.7620	257248292361.4145	5.1914e+03
48	1453741.4456	-1078093.8557	2131704.4456	2454069.1443	261398509910.3922	5.1891e+03
49	1473178.5990	-1084592.4985	2151141.5990	2447570.5015	265426647069.7380	5.1869e+03
50	1491856.1440	-1090836.8111	2169819.1440	2441326.1889	269331664320.2916	5.1847e+03
51	1509783.2308	-1096829.8653	2187746.2308	2435333.1347	273111409022.1798	5.1825e+03
52	1527347.7695	-1102457.2281	2205310.7695	2429705.7719	276758282805.5682	5.1802e+03
53	1544199.7702	-1107832.5486	2222162.7702	2424330.4514	280270533885.3889	5.1780e+03
54	1560293.4235	-1112965.6939	2238256.4235	2419197.3061	283654055057.8392	5.1758e+03
55	1575605.8281	-1117849.3773	2253568.8281	2414313.6227	286895595030.5275	5.1735e+03
56	1590167.1377	-1122463.8607	2268130.1377	2409699.1393	289986743770.3880	5.1713e+03
57	1604212.2509	-1126739.0052	2282175.2509	2405423.9948	292917885687.1094	5.1691e+03
58	1617398.0517	-1130752.3863	2295361.0517	2401410.6137	295685121847.2050	5.1669e+03
59	1629709.9909	-1134499.5901	2307672.9909	2397663.4099	298282267811.3429	5.1646e+03
60	1641135.5343	-1137976.8162	2319098.5343	2394186.1838	300703703035.8118	5.1624e+03
61	1651664.0059	-1141180.8303	2329627.0059	2390982.1697	302944360364.0890	5.1602e+03
62	1661286.4490	-1144108.9214	2339249.4490	2388054.0786	304999716029.8757	5.1580e+03
63	1668578.8454	-1146312.3919	2346541.8454	2385850.6081	306559775314.3405	5.1557e+03
64	1672556.1259	-1147480.8668	2350519.1259	2384682.1332	307406780631.6808	5.1535e+03
65	1676067.4383	-1148512.3465	2354030.4383	2383650.6535	308153936598.8566	5.1513e+03
66	1679111.1717	-1149406.3736	2357074.1717	2382756.6264	308800426615.4861	5.1491e+03
67	1681686.3384	-1150162.6739	2359649.3384	2382000.3261	309345631587.2585	5.1469e+03
68	1683792.5435	-1150781.1475	2361755.5435	2381381.8525	309789124598.9930	5.1447e+03
69	1685429.9599	-1151261.8615	2363392.9599	2380901.1385	310130666275.0148	5.1425e+03
70	1686599.3074	-1151605.0433	2364562.3074	2380557.9567	310370200801.0605	5.1402e+03
71	1687301.8373	-1151811.0767	2365264.8373	2380351.9233	310507852585.6791	5.1380e+03
72	1687548.1331	-1151883.0866	2365511.1331	2380279.9134	310545311050.6088	5.1358e+03
73	1687644.1701	-1151910.9593	2365607.1701	2380252.0407	310545311050.6088	5.1336e+03
74	1687740.2072	-1151938.8320	2365703.2072	2380224.1680	310545311050.6088	5.1314e+03
75	1687836.2442	-1151966.7048	2365799.2442	2380196.2952	310545311050.6088	5.1292e+03
76	1687932.2812	-1151994.5775	2365895.2812	2380168.4225	310545311050.6088	5.1270e+03
