s	phi5.0	phi4.9	phi4.8	phi4.7	phi4.6	phi4.5	phi4.4	phi4.3	phi4.2	phi4.1
0	24.3845	41.3704	69.4900	115.5609	190.2635	310.1389	500.5099	799.6957	1265.0051	1981.1390
1	24.3809	41.3633	69.4763	115.5347	190.2140	310.0462	500.3382	799.3805	1264.4324	1980.1088
2	24.3772	41.3562	69.4626	115.5086	190.1646	309.9536	500.1665	799.0655	1263.8600	1979.0791
3	24.3736	41.3491	69.4489	115.4824	190.1151	309.8610	499.9949	798.7506	1263.2878	1978.0499
4	24.3699	41.3420	69.4352	115.4563	190.0657	309.7685	499.8233	798.4357	1262.7159	1977.0213
5	24.3663	41.3349	69.4215	115.4301	190.0163	309.6759	499.6518	798.1211	1262.1443	1975.9932
6	24.3627	41.3278	69.4079	115.4040	189.9669	309.5834	499.4804	797.8065	1261.5729	1974.9657
7	24.3590	41.3208	69.3942	115.3779	189.9175	309.4910	499.3090	797.4921	1261.0017	1973.9387
8	24.3554	41.3137	69.3805	115.3518	189.8681	309.3985	499.1377	797.1778	1260.4308	1972.9122
9	24.3517	41.3066	69.3668	115.3256	189.8187	309.3061	498.9664	796.8636	1259.8602	1971.8862
10	24.3481	41.2995	69.3532	115.2995	189.7693	309.2137	498.7952	796.5495	1259.2899	1970.8608
11	24.3445	41.2924	69.3395	115.2734	189.7200	309.1213	498.6241	796.2356	1258.7198	1969.8359
12	24.3408	41.2853	69.3258	115.2473	189.6706	309.0290	498.4530	795.9218	1258.1499	1968.8116
13	24.3372	41.2782	69.3122	115.2212	189.6213	308.9367	498.2820	795.6081	1257.5803	1967.7878
14	24.3336	41.2712	69.2985	115.1952	189.5720	308.8444	498.1110	795.2945	1257.0110	1966.7645
15	24.3299	41.2641	69.2848	115.1691	189.5227	308.7522	497.9401	794.9811	1256.4419	1965.7417
16	24.3263	41.2570	69.2712	115.1430	189.4734	308.6599	497.7693	794.6677	1255.8731	1964.7195
17	24.3227	41.2499	69.2575	115.1169	189.4242	308.5677	497.5985	794.3545	1255.3046	1963.6978
18	24.3190	41.2428	69.2439	115.0909	189.3749	308.4756	497.4277	794.0415	1254.7363	1962.6767
19	24.3154	41.2358	69.2302	115.0648	189.3257	308.3834	497.2571	793.7285	1254.1682	1961.6561
20	24.3118	41.2287	69.2166	115.0388	189.2764	308.2913	497.0864	793.4157	1253.6005	1960.6360
21	24.3081	41.2216	69.2030	115.0127	189.2272	308.1992	496.9159	793.1030	1253.0329	1959.6164
22	24.3045	41.2145	69.1893	114.9867	189.1780	308.1072	496.7454	792.7904	1252.4657	1958.5974
23	24.3009	41.2075	69.1757	114.9607	189.1288	308.0151	496.5749	792.4779	1251.8987	1957.5789
24	24.2972	41.2004	69.1620	114.9346	189.0796	307.9231	496.4046	792.1656	1251.3319	1956.5609
25	24.2936	41.1933	69.1484	114.9086	189.0305	307.8312	496.2342	791.8534	1250.7654	1955.5434
26	24.2900	41.1863	69.1348	114.8826	188.9813	307.7392	496.0640	791.5413	1250.1992	1954.5265
