#massloading(kg/sq-m)	area(sqkm)	max_dist(m)	x_of_max_dist(m)	y_of_max_dist(m)	dir_of_max_dist(deg)	Md
256.0000	0.0000	1558.2	1037.0	-1163.0	138.3	0.5754
128.0000	1.0000	2398.7	1037.0	-2163.0	154.4	0.6631
64.0000	7.0000	5153.1	3037.0	-4163.0	143.9	0.7599
32.0000	22.0000	9367.7	6037.0	-7163.0	139.9	0.8888
16.0000	71.0000	17829.8	13037.0	-12163.0	133.0	1.0175
8.0000	293.0000	45910.1	39037.0	-24163.0	121.8	1.7819
4.0000	642.0000	66485.6	57037.0	-34163.0	120.9	2.0514
2.0000	945.0000	73903.0	62037.0	-40163.0	122.9	2.1670
1.0000	1168.0000	75575.4	62037.0	-43163.0	124.8	2.3262
0.5000	1369.0000	77328.0	62037.0	-46163.0	126.7	2.6320
0.2500	1599.0000	81052.9	62037.0	-52163.0	130.1	2.9923
0.1250	1815.0000	81052.9	62037.0	-52163.0	130.1	2.9923
0.0625	2008.0000	81052.9	62037.0	-52163.0	130.1	2.9923
0.0312	2179.0000	81052.9	62037.0	-52163.0	130.1	2.9923
