z	h(m)	wind_dir	wind_v(m/s)	windX(m/s)	windY(m/s)	temp(K)	pres(Pa)
0	0	143	0.0	0.0	-0.0	276.2	102862.0
1	100	143	1.8	1.1	-1.4	275.5	101586.3
2	200	143	3.5	2.1	-2.8	274.9	100323.5
3	300	143	4.2	2.5	-3.4	274.3	99231.6
4	400	143	4.2	2.5	-3.4	273.8	97993.0
5	500	143	4.2	2.5	-3.4	273.3	96767.5
6	600	143	4.2	2.5	-3.4	272.8	95555.1
7	700	143	4.2	2.5	-3.4	272.3	94392.1
8	800	143	4.2	2.5	-3.4	271.8	93205.2
9	900	144	5.4	3.2	-4.4	271.4	92049.5
10	1000	146	8.5	4.8	-7.1	271.1	90888.6
11	1100	147	11.2	6.0	-9.4	270.8	89761.2
12	1200	148	12.1	6.4	-10.2	270.8	88627.5
13	1300	148	12.9	6.8	-11.0	270.8	87508.1
14	1400	149	13.8	7.2	-11.8	270.8	86402.8
15	1500	149	14.7	7.5	-12.7	270.8	85311.5
16	1600	148	15.7	8.3	-13.3	270.7	84274.7
17	1700	146	16.6	9.3	-13.8	270.5	83209.4
18	1800	144	17.6	10.4	-14.2	270.3	82156.9
19	1900	141	18.6	11.6	-14.5	270.1	81117.0
20	2000	139	19.6	12.8	-14.8	269.9	80089.5
21	2100	137	20.0	13.6	-14.7	269.4	79114.5
22	2200	135	20.5	14.4	-14.5	268.9	78109.2
23	2300	133	20.9	15.2	-14.2	268.4	77114.8
24	2400	131	21.3	16.0	-13.9	267.8	76131.0
25	2500	129	21.7	16.8	-13.6	267.3	75157.9
26	2600	127	22.1	17.6	-13.2	266.8	74195.3
27	2700	125	22.5	18.4	-12.8	266.2	73243.2
28	2800	123	22.9	19.2	-12.4	265.7	72301.4
29	2900	121	23.3	20.0	-11.9	265.2	71369.9
30	3000	119	23.7	20.8	-11.3	264.6	70448.5
31	3100	117	24.2	21.5	-11.0	264.0	69632.5
32	3200	116	24.8	22.2	-11.0	263.3	68729.4
33	3300	115	25.4	22.9	-10.9	262.7	67835.8
34	3400	115	26.0	23.7	-10.8	262.0	66951.5
35	3500	114	26.6	24.4	-10.7	261.3	66076.5
36	3600	113	27.3	25.1	-10.6	260.6	65210.7
37	3700	112	27.9	25.8	-10.5	259.9	64354.0
38	3800	111	28.5	26.5	-10.4	259.3	63506.4
39	3900	111	29.1	27.3	-10.2	258.6	62667.8
40	4000	110	29.7	28.0	-10.0	257.9	61838.2
41	4100	109	30.4	28.7	-9.8	257.2	61017.4
42	4200	108	31.0	29.5	-9.6	256.5	60205.4
43	4300	107	31.7	30.3	-9.4	256.1	59474.3
44	4400	107	32.4	31.1	-9.2	255.8	58679.9
45	4449	106	32.8	31.5	-9.1	255.7	58290.5
