z	h(m)	phi0.0	phi-0.1	phi-0.2	phi-0.3	phi-0.4	phi-0.5	phi-0.6	phi-0.7	phi-0.8	phi-0.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	280.9831	262.1665	244.6100	228.2292	212.9454	192.4273	185.8725	179.5410	173.4251	167.5177
43	4300.0	839.4003	783.1882	730.7404	681.8049	636.1465	575.3556	555.7569	536.8258	518.5395	500.8762
42	4200.0	1385.2463	1292.4805	1205.9270	1125.1696	1049.8204	950.2429	917.8742	886.6080	856.4069	827.2345
41	4100.0	1919.3502	1790.8171	1670.8914	1558.9968	1454.5955	1317.5081	1272.6289	1229.2785	1187.4048	1146.9574
40	4000.0	2442.3260	2278.7708	2126.1683	1983.7852	1850.9370	1677.5103	1620.3681	1565.1724	1511.8569	1460.3575
39	3900.0	2954.0639	2756.2390	2571.6620	2399.4455	2238.7618	2030.1569	1961.0023	1894.2033	1829.6798	1767.3542
38	3800.0	3454.4609	3223.1260	3007.2829	2805.8942	2617.9918	2375.3598	2294.4464	2216.2891	2140.7941	2067.8708
37	3700.0	3943.4213	3679.3422	3432.9476	3203.0534	2988.5545	2713.0357	2620.6198	2531.3518	2445.1247	2361.8348
36	3600.0	4420.8563	4124.8048	3848.5790	3590.8511	3350.3826	3043.1059	2939.4465	2839.3182	2742.6006	2649.1775
35	3500.0	4886.6844	4559.4378	4254.1059	3969.2211	3703.4143	3365.4964	3250.8553	3140.1192	3033.1552	2929.8348
34	3400.0	5340.8314	4983.1719	4649.4638	4338.1031	4047.5933	3680.1384	3554.7794	3433.6905	3316.7264	3203.7466
33	3300.0	5783.2303	5395.9447	5034.5944	4697.4427	4382.8690	3986.9678	3851.1570	3719.9725	3593.2566	3470.8571
32	3200.0	6213.8219	5797.7008	5409.4462	5047.1917	4709.1964	4285.9257	4139.9313	3998.9101	3862.6925	3731.1150
31	3100.0	6632.5543	6188.3919	5773.9739	5387.3081	5026.5362	4576.9583	4421.0503	4270.4531	4124.9858	3984.4736
30	3000.0	7039.0135	6567.6318	6127.8172	5717.4556	5326.8312	4859.7477	4694.2069	4534.3050	4379.8499	4230.6561
29	2900.0	7432.5690	6934.8321	6470.4271	6037.1220	5610.6199	5133.8695	4958.9910	4790.0696	4626.9022	4469.2930
28	2800.0	7812.8058	7289.6056	6801.4425	6345.9702	5885.1590	5399.0568	5215.1451	5037.4981	4865.9024	4700.1519
27	2700.0	8179.4025	7631.6524	7120.5834	6643.7393	6150.1912	5655.0610	5462.4289	5276.3585	5096.6263	4923.0165
26	2600.0	8532.0716	7960.7043	7427.5997	6930.1956	6405.4828	5901.6564	5700.6243	5506.4402	5318.8706	5137.6903
25	2500.0	8870.5602	8276.5253	7722.2711	7205.1337	6650.8243	6138.6407	5929.5361	5727.5543	5532.4528	5343.9971
24	2400.0	9194.6499	8578.9117	8004.4076	7468.3764	6886.0309	6365.8353	6148.9916	5939.5343	5737.2120	5541.7815
23	2300.0	9504.1577	8867.6927	8273.8498	7719.7748	7110.9424	6583.0855	6358.8415	6142.2360	5933.0089	5730.9088
22	2200.0	9798.9356	9142.7302	8530.4689	7959.2089	7325.4240	6790.2611	6558.9599	6335.5377	6119.7260	5911.2657
