z	h(m)	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	9877.8574	8599.1743	7486.0160	6516.9555	5673.3393	4938.9287	4299.5871	3743.0080	3258.4777	2836.6696
43	4300.0	29457.0985	25643.8937	22324.3061	19434.4373	16918.6603	14728.5493	12821.9469	11162.1531	9717.2186	8459.3302
42	4200.0	48536.4641	42253.4462	36783.7614	32022.1242	27876.8783	24268.2321	21126.7231	18391.8807	16011.0621	13938.4391
41	4100.0	67160.4699	58466.5849	50898.1184	44309.3856	38573.5606	33580.2349	29233.2924	25449.0592	22154.6928	19286.7803
40	4000.0	85357.0460	74307.6245	64688.5443	56314.6487	49024.7492	42678.5230	37153.8122	32344.2722	28157.3244	24512.3746
39	3900.0	103124.2227	89774.8502	78153.5464	68036.6139	59229.3125	51562.1114	44887.4251	39076.7732	34018.3069	29614.6563
38	3800.0	120460.2831	104866.7673	91291.8233	79474.1482	69186.2645	60230.1415	52433.3836	45645.9117	39737.0741	34593.1322
37	3700.0	137363.7637	119582.1019	104102.2661	90626.2864	78894.7647	68681.8818	59791.0509	52051.1331	45313.1432	39447.3823
36	3600.0	153833.4564	133919.8022	116583.9592	101492.2314	88354.1192	76916.7282	66959.9011	58291.9796	50746.1157	44177.0596
35	3500.0	169868.4091	147879.0392	128736.1809	112071.3548	97563.7810	84934.2045	73939.5196	64368.0904	56035.6774	48781.8905
34	3400.0	185467.9263	161459.2077	140558.4042	122363.1980	106523.3509	92733.9631	80729.6038	70279.2021	61181.5990	53261.6755
33	3300.0	200631.5705	174659.9267	152050.2976	132367.4722	115232.5775	100315.7853	87329.9634	76025.1488	66183.7361	57616.2888
32	3200.0	215359.1628	187481.0405	163211.7254	142084.0595	123691.3580	107679.5814	93740.5202	81605.8627	71042.0297	61845.6790
31	3100.0	229650.7831	199922.6186	174042.7482	151513.0125	131899.7384	114825.3915	99961.3093	87021.3741	75756.5063	65949.8692
30	3000.0	243495.3688	211975.0305	184534.9822	160647.0327	139851.3648	121747.6844	105987.5153	92267.4911	80323.5164	69925.6824
29	2900.0	256870.1254	223618.4324	194671.1523	169471.0813	147533.1452	128435.0627	111809.2162	97335.5761	84735.5406	73766.5726
28	2800.0	269758.9137	234838.7743	204439.0272	177974.5103	154935.8102	134879.4568	117419.3871	102219.5136	88987.2552	77467.9051
27	2700.0	282153.3403	245628.7493	213832.2461	186151.7823	162054.5389	141076.6701	122814.3747	106916.1230	93075.8911	81027.2695
26	2600.0	294046.2274	255982.1089	222845.3691	193998.1616	168885.2088	147023.1137	127991.0544	111422.6845	96999.0808	84442.6044
25	2500.0	305431.6142	265893.6638	231473.8788	201509.7156	175424.3964	152715.8071	132946.8319	115736.9394	100754.8578	87712.1982
24	2400.0	316304.7559	275359.2834	239714.1793	208683.3138	181669.3764	158152.3779	137679.6417	119857.0896	104341.6569	90834.6882
23	2300.0	326662.1203	284375.8928	247563.5937	215516.6260	187618.1201	163331.0602	142187.9464	123781.7969	107758.3130	93809.0601
22	2200.0	336501.3821	292941.4677	255020.3598	222008.1178	193269.2920	168250.6910	146470.7339	127510.1799	111004.0589	96634.6460
21	2100.0	345821.4145	301055.0272	262083.6235	228157.0461	198622.2450	172910.7072	150527.5136	131041.8118	114078.5230	99311.1225
20	2000.0	354604.2930	308700.9670	268739.8007	233951.5849	203666.6840	177302.1465	154350.4835	134369.9004	116975.7924	101833.3420
19	1900.0	362717.1774	315763.6431	274888.2174	239304.0925	208326.3125	181358.5887	157881.8216	137444.1087	119652.0463	104163.1563
18	1800.0	370058.4688	322154.6084	280451.8759	244147.5385	212542.7772	185029.2344	161077.3042	140225.9379	122073.7692	106271.3886
17	1700.0	376656.1476	327898.2214	285451.9814	248500.3832	216332.1485	188328.0738	163949.1107	142725.9907	124250.1916	108166.0743
16	1600.0	382540.4593	333020.8124	289911.4558	252382.5811	219711.7982	191270.2297	166510.4062	144955.7279	126191.2906	109855.8991
15	1500.0	387813.6228	337611.3678	293907.7664	255861.5716	222740.4353	193906.8114	168805.6839	146953.8832	127930.7858	111370.2176
14	1400.0	392709.3714	341873.3645	297618.0501	259091.5611	225552.3045	196354.6857	170936.6823	148809.0250	129545.7806	112776.1522
13	1300.0	397370.2538	345930.8982	301150.3383	262166.5967	228229.2784	198685.1269	172965.4491	150575.1692	131083.2983	114114.6392
12	1200.0	401787.0018	349775.9007	304497.6074	265080.5636	230766.0340	200893.5009	174887.9504	152248.8037	132540.2818	115383.0170
11	1100.0	405950.4147	353400.3622	307652.8843	267827.3918	233157.2868	202975.2073	176700.1811	153826.4422	133913.6959	116578.6434
10	1000.0	409568.8333	356550.3785	310395.1328	270214.6577	235235.5225	204784.4166	178275.1892	155197.5664	135107.3289	117617.7613
9	900.0	412230.5363	358867.5256	312412.3265	271970.7268	236764.2695	206115.2681	179433.7628	156206.1633	135985.3634	118382.1347
8	800.0	414129.6770	360520.8236	313851.6060	273223.6924	237855.0394	207064.8385	180260.4118	156925.8030	136611.8462	118927.5197
7	700.0	415808.0211	361981.9070	315123.5531	274330.9866	238818.9949	207904.0106	180990.9535	157561.7765	137165.4933	119409.4975
6	600.0	417488.9592	363445.2486	316397.4659	275439.9921	239784.4403	208744.4796	181722.6243	158198.7329	137719.9961	119892.2202
5	500.0	419173.0692	364911.3515	317673.7826	276551.0904	240751.7075	209586.5346	182455.6757	158836.8913	138275.5452	120375.8538
4	400.0	420860.6462	366380.4726	318952.7268	277664.4760	241720.9660	210430.3231	183190.2363	159476.3634	138832.2380	120860.4830
3	300.0	422551.6907	367852.6124	320234.2989	278780.1493	242692.2160	211275.8453	183926.3062	160117.1494	139390.0746	121346.1080
2	200.0	424109.3570	369208.6396	321414.7892	279807.8258	243586.8604	212054.6785	184604.3198	160707.3946	139903.9129	121793.4302
1	100.0	425177.1031	370138.1666	322223.9894	280512.2755	244200.1194	212588.5515	185069.0833	161111.9947	140256.1378	122100.0597
0	0.0	425533.6830	370448.5875	322494.2265	280747.5305	244404.9208	212766.8415	185224.2937	161247.1132	140373.7653	122202.4604
