z	h(m)	phi-2.0	phi-2.1	phi-2.2	phi-2.3	phi-2.4	phi-2.5	phi-2.6	phi-2.7	phi-2.8	phi-2.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-33.6080	-32.4632	-31.3574	-30.2892	-29.2575	-28.2609	-27.2982	-26.3683	-25.4701	-24.6025
43	4300.0	-102.9052	-99.3999	-96.0140	-92.7434	-89.5842	-86.5326	-83.5850	-80.7378	-77.9876	-75.3310
42	4200.0	-174.0038	-168.0766	-162.3513	-156.8210	-151.4791	-146.3192	-141.3350	-136.5206	-131.8702	-127.3782
41	4100.0	-247.0137	-238.5995	-230.4720	-222.6213	-215.0380	-207.7130	-200.6375	-193.8031	-187.2014	-180.8246
40	4000.0	-321.9899	-311.0217	-300.4272	-290.1935	-280.3085	-270.7601	-261.5370	-252.6281	-244.0227	-235.7104
39	3900.0	-398.8080	-385.2231	-372.1010	-359.4259	-347.1825	-335.3562	-323.9327	-312.8984	-302.2399	-291.9445
38	3800.0	-477.3419	-461.0819	-445.3757	-430.2046	-415.5503	-401.3951	-387.7221	-374.5149	-361.7575	-349.4347
37	3700.0	-557.4638	-538.4745	-520.1321	-502.4145	-485.3004	-468.7693	-452.8013	-437.3772	-422.4785	-408.0874
36	3600.0	-639.0440	-617.2758	-596.2491	-575.9387	-556.3201	-537.3698	-519.0650	-501.3837	-484.3048	-467.8076
35	3500.0	-721.9510	-697.3587	-673.6041	-650.6587	-628.4949	-607.0860	-586.4065	-566.4313	-547.1366	-528.4991
34	3400.0	-806.0520	-778.5949	-752.0731	-726.4547	-701.7090	-677.8062	-654.7177	-632.4156	-610.8732	-590.0646
33	3300.0	-891.2122	-860.8543	-831.5304	-803.2054	-775.8453	-749.4172	-723.8893	-699.2309	-675.4126	-652.4055
32	3200.0	-977.2955	-944.0053	-911.8490	-880.7881	-850.7852	-821.8043	-793.8106	-766.7705	-740.6515	-715.4222
31	3100.0	-1064.1643	-1027.9150	-992.9004	-959.0786	-926.4088	-894.8519	-864.3700	-834.9264	-806.4857	-779.0139
30	3000.0	-1152.9755	-1113.7009	-1075.7642	-1039.1197	-1003.7235	-969.5330	-936.5071	-904.6063	-873.7920	-844.0275
29	2900.0	-1245.7673	-1203.3318	-1162.3419	-1122.7483	-1084.5034	-1047.5612	-1011.8774	-977.4092	-944.1150	-911.9550
28	2800.0	-1343.2140	-1297.4592	-1253.2629	-1210.5722	-1169.3357	-1129.5038	-1091.0288	-1053.8643	-1017.9658	-983.2902
27	2700.0	-1445.0372	-1395.8140	-1348.2674	-1302.3405	-1257.9780	-1215.1266	-1173.7350	-1133.7532	-1095.1334	-1057.8292
26	2600.0	-1550.9531	-1498.1219	-1447.0904	-1397.7972	-1350.1831	-1304.1909	-1259.7654	-1216.8531	-1175.4027	-1135.3641
25	2500.0	-1660.6727	-1604.1041	-1549.4624	-1496.6820	-1445.6995	-1396.4537	-1348.8854	-1302.9374	-1258.5545	-1215.6836
24	2400.0	-1773.9029	-1713.4772	-1655.1099	-1598.7308	-1544.2721	-1491.6686	-1440.8568	-1391.7760	-1344.3670	-1298.5729
23	2300.0	-1890.3469	-1825.9547	-1763.7560	-1703.6760	-1645.6425	-1589.5859	-1535.4388	-1483.1361	-1432.6150	-1383.8149
22	2200.0	-2009.7050	-1941.2471	-1875.1211	-1811.2476	-1749.5498	-1689.9538	-1632.3877	-1576.7826	-1523.0716	-1471.1902
21	2100.0	-2131.6754	-2059.0627	-1988.9235	-1921.1734	-1855.7312	-1792.5182	-1731.4585	-1672.4786	-1615.5079	-1560.4777
20	2000.0	-2255.7232	-2178.8850	-2104.6642	-2032.9716	-1963.7211	-1896.8295	-1832.2166	-1769.8045	-1709.5185	-1651.2860
19	1900.0	-2379.7750	-2298.7111	-2220.4086	-2144.7733	-2071.7144	-2001.1442	-1932.9779	-1867.1336	-1803.5322	-1742.0972
18	1800.0	-2501.8326	-2416.6110	-2334.2923	-2254.7778	-2177.9718	-2103.7820	-2032.1195	-1962.8981	-1896.0345	-1831.4486
17	1700.0	-2621.3001	-2532.0090	-2445.7594	-2362.4479	-2281.9743	-2204.2418	-2129.1573	-2056.6303	-1986.5740	-1918.9040
16	1600.0	-2737.5956	-2644.3430	-2554.2670	-2467.2593	-2383.2154	-2302.0343	-2223.6186	-2147.8740	-2074.7095	-2004.0373
15	1500.0	-2849.7733	-2752.6996	-2658.9325	-2568.3595	-2480.8718	-2396.3642	-2314.7352	-2235.8868	-2159.7243	-2086.1562
14	1400.0	-2956.3287	-2855.6253	-2758.3522	-2664.3926	-2573.6336	-2485.9662	-2401.2850	-2319.4885	-2240.4782	-2164.1593
13	1300.0	-3056.3999	-2952.2877	-2851.7219	-2754.5818	-2660.7506	-2570.1157	-2482.5681	-2398.0027	-2316.3180	-2237.4157
12	1200.0	-3149.9637	-3042.6644	-2939.0201	-2838.9062	-2742.2027	-2648.7932	-2558.5656	-2471.4114	-2387.2261	-2305.9084
11	1100.0	-3236.9989	-3126.7348	-3020.2268	-2917.3468	-2817.9712	-2721.9808	-2629.2601	-2539.6979	-2453.1864	-2369.6219
10	1000.0	-3310.4775	-3197.7105	-3088.7847	-2983.5694	-2881.9380	-2783.7687	-2688.9433	-2597.3480	-2508.8728	-2423.4114
