z	h(m)	phi1.0	phi0.9	phi0.8	phi0.7	phi0.6	phi0.5	phi0.4	phi0.3	phi0.2	phi0.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-165.0665	-154.0125	-143.6987	-134.0756	-125.0970	-116.7196	-108.9033	-101.6103	-94.8058	-88.4569
43	4300.0	-504.9731	-471.1566	-439.6046	-410.1656	-382.6981	-357.0699	-333.1580	-310.8474	-290.0309	-270.6084
42	4200.0	-853.1763	-796.0416	-742.7331	-692.9945	-646.5867	-603.2867	-562.8864	-525.1916	-490.0211	-457.2058
41	4100.0	-1210.3097	-1129.2589	-1053.6358	-983.0770	-917.2432	-855.8182	-798.5066	-745.0330	-695.1404	-648.5889
40	4000.0	-1576.6646	-1471.0801	-1372.5662	-1280.6496	-1194.8883	-1114.8702	-1040.2107	-970.5509	-905.5560	-844.9136
39	3900.0	-1951.6149	-1820.9211	-1698.9795	-1585.2039	-1479.0475	-1380.0002	-1287.5857	-1201.3599	-1120.9084	-1045.8445
38	3800.0	-2334.5279	-2178.1916	-2032.3246	-1896.2259	-1769.2413	-1650.7605	-1540.2140	-1437.0705	-1340.8342	-1251.0425
37	3700.0	-2724.7639	-2542.2946	-2372.0447	-2213.1960	-2064.9849	-1926.6990	-1797.6738	-1677.2889	-1564.9659	-1460.1648
36	3600.0	-3121.6767	-2912.6274	-2717.5774	-2535.5894	-2365.7885	-2207.3588	-2059.5386	-1921.6174	-1792.9324	-1672.8651
35	3500.0	-3524.6140	-3288.5812	-3068.3547	-2862.8762	-2671.1579	-2492.2785	-2325.3781	-2169.6544	-2024.3592	-1888.7939
34	3400.0	-3932.9177	-3669.5419	-3423.8037	-3194.5218	-2980.5942	-2780.9928	-2594.7580	-2420.9948	-2258.8680	-2107.5984
33	3300.0	-4345.9237	-4054.8902	-3783.3463	-3529.9870	-3293.5943	-3073.0321	-2867.2404	-2675.2299	-2496.0777	-2328.9229
32	3200.0	-4762.9630	-4444.0016	-4146.4001	-3868.7281	-3609.6510	-3367.9235	-3142.3837	-2931.9477	-2735.6039	-2552.4087
31	3100.0	-5183.3614	-4836.2471	-4512.3781	-4210.1977	-3928.2533	-3665.1900	-3419.7432	-3190.7332	-2977.0593	-2777.6946
30	3000.0	-5612.7239	-5236.8565	-4886.1599	-4558.9484	-4253.6493	-3968.7951	-3703.0168	-3455.0368	-3223.6633	-3007.7842
29	2900.0	-6060.8232	-5654.9480	-5276.2530	-4922.9181	-4593.2450	-4285.6492	-3998.6521	-3730.8743	-3481.0288	-3247.9147
28	2800.0	-6530.7942	-6093.4465	-5685.3866	-5304.6533	-4949.4165	-4617.9689	-4308.7173	-4020.1754	-3750.9563	-3499.7660
27	2700.0	-7021.2399	-6551.0485	-6112.3444	-5703.0190	-5321.1048	-4964.7664	-4632.2908	-4322.0802	-4032.6434	-3762.5893
26	2600.0	-7530.7420	-7026.4307	-6555.8917	-6116.8632	-5707.2352	-5325.0387	-4968.4368	-4635.7154	-4325.2755	-4035.6247
25	2500.0	-8057.8638	-7518.2528	-7014.7779	-6545.0192	-6106.7189	-5697.7702	-5316.2075	-4960.1970	-4628.0275	-4318.1023
24	2400.0	-8601.1542	-8025.1606	-7487.7396	-6986.3081	-6518.4560	-6081.9345	-5674.6455	-5294.6315	-4940.0658	-4609.2444
23	2300.0	-9159.1501	-8545.7892	-7973.5032	-7439.5416	-6941.3377	-6476.4971	-6042.7855	-5638.1182	-5260.5503	-4908.2670
22	2200.0	-9730.3799	-9078.7655	-8470.7877	-7903.5244	-7374.2490	-6880.4176	-6419.6566	-5989.7514	-5588.6357	-5214.3815
21	2100.0	-10313.3672	-9622.7118	-8978.3076	-8377.0572	-7816.0708	-7292.6519	-6804.2848	-6348.6222	-5923.4740	-5526.7966
20	2000.0	-10905.5337	-10175.2228	-9493.8185	-8858.0459	-8264.8491	-7711.3769	-7194.9690	-6713.1435	-6263.5843	-5844.1308
19	1900.0	-11496.8080	-10726.9012	-10008.5527	-9338.3099	-8712.9512	-8129.4709	-7585.0646	-7077.1155	-6603.1822	-6160.9869
18	1800.0	-12077.5173	-11268.7221	-10514.0895	-9809.9924	-9153.0466	-8540.0944	-7968.1898	-7434.5840	-6936.7122	-6472.1813
17	1700.0	-12644.8688	-11798.0798	-11007.9977	-10270.8250	-9583.0186	-8941.2725	-8342.5022	-7783.8298	-7262.5700	-6776.2174
16	1600.0	-13196.1516	-12312.4448	-11487.9172	-10718.6058	-10000.8128	-9331.0883	-8706.2132	-8123.1842	-7579.1988	-7071.6426
15	1500.0	-13726.9435	-12807.6911	-11949.9984	-11149.7427	-10403.0778	-9706.4148	-9056.4053	-8449.9249	-7884.0587	-7356.0869
14	1400.0	-14230.1368	-13277.1872	-12388.0536	-11558.4628	-10784.4271	-10062.2263	-9388.3891	-8759.6767	-8173.0674	-7625.7415
13	1300.0	-14701.7105	-13717.1809	-12798.5824	-11941.4996	-11141.8131	-10395.6792	-9699.5117	-9049.9644	-8443.9153	-7878.4516
12	1200.0	-15141.6867	-14127.6933	-13181.6039	-12298.8713	-11475.2527	-10706.7894	-9989.7877	-9320.8015	-8696.6153	-8114.2290
11	1100.0	-15550.0974	-14508.7539	-13537.1460	-12630.6038	-11784.7701	-10995.5793	-10259.2382	-9572.2077	-8931.1856	-8333.0908
10	1000.0	-15894.2407	-14829.8509	-13836.7402	-12910.1351	-12045.5819	-11238.9254	-10486.2881	-9784.0528	-9128.8441	-8517.5127
9	900.0	-16134.1033	-15053.6507	-14045.5528	-13104.9641	-12227.3639	-11408.5339	-10644.5385	-9931.7056	-9266.6090	-8646.0519
8	800.0	-16297.3439	-15205.9596	-14187.6619	-13237.5567	-12351.0771	-11523.9624	-10752.2371	-10032.1920	-9360.3661	-8733.5304
7	700.0	-16440.0229	-15339.0837	-14311.8712	-13353.4480	-12459.2075	-11624.8516	-10846.3701	-10120.0211	-9442.3136	-8809.9901
6	600.0	-16583.2672	-15472.7354	-14436.5726	-13469.7985	-12567.7664	-11726.1407	-10940.8761	-10208.1984	-9524.5859	-8886.7528
5	500.0	-16727.0546	-15606.8938	-14561.7468	-13586.5902	-12676.7369	-11827.8137	-11035.7404	-10296.7099	-9607.1700	-8963.8066
4	400.0	-16871.3833	-15741.5573	-14687.3923	-13703.8215	-12786.1176	-11929.8696	-11130.9619	-10385.5547	-9690.0651	-9041.1505
3	300.0	-17016.2543	-15876.7266	-14813.5097	-13821.4933	-12895.9093	-12032.3088	-11226.5411	-10474.7332	-9773.2716	-9118.7849
2	200.0	-17149.9044	-16001.4266	-14929.8589	-13930.0509	-12997.1971	-12126.8137	-11314.7172	-10557.0045	-9850.0335	-9190.4062
1	100.0	-17241.6756	-16087.0522	-15009.7504	-14004.5924	-13066.7467	-12191.7058	-11375.2637	-10613.4963	-9902.7422	-9239.5852
0	0.0	-17272.3888	-16115.7086	-15036.4878	-14029.5392	-13090.0229	-12213.4232	-11395.5268	-10632.4025	-9920.3823	-9256.0440
