z	h(m)	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	315.6509	274.7901	239.2187	208.2520	181.2939	157.8255	137.3951	119.6093	104.1260	90.6469
43	4300.0	954.0370	830.5374	723.0248	629.4297	547.9503	477.0185	415.2687	361.5124	314.7148	273.9752
42	4200.0	1593.1253	1386.8961	1207.3632	1051.0707	915.0102	796.5626	693.4481	603.6816	525.5354	457.5051
41	4100.0	2233.3149	1944.2135	1692.5362	1473.4383	1282.7025	1116.6574	972.1068	846.2681	736.7192	641.3513
40	4000.0	2874.8669	2502.7170	2178.7417	1896.7048	1651.1775	1437.4335	1251.3585	1089.3709	948.3524	825.5887
39	3900.0	3517.7799	3062.4053	2665.9786	2320.8692	2020.4340	1758.8899	1531.2026	1332.9893	1160.4346	1010.2170
38	3800.0	4162.0522	3623.2769	3154.2457	2745.9304	2390.4712	2081.0261	1811.6384	1577.1229	1372.9652	1195.2356
37	3700.0	4807.6822	4185.3304	3643.5418	3171.8873	2761.2883	2403.8411	2092.6652	1821.7709	1585.9437	1380.6442
36	3600.0	5454.6683	4748.5646	4133.8656	3598.7390	3132.8843	2727.3342	2374.2823	2066.9328	1799.3695	1566.4421
35	3500.0	6103.0090	5312.9779	4625.2159	4026.4843	3505.2582	3051.5045	2656.4890	2312.6080	2013.2422	1752.6291
34	3400.0	6752.7027	5878.5691	5117.5916	4455.1223	3878.4092	3376.3513	2939.2846	2558.7958	2227.5611	1939.2046
33	3300.0	7403.7477	6445.3368	5610.9915	4884.6519	4252.3364	3701.8739	3222.6684	2805.4958	2442.3259	2126.1682
32	3200.0	8056.1427	7013.2795	6105.4144	5315.0720	4627.0389	4028.0713	3506.6398	3052.7072	2657.5360	2313.5195
31	3100.0	8709.8859	7582.3960	6600.8591	5746.3816	5002.5158	4354.9429	3791.1980	3300.4296	2873.1908	2501.2579
30	3000.0	9364.8901	8152.6104	7097.2595	6178.5233	5378.7169	4682.4451	4076.3052	3548.6298	3089.2616	2689.3585
29	2900.0	10021.0106	8723.7964	7594.5059	6611.4014	5755.5592	5010.5053	4361.8982	3797.2529	3305.7007	2877.7796
28	2800.0	10678.1885	9295.9030	8092.5536	7044.9771	6133.0088	5339.0943	4647.9515	4046.2768	3522.4886	3066.5044
27	2700.0	11336.4231	9868.9295	8591.4021	7479.2500	6511.0653	5668.2115	4934.4647	4295.7011	3739.6250	3255.5326
26	2600.0	11995.7133	10442.8749	9091.0507	7914.2193	6889.7280	5997.8566	5221.4375	4545.5253	3957.1096	3444.8640
25	2500.0	12656.0582	11017.7386	9591.4985	8349.8845	7268.9966	6328.0291	5508.8693	4795.7493	4174.9422	3634.4983
24	2400.0	13317.4570	11593.5197	10092.7451	8786.2449	7648.8705	6658.7285	5796.7598	5046.3725	4393.1225	3824.4352
23	2300.0	13979.9087	12170.2174	10594.7896	9223.3000	8029.3491	6989.9543	6085.1087	5297.3948	4611.6500	4014.6745
22	2200.0	14643.4124	12747.8309	11097.6314	9661.0492	8410.4319	7321.7062	6373.9154	5548.8157	4830.5246	4205.2159
21	2100.0	15307.9672	13326.3595	11601.2697	10099.4919	8792.1184	7653.9836	6663.1797	5800.6349	5049.7460	4396.0592
20	2000.0	15973.5288	13905.7645	12105.6711	10538.5988	9174.3831	7986.7644	6952.8822	6052.8356	5269.2994	4587.1916
19	1900.0	16639.7583	14485.7510	12610.5787	10978.1463	9557.0315	8319.8791	7242.8755	6305.2893	5489.0732	4778.5157
18	1800.0	17306.3602	15066.0616	13115.7684	11417.9396	9939.8937	8653.1801	7533.0308	6557.8842	5708.9698	4969.9469
17	1700.0	17973.3344	15646.6964	13621.2403	11857.9784	10322.9698	8986.6672	7823.3482	6810.6202	5928.9892	5161.4849
16	1600.0	18640.6809	16227.6552	14126.9944	12298.2629	10706.2597	9320.3404	8113.8276	7063.4972	6149.1315	5353.1299
15	1500.0	19308.3401	16808.8864	14632.9855	12738.7538	11089.7293	9654.1701	8404.4432	7316.4928	6369.3769	5544.8646
14	1400.0	19976.1299	17390.2311	15139.0755	13179.3307	11473.2738	9988.0650	8695.1156	7569.5378	6589.6654	5736.6369
13	1300.0	20643.9275	17971.5827	15645.1715	13619.9128	11856.8228	10321.9638	8985.7914	7822.5857	6809.9564	5928.4114
12	1200.0	21311.7331	18552.9413	16151.2735	14060.5002	12240.3764	10655.8666	9276.4706	8075.6367	7030.2501	6120.1882
11	1100.0	21979.5468	19134.3069	16657.3816	14501.0929	12623.9346	10989.7734	9567.1534	8328.6908	7250.5465	6311.9673
10	1000.0	22647.6159	19715.8948	17163.6833	14941.8542	13007.6396	11323.8079	9857.9474	8581.8416	7470.9271	6503.8198
9	900.0	23316.2531	20297.9773	17670.4155	15382.9902	13391.6708	11658.1265	10148.9886	8835.2078	7691.4951	6695.8354
8	800.0	23985.6127	20880.6886	18177.6953	15824.6028	13776.1169	11992.8063	10440.3443	9088.8476	7912.3014	6888.0585
7	700.0	24655.8393	21464.1548	18685.6320	16266.7875	14161.0610	12327.9196	10732.0774	9342.8160	8133.3937	7080.5305
6	600.0	25327.0072	22048.4404	19194.2822	16709.5932	14546.5457	12663.5036	11024.2202	9597.1411	8354.7966	7273.2729
5	500.0	25999.1548	22633.5789	19703.6748	17153.0452	14932.5932	12999.5774	11316.7894	9851.8374	8576.5226	7466.2966
4	400.0	26672.3014	23219.5870	20213.8245	17597.1563	15319.2144	13336.1507	11609.7935	10106.9123	8798.5782	7659.6072
3	300.0	27346.4461	23806.4640	20724.7307	18041.9260	15706.4088	13673.2230	11903.2320	10362.3653	9020.9630	7853.2044
2	200.0	28021.6390	24394.2536	21236.4312	18487.3872	16094.2053	14010.8195	12197.1268	10618.2156	9243.6936	8047.1027
1	100.0	28698.0131	24983.0715	21749.0269	18933.6276	16482.6802	14349.0065	12491.5357	10874.5135	9466.8138	8241.3401
0	0.0	29375.6501	25572.9888	22262.5798	19380.7014	16871.8805	14687.8251	12786.4944	11131.2899	9690.3507	8435.9402
