i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	545.2667	-792.3563	678508.2667	3531370.6437	338588.5123	8.4199e+06
1	634.4701	-938.7035	678597.4701	3531224.2965	376411.6670	8.0855e+06
2	732.7122	-1102.5859	678695.7122	3531060.4141	428819.9298	7.7645e+06
3	840.3980	-1279.2026	678803.3980	3530883.7974	485411.6606	7.4564e+06
4	959.9555	-1462.6995	678922.9555	3530700.3005	545346.1520	7.1606e+06
5	1092.2058	-1650.2225	679055.2058	3530512.7775	611062.7683	6.8766e+06
6	1236.0017	-1839.8772	679199.0017	3530323.1228	684320.4442	6.6039e+06
7	1390.6457	-2030.2663	679353.6457	3530132.7337	766158.8968	6.3422e+06
8	1554.2489	-2219.1691	679517.2489	3529943.8309	856797.9276	6.0909e+06
9	1724.7402	-2404.6581	679687.7402	3529758.3419	955425.2222	5.8496e+06
10	1900.6474	-2585.5735	679863.6474	3529577.4265	1061739.9210	5.6180e+06
11	2081.9375	-2761.2731	680044.9375	3529401.7269	1175753.9598	5.3956e+06
12	2268.6332	-2931.2633	680231.6332	3529231.7367	1297377.0531	5.1821e+06
13	2459.0609	-3096.0058	680422.0609	3529066.9942	1426464.9812	4.9771e+06
14	2652.7044	-3255.5305	680615.7044	3528907.4695	1562794.4609	4.7803e+06
15	2850.0665	-3409.2586	680813.0665	3528753.7414	1706077.5405	4.5913e+06
16	3051.0783	-3556.8357	681014.0783	3528606.1643	1855995.4084	4.4098e+06
17	3253.9225	-3699.2424	681216.9225	3528463.7576	2012225.7927	4.2356e+06
18	3458.8293	-3836.1544	681421.8293	3528326.8456	2174389.9067	4.0683e+06
19	3666.7006	-3966.5282	681629.7006	3528196.4718	2342077.3849	3.9077e+06
20	3875.1436	-4092.0994	681838.1436	3528070.9006	2514916.0410	3.7534e+06
21	4085.2215	-4211.8155	682048.2215	3527951.1845	2692465.3936	3.6053e+06
22	4296.5165	-4326.2819	682259.5165	3527836.7181	2874302.4869	3.4631e+06
23	4507.2916	-4436.8917	682470.2916	3527726.1083	3056862.6057	3.3265e+06
24	4719.5728	-4543.8957	682682.5728	3527619.1043	3245389.5019	3.1954e+06
25	4930.1956	-4648.7612	682893.1956	3527514.2388	3436454.3072	3.0694e+06
26	5141.2390	-4751.1713	683104.2390	3527411.8287	3629532.9943	2.9485e+06
27	5350.8392	-4851.4134	683313.8392	3527311.5866	3824194.0383	2.8324e+06
28	5560.1697	-4949.2712	683523.1697	3527213.7288	4019975.9417	2.7208e+06
29	5768.0188	-5044.9674	683731.0188	3527118.0326	4216482.4326	2.6137e+06
30	5975.3158	-5138.3122	683938.3158	3527024.6878	4413302.0794	2.5109e+06
