i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	7157.3954	-10412.1805	685120.3954	3521750.8195	4400003.3030	5.3547e+06
1	8329.0243	-12334.2746	686292.0243	3519828.7254	4746466.4680	5.3329e+06
2	9550.0379	-14370.5302	687513.0379	3517792.4698	5103202.2211	5.3112e+06
3	10834.4693	-16473.4984	688797.4693	3515689.5016	5456310.6258	5.2896e+06
4	12228.7089	-18612.3394	690191.7089	3513550.6606	5805371.4183	5.2681e+06
5	13754.0386	-20772.5316	691717.0386	3511390.4684	6153573.1719	5.2466e+06
6	15398.3453	-22938.3040	693361.3453	3509224.6960	6502833.9387	5.2253e+06
7	17153.4627	-25096.1804	695116.4627	3507066.8196	6854007.3226	5.2040e+06
8	18992.8789	-27218.1467	696955.8789	3504944.8533	7206938.6029	5.1828e+06
9	20889.4050	-29280.6161	698852.4050	3502882.3839	7560827.3009	5.1618e+06
10	22825.0431	-31271.9862	700788.0431	3500891.0138	76665609.3335	5.1408e+06
11	24802.4642	-33187.9855	702765.4642	3498975.0145	84580112.6139	5.1199e+06
12	26824.7504	-35025.2035	704787.7504	3497137.7965	92761641.3021	5.0990e+06
13	28868.5429	-36791.3047	706831.5429	3495371.6953	101193974.8142	5.0783e+06
14	30927.7647	-38488.6649	708890.7647	3493674.3351	109858460.2735	5.0577e+06
15	33012.1095	-40111.6744	710975.1095	3492051.3256	118734098.2119	5.0371e+06
16	35122.6096	-41656.9154	713085.6096	3490506.0846	127800400.7907	5.0166e+06
17	37232.4334	-43138.1052	715195.4334	3489024.8948	137040450.1399	4.9962e+06
18	39346.7390	-44552.2470	717309.7390	3487610.7530	146433544.0692	4.9759e+06
19	41481.8244	-45886.3235	719444.8244	3486276.6765	155957233.0621	4.9557e+06
20	43600.9298	-47163.9710	721563.9298	3484999.0290	165596987.3901	4.9356e+06
21	45722.6291	-48371.9660	723685.6291	3483791.0340	175330545.8933	4.9155e+06
22	47841.2436	-49518.9990	725804.2436	3482644.0010	185138804.3793	4.8956e+06
