s	phi-2.0	phi-2.1	phi-2.2	phi-2.3	phi-2.4	phi-2.5	phi-2.6	phi-2.7	phi-2.8	phi-2.9
0	191780.3144	145489.6768	109270.6906	81249.0100	59810.1457	43588.6609	31449.4862	22464.3783	15886.0349	11121.8312
1	182126.2499	137914.4125	103386.1164	76723.5681	56364.7850	40991.8813	29511.8995	21033.1404	14839.4223	10364.1573
2	172958.1631	130733.5722	97818.4452	72450.1861	53117.8942	38549.8039	27693.6864	19693.0888	13861.7633	9658.0998
3	164251.5904	123926.6194	92550.6109	68414.8247	50058.0404	36253.2125	25987.4926	18438.4137	12948.5149	9000.1424
4	155983.2994	117474.0867	87566.4662	64604.2267	47174.4493	34093.4397	24386.4164	17263.6759	12095.4337	8387.0084
5	148131.2274	111357.5204	82850.7335	61005.8729	44456.9673	32062.3347	22883.9818	16163.7822	11298.5556	7815.6440
6	140674.4223	105559.4276	78388.9580	57607.9418	41896.0258	30152.2320	21474.1113	15133.9644	10554.1779	7283.2038
7	133592.9867	100063.2262	74167.4633	54399.2701	39482.6072	28355.9231	20151.1023	14169.7578	9858.8417	6787.0361
8	126868.0248	94853.1975	70173.3096	51369.3164	37208.2134	26666.6286	18909.6032	13266.9821	9209.3161	6324.6697
9	120481.5920	89914.4413	66394.2537	48508.1263	35064.8360	25077.9733	17744.5922	12421.7236	8602.5828	5893.8021
10	114416.6470	85232.8332	62818.7120	45806.3000	33044.9278	23583.9616	16651.3569	11630.3177	8035.8227	5492.2872
11	108657.0064	80794.9840	59435.7246	43254.9612	31141.3763	22178.9551	15625.4753	10889.3334	7506.4022	5118.1255
12	103187.3014	76588.2020	56234.9218	40845.7279	29347.4787	20857.6515	14662.7978	10195.5583	7011.8612	4769.4536
13	97992.9368	72600.4560	53206.4924	38570.6852	27656.9186	19615.0640	13759.4303	9545.9846	6549.9019	4444.5349
14	93060.0524	68820.3414	50341.1536	36422.3587	26063.7431	18446.5032	12911.7188	8937.7962	6118.3776	4141.7513
15	88375.4853	65237.0475	47630.1224	34393.6906	24562.3424	17347.5591	12116.2344	8368.3564	5715.2833	3859.5948
16	83926.7355	61840.3263	45065.0888	32478.0162	23147.4298	16314.0842	11369.7594	7835.1963	5338.7458	3596.6602
17	79701.9322	58620.4633	42638.1905	30669.0418	21814.0232	15342.1782	10669.2744	7336.0047	4987.0156	3351.6379
18	75689.8019	55568.2502	40341.9883	28960.8245	20557.4274	14428.1731	10011.9458	6868.6173	4658.4583	3123.3078
19	71879.6391	52674.9577	38169.4439	27347.7521	19373.2177	13568.6196	9395.1150	6431.0078	4351.5472	2910.5327
20	68261.2767	49932.3114	36113.8980	25824.5254	18257.2244	12760.2738	8816.2867	6021.2790	4064.8561	2712.2529
21	64825.0598	47332.4675	34169.0498	24386.1399	17205.5179	12000.0848	8273.1198	5637.6547	3797.0530	2527.4809
22	61561.8192	44867.9905	32328.9378	23027.8703	16214.3948	11285.1838	7763.4171	5278.4716	3546.8935	2355.2964
23	58462.8475	42531.8324	30587.9217	21745.2542	15280.3654	10612.8729	7285.1170	4942.1726	3313.2151	2194.8420
24	55519.8754	40317.3119	28940.6648	20534.0778	14400.1406	9980.6146	6836.2846	4627.2997	3094.9320	2045.3185
25	52725.0502	38218.0957	27382.1180	19390.3619	13570.6212	9386.0229	6415.1046	4332.4877	2891.0300	1905.9814
26	50070.9142	36228.1801	25907.5038	18310.3493	12788.8862	8826.8538	6019.8733	4056.4587	2700.5615	1776.1365
27	47550.3853	34341.8741	24512.3024	17290.4917	12052.1830	8300.9970	5648.9920	3798.0159	2522.6417	1655.1373
28	45156.7377	32553.7832	23192.2369	16327.4385	11357.9176	7806.4679	5300.9605	3556.0388	2356.4436	1542.3812
29	42883.5844	30858.7934	21943.2612	15418.0259	10703.6452	7341.4002	4974.3710	3329.4785	2201.1951	1437.3066
30	40724.8597	29252.0573	20761.5468	14559.2661	10087.0623	6904.0388	4667.9026	3117.3526	2056.1747	1339.3902
31	38674.8035	27728.9797	19643.4715	13748.3379	9505.9975	6492.7331	4380.3155	2918.7416	1920.7087	1248.1443
32	36727.9455	26285.2048	18585.6081	12982.5771	8958.4050	6105.9307	4110.4465	2732.7844	1794.1675	1163.1146
33	34879.0907	24916.6034	17584.7140	12259.4680	8442.3565	5742.1720	3857.2040	2558.6747	1675.9631	1083.8775
34	33123.3057	23619.2615	16637.7212	11576.6349	7956.0349	5400.0840	3619.5636	2395.6579	1565.5464	1010.0384
35	31455.9056	22389.4687	15741.7270	10931.8346	7497.7279	5078.3759	3396.5641	2243.0271	1462.4042	941.2296
36	29872.4410	21223.7081	14893.9850	10322.9486	7065.8216	4775.8333	3187.3035	2100.1206	1366.0573	877.1084
37	28368.6867	20118.6455	14091.8965	9747.9766	6658.7953	4491.3147	2990.9354	1966.3189	1276.0579	817.3555
38	26940.6301	19071.1206	13333.0031	9205.0296	6275.2157	4223.7462	2806.6654	1841.0419	1191.9880	761.6732
39	25584.4608	18078.1376	12614.9784	8692.3240	5913.7322	3972.1179	2633.7482	1723.7465	1113.4568	709.7843
40	24296.5599	17136.8566	11935.6217	8208.1752	5573.0719	3735.4804	2471.4843	1613.9241	1040.0994	661.4303
41	23073.4909	16244.5856	11292.8505	7750.9928	5252.0354	3512.9404	2319.2174	1511.0987	971.5750	616.3704
42	21911.9902	15398.7728	10684.6946	7319.2747	4949.4921	3303.6582	2176.3316	1414.8244	907.5652	574.3802
43	20808.9585	14596.9992	10109.2898	6911.6026	4664.3769	3106.8438	2042.2489	1324.6839	847.7724	535.2506
44	19761.4525	13836.9719	9564.8724	6526.6372	4395.6857	2921.7547	1916.4270	1240.2864	791.9190	498.7867
45	18766.6771	13116.5172	9049.7736	6163.1138	4142.4724	2747.6921	1798.3569	1161.2660	739.7454	464.8069
46	17821.9779	12433.5747	8562.4146	5819.8380	3903.8455	2583.9993	1687.5611	1087.2800	691.0091	433.1419
47	16924.8341	11786.1912	8101.3013	5495.6822	3678.9646	2430.0584	1583.5913	1018.0079	645.4836	403.6342
48	16072.8518	11172.5153	7665.0205	5189.5814	3467.0380	2285.2885	1486.0271	953.1491	602.9575	376.1366
49	15263.7575	10590.7919	7252.2347	4900.5299	3267.3195	2149.1433	1394.4737	892.4226	563.2331	350.5123
50	14495.3924	10039.3572	6861.6788	4627.5781	3079.1057	2021.1088	1308.5609	835.5651	526.1259	326.6337
51	13765.7062	9516.6343	6492.1556	4369.8292	2901.7339	1900.7019	1227.9411	782.3300	491.4634	304.3818
52	13072.7518	9021.1282	6142.5324	4126.4366	2734.5797	1787.4682	1152.2883	732.4867	459.0845	283.6458
53	12414.6802	8551.4218	5811.7375	3896.6006	2577.0544	1680.9804	1081.2964	685.8189	428.8389	264.3225
54	11789.7353	8106.1718	5498.7569	3679.5661	2428.6033	1580.8366	1014.6783	642.1244	400.5859	246.3155
55	11196.2496	7684.1048	5202.6314	3474.6200	2288.7037	1486.6588	952.1645	601.2137	374.1942	229.5353
56	10632.6396	7284.0137	4922.4531	3281.0892	2156.8630	1398.0916	893.5021	562.9095	349.5414	213.8982
57	10097.4012	6904.7543	4657.3634	3098.3377	2032.6170	1314.8008	838.4539	527.0457	326.5127	199.3264
58	9589.1062	6545.2419	4406.5496	2925.7651	1915.5282	1236.4720	786.7972	493.4669	305.0012	185.7473
59	9106.3985	6204.4484	4169.2428	2762.8046	1805.1843	1162.8096	738.3230	462.0274	284.9069	173.0933
60	8647.9898	5881.3991	3944.7159	2608.9208	1701.1967	1093.5356	692.8353	432.5910	266.1365	161.3013
61	8212.6570	5575.1702	3732.2804	2463.6080	1603.1994	1028.3886	650.1501	405.0300	248.6028	150.3127
62	7799.2386	5284.8857	3531.2852	2326.3889	1510.8472	967.1227	610.0947	379.2249	232.2242	140.0726
63	7406.6313	5009.7157	3341.1143	2196.8127	1423.8149	909.5067	572.5070	355.0640	216.9247	130.5302
64	7033.7875	4748.8730	3161.1846	2074.4537	1341.7961	855.3231	537.2352	332.4423	202.6331	121.6378
65	6679.7124	4501.6116	2990.9448	1958.9099	1264.5020	804.3675	504.1364	311.2620	189.2831	113.3513
66	6343.4611	4267.2246	2829.8729	1849.8017	1191.6604	756.4476	473.0768	291.4310	176.8127	105.6292
67	6024.1365	4045.0414	2677.4752	1746.7706	1123.0149	711.3825	443.9308	272.8635	165.1638	98.4332
68	5720.8864	3834.4268	2533.2847	1649.4783	1058.3236	669.0021	416.5804	255.4790	154.2824	91.7275
69	5432.9016	3634.7783	2396.8593	1557.6049	997.3590	629.1466	390.9151	239.2021	144.1179	85.4786
70	5159.4138	3445.5249	2267.7808	1470.8488	939.9061	591.6654	366.8310	223.9622	134.6230	79.6553
71	4899.6931	3266.1255	2145.6536	1388.9248	885.7629	556.4171	344.2308	209.6932	125.7537	74.2288
72	4653.0465	3096.0670	2030.1033	1311.5639	834.7386	523.2688	323.0229	196.3333	117.4687	69.1720
73	4418.8160	2934.8629	1920.7758	1238.5118	786.6535	492.0952	303.1216	183.8247	109.7296	64.4597
74	4196.3764	2782.0523	1817.3359	1169.5287	741.3384	462.7788	284.4464	172.1129	102.5003	60.0683
75	3985.1342	2637.1982	1719.4666	1104.3878	698.6336	435.2089	266.9218	161.1474	95.7474	55.9762
76	3784.5258	2499.8862	1626.8678	1042.8751	658.3888	409.2815	250.4769	150.8804	89.4393	52.1628
77	3594.0159	2369.7237	1539.2558	984.7886	620.4624	384.8987	235.0452	141.2676	83.5468	48.6092
78	3413.0961	2246.3385	1456.3620	929.9374	584.7207	361.9685	220.5642	132.2673	78.0425	45.2977
79	3241.2836	2129.3775	1377.9323	878.1414	551.0379	340.4043	206.9753	123.8403	72.9009	42.2118
80	3078.1200	2018.5065	1303.7262	829.2303	519.2954	320.1248	194.2237	115.9503	68.0980	39.3361
81	2923.1700	1913.4081	1233.5164	783.0435	489.3814	301.0535	182.2576	108.5629	63.6115	36.6564
82	2776.0200	1813.7820	1167.0877	739.4292	461.1906	283.1184	171.0288	101.6462	59.4206	34.1592
83	2636.2774	1719.3432	1104.2363	698.2441	434.6237	266.2517	160.4918	95.1702	55.5058	31.8321
84	2503.5693	1629.8215	1044.7696	659.3530	409.5872	250.3898	150.6040	89.1068	51.8490	29.6635
85	2377.5417	1544.9610	988.5055	622.6281	385.9930	235.4729	141.3254	83.4296	48.4330	27.6427
86	2257.8582	1464.5189	935.2713	587.9487	363.7579	221.4447	132.6184	78.1142	45.2421	25.7595
87	2144.1995	1388.2653	884.9040	555.2009	342.8036	208.2522	124.4479	73.1375	42.2615	24.0047
88	2036.2622	1315.9820	837.2491	524.2771	323.0564	195.8457	116.7807	68.4778	39.4772	22.3694
89	1933.7584	1247.4623	792.1606	495.0757	304.4468	184.1782	109.5859	64.1149	36.8763	20.8454
90	1836.4146	1182.5102	749.5002	467.5007	286.9091	173.2059	102.8344	60.0301	34.4468	19.4253
91	1743.9710	1120.9400	709.1372	441.4617	270.3818	162.8872	96.4988	56.2055	32.1774	18.1020
92	1656.1809	1062.5756	670.9479	416.8730	254.8064	153.1832	90.5535	52.6246	30.0574	16.8688
93	1572.8101	1007.2501	634.8152	393.6538	240.1283	144.0574	84.9746	49.2718	28.0772	15.7196
94	1493.6361	954.8052	600.6284	371.7279	226.2957	135.4752	79.7393	46.1326	26.2274	14.6487
95	1418.4477	905.0910	568.2827	351.0232	213.2600	127.4043	74.8266	43.1934	24.4995	13.6508
96	1347.0442	857.9653	537.6788	331.4718	200.9751	119.8143	70.2166	40.4415	22.8854	12.7208
97	1279.2351	813.2933	508.7231	313.0093	189.3980	112.6764	65.8906	37.8649	21.3776	11.8542
98	1214.8395	770.9473	481.3268	295.5752	178.4877	105.9637	61.8311	35.4525	19.9692	11.0466
99	1153.6854	730.8061	455.4058	279.1121	168.2059	99.6510	58.0217	33.1938	18.6536	10.2941
100	1095.6099	692.7549	430.8807	263.5660	158.5164	93.7143	54.4470	31.0789	17.4246	9.5928
101	1040.4577	656.6850	407.6764	248.8858	149.3851	88.1313	51.0926	29.0989	16.2767	8.9393
102	988.0820	622.4932	385.7218	235.0233	140.7798	82.8809	47.9448	27.2449	15.2043	8.3303
103	938.3427	590.0816	364.9494	221.9328	132.6702	77.9433	44.9909	25.5091	14.2026	7.7628
104	891.1073	559.3576	345.2957	209.5715	125.0277	73.2999	42.2191	23.8839	13.2669	7.2340
105	846.2497	530.2333	326.7005	197.8987	117.8255	68.9330	39.6180	22.3622	12.3929	6.7412
106	803.6502	502.6255	309.1066	186.8761	111.0382	64.8264	37.1771	20.9375	11.5764	6.2819
107	763.1951	476.4551	292.4602	176.4674	104.6418	60.9644	34.8867	19.6035	10.8137	5.8540
108	724.7765	451.6473	276.7103	166.6384	98.6139	57.3324	32.7373	18.3546	10.1013	5.4552
109	688.2918	428.1312	261.8086	157.3569	92.9333	53.9169	30.7204	17.1852	9.4358	5.0835
110	653.6438	405.8396	247.7094	148.5924	87.5799	50.7048	28.8277	16.0903	8.8141	4.7372
111	620.7399	384.7086	234.3694	140.3160	82.5348	47.6841	27.0517	15.0651	8.2334	4.4145
112	589.4923	364.6778	221.7479	132.5006	77.7804	44.8433	25.3850	14.1053	7.6910	4.1138
