s	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
0	3071.7969	4715.4658	7166.5626	10783.2818	16063.6517	23691.3776	34593.0148	50007.8093	71571.1038	101411.4726
1	3069.9620	4712.2305	7160.9147	10773.5204	16046.9493	23663.0834	34545.5619	49929.0189	71441.5863	101200.6946
2	3068.1283	4708.9974	7155.2712	10763.7680	16030.2643	23634.8231	34498.1741	49850.3526	71312.3031	100990.3546
3	3066.2956	4705.7665	7149.6322	10754.0243	16013.5967	23606.5964	34450.8514	49771.8102	71183.2540	100780.4518
4	3064.4641	4702.5379	7143.9976	10744.2895	15996.9463	23578.4035	34403.5935	49693.3916	71054.4383	100570.9853
5	3062.6336	4699.3114	7138.3675	10734.5635	15980.3133	23550.2443	34356.4005	49615.0966	70925.8558	100361.9542
6	3060.8042	4696.0872	7132.7418	10724.8463	15963.6976	23522.1187	34309.2722	49536.9249	70797.5059	100153.3575
7	3058.9760	4692.8651	7127.1206	10715.1378	15947.0991	23494.0267	34262.2086	49458.8763	70669.3884	99945.1944
8	3057.1488	4689.6453	7121.5037	10705.4382	15930.5179	23465.9682	34215.2095	49380.9508	70541.5026	99737.4639
9	3055.3227	4686.4277	7115.8913	10695.7474	15913.9540	23437.9432	34168.2749	49303.1480	70413.8483	99530.1652
10	3053.4977	4683.2123	7110.2834	10686.0653	15897.4072	23409.9517	34121.4047	49225.4678	70286.4250	99323.2973
11	3051.6738	4679.9991	7104.6798	10676.3920	15880.8777	23381.9937	34074.5987	49147.9100	70159.2323	99116.8594
12	3049.8510	4676.7881	7099.0807	10666.7274	15864.3654	23354.0690	34027.8570	49070.4744	70032.2698	98910.8506
13	3048.0292	4673.5793	7093.4859	10657.0716	15847.8702	23326.1777	33981.1794	48993.1608	69905.5370	98705.2699
14	3046.2086	4670.3728	7087.8956	10647.4245	15831.3922	23298.3197	33934.5658	48915.9690	69779.0335	98500.1165
15	3044.3890	4667.1684	7082.3097	10637.7862	15814.9313	23270.4949	33888.0162	48838.8988	69652.7590	98295.3896
16	3042.5705	4663.9662	7076.7282	10628.1566	15798.4875	23242.7034	33841.5304	48761.9501	69526.7130	98091.0881
17	3040.7532	4660.7662	7071.1511	10618.5357	15782.0608	23214.9451	33795.1084	48685.1226	69400.8951	97887.2113
18	3038.9369	4657.5684	7065.5784	10608.9235	15765.6512	23187.2199	33748.7501	48608.4161	69275.3049	97683.7582
19	3037.1216	4654.3728	7060.0100	10599.3200	15749.2587	23159.5279	33702.4553	48531.8305	69149.9419	97480.7280
20	3035.3075	4651.1794	7054.4461	10589.7252	15732.8832	23131.8689	33656.2241	48455.3656	69024.8058	97278.1198
21	3033.4945	4647.9882	7048.8866	10580.1391	15716.5248	23104.2429	33610.0563	48379.0211	68899.8962	97075.9327
22	3031.6825	4644.7992	7043.3314	10570.5617	15700.1833	23076.6500	33563.9518	48302.7969	68775.2126	96874.1658
23	3029.8716	4641.6123	7037.7806	10560.9930	15683.8588	23049.0899	33517.9105	48226.6928	68650.7546	96672.8183
