z	h(m)	phi-4.0	phi-4.1	phi-4.2	phi-4.3	phi-4.4	phi-4.5	phi-4.6	phi-4.7	phi-4.8	phi-4.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	57.2090	55.2602	53.3779	51.5596	49.8033	48.1068	46.4681	44.8852	43.3563	41.8794
43	4300.0	171.0543	165.2275	159.5993	154.1627	148.9114	143.8389	138.9392	134.2064	129.6349	125.2190
42	4200.0	282.5089	272.8856	263.5901	254.6113	245.9383	237.5607	229.4685	221.6520	214.1017	206.8086
41	4100.0	391.6975	378.3548	365.4667	353.0176	340.9925	329.3770	318.1572	307.3196	296.8512	286.7394
40	4000.0	498.7268	481.7383	465.3285	449.4777	434.1669	419.3776	405.0920	391.2931	377.9642	365.0894
39	3900.0	603.5692	583.0095	563.1500	543.9671	525.4375	507.5392	490.2506	473.5508	457.4200	441.8386
38	3800.0	706.1987	682.1430	658.9067	636.4619	614.7817	593.8400	573.6116	554.0723	535.1985	516.9677
37	3700.0	806.5903	779.1149	752.5754	726.9399	702.1777	678.2589	655.1549	632.8380	611.2812	590.4587
36	3600.0	904.7208	873.9027	844.1343	815.3800	787.6052	760.7765	734.8616	709.8295	685.6501	662.2944
35	3500.0	1000.5681	966.4851	933.5630	901.7624	871.0451	841.3741	812.7138	785.0298	758.2888	732.4587
34	3400.0	1094.1117	1056.8422	1020.8423	986.0687	952.4795	920.0346	888.6948	858.4226	829.1816	800.9366
33	3300.0	1185.3326	1144.9558	1105.9544	1068.2816	1031.8920	996.7419	962.7893	929.9931	898.3141	867.7143
32	3200.0	1274.2133	1230.8089	1188.8831	1148.3853	1109.2671	1071.4814	1034.9828	999.7275	965.6731	932.7788
31	3100.0	1360.7378	1314.3861	1269.6133	1226.3656	1184.5911	1144.2396	1105.2626	1067.6133	1031.2464	996.1184
30	3000.0	1444.8116	1395.5961	1348.0569	1302.1372	1257.7816	1214.9369	1173.5517	1133.5762	1094.9625	1057.6640
29	2900.0	1526.3085	1474.3169	1424.0962	1375.5863	1328.7287	1283.4674	1239.7478	1197.5174	1156.7256	1117.3232
28	2800.0	1605.1492	1550.4719	1497.6571	1446.6414	1397.3635	1349.7642	1303.7863	1259.3745	1216.4756	1175.0380
27	2700.0	1681.2597	1623.9898	1568.6708	1515.2361	1463.6216	1413.7652	1365.6072	1319.0896	1274.1566	1230.7541
26	2600.0	1754.5730	1694.8058	1637.0745	1581.3097	1527.4445	1475.4141	1425.1561	1376.6100	1329.7176	1284.4226
25	2500.0	1825.0288	1762.8616	1702.8121	1644.8081	1588.7799	1534.6602	1482.3840	1431.8886	1383.1132	1335.9993
24	2400.0	1892.5742	1828.1061	1765.8341	1705.6833	1647.5815	1591.4588	1537.2479	1484.8836	1434.3030	1385.4454
23	2300.0	1957.1630	1890.4949	1826.0977	1763.8941	1703.8094	1645.7714	1589.7104	1535.5590	1483.2522	1432.7272
22	2200.0	2018.7567	1949.9904	1883.5666	1819.4054	1757.4298	1697.5653	1639.7400	1583.8844	1529.9315	1477.8164
21	2100.0	2077.3237	2006.5625	1938.2116	1872.1890	1808.4154	1746.8141	1687.3112	1629.8352	1574.3170	1520.6900
20	2000.0	2132.7253	2060.0769	1989.9031	1922.1197	1856.6452	1793.4011	1732.3113	1673.3024	1616.3036	1561.2463
19	1900.0	2184.1377	2109.7380	2037.8726	1968.4551	1901.4023	1836.6336	1774.0711	1713.6397	1655.2669	1598.8824
18	1800.0	2230.9157	2154.9225	2081.5179	2010.6138	1942.1249	1875.9690	1812.0666	1750.3410	1690.7179	1633.1259
17	1700.0	2273.1859	2195.7528	2120.9574	2048.7098	1978.9232	1911.5138	1846.4007	1783.5055	1722.7527	1664.0695
16	1600.0	2311.0922	2232.3679	2156.3253	2082.8729	2011.9226	1943.3891	1877.1902	1813.2462	1751.4804	1691.8185
15	1500.0	2345.2483	2265.3606	2188.1941	2113.6562	2041.6573	1972.1109	1904.9336	1840.0446	1777.3659	1716.8223
14	1400.0	2377.1484	2296.1740	2217.9579	2142.4061	2069.4279	1998.9355	1930.8445	1865.0728	1801.5416	1740.1745
