z	h(m)	phi-4.0	phi-4.1	phi-4.2	phi-4.3	phi-4.4	phi-4.5	phi-4.6	phi-4.7	phi-4.8	phi-4.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-16.8040	-16.2316	-15.6787	-15.1446	-14.6287	-14.1304	-13.6491	-13.1842	-12.7351	-12.3013
43	4300.0	-51.4526	-49.7000	-48.0070	-46.3717	-44.7921	-43.2663	-41.7925	-40.3689	-38.9938	-37.6655
42	4200.0	-87.0019	-84.0383	-81.1756	-78.4105	-75.7396	-73.1596	-70.6675	-68.2603	-65.9351	-63.6891
41	4100.0	-123.5069	-119.2998	-115.2360	-111.3106	-107.5190	-103.8565	-100.3188	-96.9015	-93.6007	-90.4123
40	4000.0	-160.9949	-155.5109	-150.2136	-145.0968	-140.1542	-135.3801	-130.7685	-126.3141	-122.0113	-117.8552
39	3900.0	-199.4040	-192.6115	-186.0505	-179.7129	-173.5912	-167.6781	-161.9664	-156.4492	-151.1200	-145.9723
38	3800.0	-238.6709	-230.5409	-222.6879	-215.1023	-207.7751	-200.6975	-193.8610	-187.2574	-180.8788	-174.7174
37	3700.0	-278.7319	-269.2373	-260.0660	-251.2072	-242.6502	-234.3846	-226.4006	-218.6886	-211.2393	-204.0437
36	3600.0	-319.5220	-308.6379	-298.1245	-287.9693	-278.1600	-268.6849	-259.5325	-250.6919	-242.1524	-233.9038
35	3500.0	-360.9755	-348.6794	-336.8021	-325.3294	-314.2474	-303.5430	-293.2032	-283.2157	-273.5683	-264.2495
34	3400.0	-403.0260	-389.2975	-376.0366	-363.2274	-350.8545	-338.9031	-327.3588	-316.2078	-305.4366	-295.0323
33	3300.0	-445.6061	-430.4271	-415.7652	-401.6027	-387.9227	-374.7086	-361.9446	-349.6155	-337.7063	-326.2028
32	3200.0	-488.6478	-472.0026	-455.9245	-440.3940	-425.3926	-410.9022	-396.9053	-383.3853	-370.3258	-357.7111
31	3100.0	-532.0822	-513.9575	-496.4502	-479.5393	-463.2044	-447.4260	-432.1850	-417.4632	-403.2429	-389.5069
30	3000.0	-576.4878	-556.8505	-537.8821	-519.5599	-501.8617	-484.7665	-468.2536	-452.3031	-436.8960	-422.0137
29	2900.0	-622.8836	-601.6659	-581.1710	-561.3742	-542.2517	-523.7806	-505.9387	-488.7046	-472.0575	-455.9775
28	2800.0	-671.6070	-648.7296	-626.6315	-605.2861	-584.6678	-564.7519	-545.5144	-526.9322	-508.9829	-491.6451
27	2700.0	-722.5186	-697.9070	-674.1337	-651.1702	-628.9890	-607.5633	-586.8675	-566.8766	-547.5667	-528.9146
26	2600.0	-775.4765	-749.0610	-723.5452	-698.8986	-675.0915	-652.0954	-629.8827	-608.4266	-587.7013	-567.6821
25	2500.0	-830.3363	-802.0520	-774.7312	-748.3410	-722.8498	-698.2269	-674.4427	-651.4687	-629.2773	-607.8418
24	2400.0	-886.9514	-856.7386	-827.5549	-799.3654	-772.1361	-745.8343	-720.4284	-695.8880	-672.1835	-649.2864
23	2300.0	-945.1734	-912.9774	-881.8780	-851.8380	-822.8213	-794.7930	-767.7194	-741.5680	-716.3075	-691.9075
22	2200.0	-1004.8525	-970.6235	-937.5605	-905.6238	-874.7749	-844.9769	-816.1939	-788.3913	-761.5358	-735.5951
21	2100.0	-1065.8377	-1029.5314	-994.4617	-960.5867	-927.8656	-896.2591	-865.7292	-836.2393	-807.7539	-780.2389
20	2000.0	-1127.8616	-1089.4425	-1052.3321	-1016.4858	-981.8605	-948.4148	-916.1083	-884.9023	-854.7593	-825.6430
19	1900.0	-1189.8875	-1149.3556	-1110.2043	-1072.3866	-1035.8572	-1000.5721	-966.4890	-933.5668	-901.7661	-871.0486
18	1800.0	-1250.9163	-1208.3055	-1167.1462	-1127.3889	-1088.9859	-1051.8910	-1016.0598	-981.4490	-948.0173	-915.7243
17	1700.0	-1310.6500	-1266.0045	-1222.8797	-1181.2239	-1140.9871	-1102.1209	-1064.5786	-1028.3152	-993.2870	-959.4520
16	1600.0	-1368.7978	-1322.1715	-1277.1335	-1233.6296	-1191.6077	-1151.0172	-1111.8093	-1073.9370	-1037.3547	-1002.0186
15	1500.0	-1424.8867	-1376.3498	-1329.4663	-1284.1798	-1240.4359	-1198.1821	-1157.3676	-1117.9434	-1079.8622	-1043.0781
14	1400.0	-1478.1643	-1427.8126	-1379.1761	-1332.1963	-1286.8168	-1242.9831	-1200.6425	-1159.7442	-1120.2391	-1082.0796
13	1300.0	-1528.1999	-1476.1438	-1425.8610	-1377.2909	-1330.3753	-1285.0578	-1241.2841	-1199.0014	-1158.1590	-1118.7078
12	1200.0	-1574.9819	-1521.3322	-1469.5100	-1419.4531	-1371.1013	-1324.3966	-1279.2828	-1235.7057	-1193.6130	-1152.9542
11	1100.0	-1618.4995	-1563.3674	-1510.1134	-1458.6734	-1408.9856	-1360.9904	-1314.6301	-1269.8489	-1226.5932	-1184.8109
10	1000.0	-1655.2387	-1598.8552	-1544.3924	-1491.7847	-1440.9690	-1391.8843	-1344.4716	-1298.6740	-1254.4364	-1211.7057
9	900.0	-1680.8875	-1623.6303	-1568.3235	-1514.9006	-1463.2976	-1413.4523	-1365.3049	-1318.7976	-1273.8745	-1230.4817
8	800.0	-1698.3694	-1640.5167	-1584.6347	-1530.6562	-1478.5164	-1428.1527	-1379.5046	-1332.5136	-1287.1233	-1243.2792
7	700.0	-1713.6706	-1655.2967	-1598.9112	-1544.4464	-1491.8369	-1441.0195	-1391.9331	-1344.5187	-1298.7195	-1254.4803
6	600.0	-1729.0527	-1670.1548	-1613.2632	-1558.3095	-1505.2278	-1453.9542	-1404.4272	-1356.5872	-1310.3769	-1265.7406
5	500.0	-1744.5128	-1685.0883	-1627.6880	-1572.2430	-1518.6866	-1466.9546	-1416.9847	-1368.7170	-1322.0935	-1277.0581
4	400.0	-1760.0513	-1700.0975	-1642.1859	-1586.2470	-1532.2136	-1480.0208	-1429.6059	-1380.9083	-1333.8695	-1288.4330
3	300.0	-1775.6683	-1715.1825	-1656.7571	-1600.3219	-1545.8090	-1493.1531	-1442.2908	-1393.1611	-1345.7049	-1299.8653
2	200.0	-1790.0918	-1729.1147	-1670.2147	-1613.3211	-1558.3654	-1505.2818	-1454.0063	-1404.4776	-1356.6359	-1310.4239
1	100.0	-1800.0057	-1738.6909	-1679.4647	-1622.2560	-1566.9960	-1513.6183	-1462.0589	-1412.2558	-1364.1492	-1317.6813
0	0.0	-1803.3271	-1741.8992	-1682.5637	-1625.2494	-1569.8874	-1516.4113	-1464.7568	-1414.8618	-1366.6664	-1320.1127
