z	h(m)	phi5.0	phi4.9	phi4.8	phi4.7	phi4.6	phi4.5	phi4.4	phi4.3	phi4.2	phi4.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-11605.7022	-10103.3506	-8795.4776	-7656.9080	-6665.7255	-5802.8511	-5051.6753	-4397.7388	-3828.4540	-3332.8628
43	4300.0	-35441.3358	-30853.4748	-26859.5099	-23382.5615	-20355.7021	-17720.6679	-15426.7374	-13429.7550	-11691.2807	-10177.8510
42	4200.0	-59783.3492	-52044.4283	-45307.3064	-39442.3011	-34336.5174	-29891.6746	-26022.2141	-22653.6532	-19721.1505	-17168.2587
41	4100.0	-84689.5703	-73726.5531	-64182.6923	-55874.2790	-48641.3850	-42344.7851	-36863.2766	-32091.3462	-27937.1395	-24320.6925
40	4000.0	-110183.6913	-95920.4745	-83503.6231	-72694.1262	-63283.9125	-55091.8457	-47960.2373	-41751.8116	-36347.0631	-31641.9562
39	3900.0	-136219.7159	-118586.1504	-103235.2400	-89871.4963	-78237.6818	-68109.8579	-59293.0752	-51617.6200	-44935.7482	-39118.8409
38	3800.0	-162751.4582	-141683.3736	-123342.5407	-107375.9183	-93476.1662	-81375.7291	-70841.6868	-61671.2704	-53687.9592	-46738.0831
37	3700.0	-189732.5638	-165171.7903	-143790.3951	-125176.8094	-108972.7420	-94866.2819	-82585.8951	-71895.1975	-62588.4047	-54486.3710
36	3600.0	-217116.5294	-189010.9169	-164543.5602	-143243.4890	-124700.7001	-108558.2647	-94505.4585	-82271.7801	-71621.7445	-62350.3500
35	3500.0	-244856.7238	-213160.1588	-185566.6964	-161545.1920	-140633.2579	-122428.3619	-106580.0794	-92783.3482	-80772.5960	-70316.6290
34	3400.0	-272906.4086	-237578.8277	-206824.3823	-180051.0825	-156743.5713	-136453.2043	-118789.4139	-103412.1911	-90025.5413	-78371.7857
33	3300.0	-301218.7584	-262226.1598	-228281.1311	-198730.2673	-173004.7462	-150609.3792	-131113.0799	-114140.5656	-99365.1337	-86502.3731
32	3200.0	-329746.8823	-287061.3341	-249901.4061	-217551.8099	-189389.8506	-164873.4411	-143530.6671	-124950.7031	-108775.9049	-94694.9253
31	3100.0	-358443.8440	-312043.4903	-271649.6363	-236484.7439	-205871.9270	-179221.9220	-156021.7452	-135824.8181	-118242.3719	-102935.9635
30	3000.0	-387693.2506	-337506.5777	-293816.5413	-255782.1555	-222671.2996	-193846.6253	-168753.2888	-146908.2707	-127891.0778	-111335.6498
29	2900.0	-418150.0462	-364020.7583	-316898.4762	-275876.1469	-240164.1351	-209075.0231	-182010.3791	-158449.2381	-137938.0735	-120082.0676
28	2800.0	-450011.0192	-391757.3463	-341044.5785	-296896.5499	-258463.4587	-225005.5096	-195878.6731	-170522.2892	-148448.2749	-129231.7294
27	2700.0	-483174.4032	-420627.7488	-366177.7237	-318776.2236	-277510.8210	-241587.2016	-210313.8744	-183088.8618	-159388.1118	-138755.4105
26	2600.0	-517537.7750	-450542.8015	-392220.2896	-341447.5941	-297247.3954	-258768.8875	-225271.4008	-196110.1448	-170723.7970	-148623.6977
25	2500.0	-552998.2752	-481412.9599	-419094.3235	-364842.7994	-317614.1045	-276499.1376	-240706.4800	-209547.1617	-182421.3997	-158807.0523
24	2400.0	-589452.8282	-513148.4916	-446721.7084	-388893.8349	-338551.7470	-294726.4141	-256574.2458	-223360.8542	-194446.9175	-169275.8735
23	2300.0	-626798.3614	-545659.6666	-475024.3301	-413532.6981	-360001.1233	-313399.1807	-272829.8333	-237512.1650	-206766.3491	-180000.5617
22	2200.0	-664932.0232	-578856.9474	-503924.2416	-438691.5324	-381903.1606	-332466.0116	-289428.4737	-251962.1208	-219345.7662	-190951.5803
21	2100.0	-703751.3997	-612651.1774	-533343.8276	-464302.7696	-404199.0376	-351875.6998	-306325.5887	-266671.9138	-232151.3848	-202099.5188
20	2000.0	-743082.2743	-646890.6925	-563151.0567	-490251.4697	-426788.6931	-371541.1372	-323445.3462	-281575.5284	-245125.7348	-213394.3465
19	1900.0	-782233.0606	-680973.4316	-592821.8044	-516081.3558	-449274.9150	-391116.5303	-340486.7158	-296410.9022	-258040.6779	-224637.4575
18	1800.0	-820544.3031	-714325.3053	-621856.2969	-541357.3496	-471278.9456	-410272.1516	-357162.6526	-310928.1485	-270678.6748	-235639.4728
17	1700.0	-857838.1027	-746791.4435	-650119.7118	-565962.0813	-492698.6087	-428919.0513	-373395.7218	-325059.8559	-282981.0407	-246349.3044
16	1600.0	-893943.9045	-778223.3696	-677482.7928	-589783.0269	-513435.9463	-446971.9522	-389111.6848	-338741.3964	-294891.5134	-256717.9731
15	1500.0	-928580.7938	-808376.5331	-703732.6463	-612634.8516	-533329.6152	-464290.3969	-404188.2666	-351866.3231	-306317.4258	-266664.8076
14	1400.0	-961287.2340	-836849.1431	-728519.4929	-634213.0549	-552114.5322	-480643.6170	-418424.5715	-364259.7464	-317106.5275	-276057.2661
13	1300.0	-991808.9915	-863419.8762	-751650.6596	-654349.9051	-569644.6785	-495904.4957	-431709.9381	-375825.3298	-327174.9526	-284822.3392
12	1200.0	-1020165.3751	-888105.5419	-773140.7798	-673058.1413	-585931.1441	-510082.6875	-444052.7710	-386570.3899	-336529.0707	-292965.5720
11	1100.0	-1046376.1773	-910923.3705	-793004.8533	-690350.8218	-600985.2968	-523188.0886	-455461.6853	-396502.4267	-345175.4109	-300492.6484
10	1000.0	-1068378.8794	-930077.8353	-809679.7834	-704867.1915	-613622.5306	-534189.4397	-465038.9176	-404839.8917	-352433.5958	-306811.2653
9	900.0	-1083664.2376	-943384.5124	-821263.9187	-714951.7670	-622401.6635	-541832.1188	-471692.2562	-410631.9594	-357475.8835	-311200.8318
8	800.0	-1094035.3745	-952413.1115	-829123.7707	-721794.1657	-628358.3175	-547017.6873	-476206.5558	-414561.8854	-360897.0828	-314179.1588
7	700.0	-1103074.9438	-960282.5137	-835974.4832	-727758.0573	-633550.1867	-551537.4719	-480141.2568	-417987.2416	-363879.0286	-316775.0933
6	600.0	-1112126.5067	-968162.3568	-842834.2851	-733729.8617	-638748.9444	-556063.2533	-484081.1784	-421417.1426	-366864.9308	-319374.4722
5	500.0	-1121189.1467	-976051.8433	-849702.4820	-739708.9743	-643954.0642	-560594.5734	-488025.9216	-424851.2410	-369854.4871	-321977.0321
4	400.0	-1130262.3876	-983950.5582	-856578.7127	-745695.0808	-649165.2727	-565131.1938	-491975.2791	-428289.3563	-372847.5404	-324582.6363
3	300.0	-1139346.2084	-991858.4835	-863462.9615	-751688.1676	-654382.5577	-569673.1042	-495929.2418	-431731.4808	-375844.0838	-327191.2788
2	200.0	-1147707.7675	-999137.6435	-869799.8383	-757204.7392	-659185.0123	-573853.8837	-499568.8217	-434899.9192	-378602.3696	-329592.5061
1	100.0	-1153437.7325	-1004125.8678	-874142.3398	-760985.1063	-662476.0130	-576718.8662	-502062.9339	-437071.1699	-380492.5532	-331238.0065
0	0.0	-1155351.2873	-1005791.7139	-875592.5431	-762247.5816	-663575.0616	-577675.6436	-502895.8570	-437796.2716	-381123.7908	-331787.5308
