z	h(m)	phi-3.0	phi-3.1	phi-3.2	phi-3.3	phi-3.4	phi-3.5	phi-3.6	phi-3.7	phi-3.8	phi-3.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	2.5854	2.4973	2.4122	2.3301	2.2507	2.1740	2.1000	2.0284	1.9593	1.8926
43	4300.0	7.8349	7.5680	7.3102	7.0612	6.8207	6.5883	6.3639	6.1471	5.9377	5.7355
42	4200.0	13.1146	12.6679	12.2363	11.8195	11.4169	11.0280	10.6524	10.2895	9.9390	9.6004
41	4100.0	18.4225	17.7950	17.1888	16.6033	16.0378	15.4914	14.9638	14.4540	13.9617	13.4861
40	4000.0	23.7591	22.9498	22.1680	21.4129	20.6835	19.9789	19.2984	18.6410	18.0060	17.3927
39	3900.0	29.1243	28.1322	27.1739	26.2483	25.3542	24.4905	23.6563	22.8505	22.0721	21.3202
38	3800.0	34.5182	33.3424	32.2066	31.1096	30.0499	29.0263	28.0375	27.0824	26.1599	25.2688
37	3700.0	39.9410	38.5804	37.2663	35.9968	34.7706	33.5862	32.4422	31.3371	30.2696	29.2385
36	3600.0	45.3926	43.8464	42.3528	40.9101	39.5166	38.1705	36.8703	35.6143	34.4012	33.2294
35	3500.0	50.8733	49.1403	47.4664	45.8496	44.2877	42.7791	41.3219	39.9144	38.5547	37.2414
34	3400.0	56.3829	54.4623	52.6071	50.8152	49.0842	47.4122	45.7972	44.2372	42.7303	41.2747
33	3300.0	61.9218	59.8125	57.7750	55.8070	53.9060	52.0698	50.2961	48.5828	46.9279	45.3294
32	3200.0	67.4898	65.1908	62.9702	60.8252	58.7533	56.7519	54.8187	52.9514	51.1477	49.4054
31	3100.0	73.0871	70.5975	68.1927	65.8698	63.6260	61.4587	59.3652	57.3430	55.3897	53.5029
30	3000.0	78.7123	76.0311	73.4412	70.9395	68.5231	66.1889	63.9343	61.7564	59.6528	57.6208
29	2900.0	84.3663	81.4925	78.7165	76.0352	73.4451	70.9433	68.5267	66.1925	63.9377	61.7597
28	2800.0	90.0514	86.9839	84.0209	81.1588	78.3943	75.7239	73.1444	70.6529	68.2462	65.9215
27	2700.0	95.7677	92.5055	89.3544	86.3106	83.3706	80.5307	77.7875	75.1378	72.5783	70.1060
26	2600.0	101.5153	98.0573	94.7171	91.4907	88.3742	85.3638	82.4560	79.6473	76.9342	74.3135
25	2500.0	107.2943	103.6395	100.1091	96.6990	93.4051	90.2234	87.1501	84.1814	81.3139	78.5440
24	2400.0	113.1049	109.2521	105.5306	101.9358	98.4635	95.1095	91.8697	88.7403	85.7175	82.7976
23	2300.0	118.9471	114.8953	110.9816	107.2011	103.5495	100.0222	96.6151	93.3240	90.1450	87.0744
22	2200.0	124.8211	120.5692	116.4622	112.4950	108.6630	104.9616	101.3862	97.9326	94.5967	91.3744
21	2100.0	130.7269	126.2739	121.9725	117.8177	113.8044	109.9278	106.1832	102.5662	99.0725	95.6977
20	2000.0	136.6642	132.0089	127.5122	123.1687	118.9731	114.9204	111.0058	107.2246	103.5721	100.0440
19	1900.0	142.6350	137.7763	133.0831	128.5498	124.1710	119.9412	115.8556	111.9091	108.0971	104.4149
18	1800.0	148.6419	143.5786	138.6878	133.9636	129.4003	124.9924	120.7347	116.6221	112.6495	108.8122
17	1700.0	154.6851	149.4159	144.3263	139.4100	134.6612	130.0741	125.6433	121.3635	117.2294	113.2361
16	1600.0	160.7648	155.2885	149.9988	144.8893	139.9539	135.1865	130.5816	126.1335	121.8369	117.6867
15	1500.0	166.8808	161.1962	155.7053	150.4014	145.2782	140.3295	135.5493	130.9320	126.4720	122.1639
14	1400.0	173.0343	167.1402	161.4468	155.9473	150.6351	145.5040	140.5476	135.7600	131.1355	126.6686
13	1300.0	179.2272	173.1220	167.2249	161.5286	156.0263	150.7115	145.5777	140.6188	135.8288	131.2020
12	1200.0	185.4595	179.1421	173.0399	167.1455	161.4519	155.9523	150.6400	145.5086	140.5520	135.7643
11	1100.0	191.7317	185.2006	178.8920	172.7983	166.9121	161.2265	155.7345	150.4296	145.3054	140.3558
10	1000.0	198.0420	191.2959	184.7797	178.4854	172.4056	166.5328	160.8601	155.3806	150.0878	144.9752
9	900.0	204.3888	197.4266	190.7015	184.2055	177.9308	171.8698	166.0153	160.3602	154.8977	149.6214
8	800.0	210.7714	203.5917	196.6567	189.9578	183.4872	177.2369	171.1996	165.3679	159.7348	154.2937
7	700.0	217.1890	209.7908	202.6445	195.7417	189.0740	182.6335	176.4123	170.4031	164.5985	158.9917
6	600.0	223.6411	216.0230	208.6645	201.5566	194.6909	188.0590	181.6530	175.4652	169.4882	163.7148
5	500.0	230.1274	222.2884	214.7164	207.4024	200.3375	193.5133	186.9215	180.5543	174.4039	168.4631
4	400.0	236.6486	228.5875	220.8010	213.2797	206.0146	198.9970	192.2184	185.6708	179.3461	173.2369
3	300.0	243.2049	234.9205	226.9182	219.1885	211.7222	204.5101	197.5438	190.8147	184.3149	178.0364
2	200.0	249.7934	241.2845	233.0655	225.1264	217.4578	210.0504	202.8953	195.9839	189.3080	182.8595
1	100.0	256.4133	247.6790	239.2421	231.0926	223.2208	215.6171	208.2724	201.1778	194.3250	187.7056
0	0.0	263.0670	254.1059	245.4501	237.0892	229.0131	221.2121	213.6768	206.3981	199.3675	192.5763
