z	h(m)	phi3.0	phi2.9	phi2.8	phi2.7	phi2.6	phi2.5	phi2.4	phi2.3	phi2.2	phi2.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	78.9127	68.6975	59.8047	58.3453	54.4380	50.7925	47.3911	44.2174	41.2563	38.4935
43	4300.0	238.5092	207.6344	180.7562	176.6568	164.8267	153.7887	143.4899	133.8809	124.9153	116.5501
42	4200.0	398.2813	346.7240	301.8408	295.4655	275.6791	257.2177	239.9926	223.9210	208.9257	194.9345
41	4100.0	558.3287	486.0534	423.1340	414.7660	386.9904	361.0748	336.8947	314.3338	293.2838	273.6435
40	4000.0	718.7167	625.6793	548.0839	534.5792	498.7801	465.3783	434.2133	405.1353	378.0046	352.6908
39	3900.0	879.4450	765.6013	677.0469	654.9060	611.0489	570.1288	531.9490	496.3259	463.0885	432.0768
38	3800.0	1040.5130	905.8192	806.5612	775.7471	723.7977	675.3271	630.1025	587.9064	548.5361	511.8022
37	3700.0	1201.9205	1046.3326	936.6277	897.1034	837.0271	780.9739	728.6744	679.8773	634.3479	591.8675
36	3600.0	1363.6671	1187.1411	1067.2471	1018.9756	950.7379	887.0698	827.6654	772.2391	720.5246	672.2732
35	3500.0	1525.7522	1328.2445	1198.4203	1141.3646	1064.9308	993.6156	927.0761	864.9926	807.0666	753.0198
34	3400.0	1688.1757	1469.6423	1330.1483	1264.2711	1179.6067	1100.6119	1026.9072	958.1383	893.9747	834.1079
33	3300.0	1850.9369	1611.3342	1462.4317	1387.6959	1294.7661	1208.0595	1127.1594	1051.6769	981.2492	915.5379
32	3200.0	2014.0357	1753.3199	1595.2716	1511.6399	1410.4099	1315.9590	1227.8331	1145.6088	1068.8908	997.3104
31	3100.0	2177.4715	1895.5990	1728.6686	1636.1037	1526.5388	1424.3110	1328.9292	1239.9348	1156.9000	1079.4259
30	3000.0	2341.2225	2038.1526	1862.5947	1761.0612	1643.1282	1533.0928	1430.4262	1334.6348	1245.2583	1161.8671
29	2900.0	2505.2526	2180.9491	1997.0530	1886.5152	1760.1809	1642.3069	1532.3265	1429.7112	1333.9677	1244.6359
28	2800.0	2669.5471	2323.9758	2132.0764	2012.4965	1877.7256	1751.9800	1634.6551	1525.1872	1423.0499	1327.7525
27	2700.0	2834.1058	2467.2324	2267.6661	2139.0062	1995.7633	1862.1130	1737.4129	1621.0636	1512.5058	1411.2178
26	2600.0	2998.9283	2610.7187	2403.8234	2266.0454	2114.2951	1972.7071	1840.6008	1717.3413	1602.3361	1495.0324
25	2500.0	3164.0146	2754.4347	2540.5493	2393.6152	2233.3220	2083.7631	1944.2197	1814.0211	1692.5416	1579.1971
24	2400.0	3329.3642	2898.3799	2677.8452	2521.7169	2352.8450	2195.2820	2048.2706	1911.1040	1783.1231	1663.7127
23	2300.0	3494.9772	3042.5543	2815.7123	2650.3514	2472.8653	2307.2649	2152.7542	2008.5907	1874.0814	1748.5798
22	2200.0	3660.8531	3186.9577	2954.1517	2779.5199	2593.3838	2419.7126	2257.6717	2106.4822	1965.4174	1833.7992
21	2100.0	3826.9918	3331.5899	3093.1647	2909.2236	2714.4016	2532.6262	2363.0238	2204.7792	2057.1317	1919.3718
20	2000.0	3993.3822	3476.4411	3232.7412	3039.4531	2835.9100	2645.9976	2468.8031	2303.4747	2149.2179	2005.2912
19	1900.0	4159.9396	3621.4377	3372.8891	3170.2157	2957.9158	2759.8330	2575.0153	2402.5742	2241.6810	2091.5623
18	1800.0	4326.5900	3766.5154	3513.6276	3301.5294	3080.4358	2874.1482	2681.6751	2502.0914	2334.5338	2178.1971
