i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	3601.6826	-5235.6978	681564.6826	3526927.3022	2226376.0022	2.5576e+07
1	4181.9771	-6187.6861	682144.9771	3525975.3139	2404230.3397	2.5377e+07
2	4787.4384	-7197.4299	682750.4384	3524965.5701	2594123.8012	2.5180e+07
3	5424.6637	-8240.9210	683387.6637	3523922.0790	2784151.4076	2.4985e+07
4	6115.7769	-9301.1762	684078.7769	3522861.8238	2973727.4655	2.4791e+07
5	6870.3884	-10369.9999	684833.3884	3521793.0001	3165646.2611	2.4599e+07
6	7682.2544	-11439.5058	685645.2544	3520723.4942	3361793.5623	2.4408e+07
7	8547.1239	-12503.0333	686510.1239	3519659.9667	3563160.2794	2.4219e+07
8	9452.3025	-13547.3979	687415.3025	3518615.6021	3769875.1411	2.4031e+07
9	10384.8333	-14561.6059	688347.8333	3517601.3941	3981203.9110	2.3845e+07
10	11336.1136	-15540.2653	689299.1136	3516622.7347	4197061.6933	2.3661e+07
11	12307.0989	-16481.1130	690270.0989	3515681.8870	4417580.8144	2.3477e+07
12	13298.9370	-17382.4099	691261.9370	3514780.5901	4642766.4711	2.3296e+07
13	14300.8240	-18248.3084	692263.8240	3513914.6916	4872654.2675	2.3116e+07
14	15309.8964	-19080.0312	693272.8964	3513082.9688	5107114.8489	2.2937e+07
15	16330.3775	-19874.6732	694293.3775	3512288.3268	5345878.6522	2.2759e+07
16	17362.5057	-20630.6096	695325.5057	3511532.3904	5588672.3316	2.2583e+07
17	18394.1686	-21354.9108	696357.1686	3510808.0892	5835330.5240	2.2409e+07
18	19427.5869	-22046.0284	697390.5869	3510116.9716	6085494.6539	2.2236e+07
19	20469.7763	-22697.5147	698432.7763	3509465.4853	6338721.3592	2.2064e+07
20	21504.4138	-23321.2810	699467.4138	3508841.7190	6594829.5985	2.1893e+07
21	22539.5873	-23910.7209	700502.5873	3508252.2791	6853331.7715	2.1724e+07
22	23572.8254	-24470.1802	701535.8254	3507692.8198	7113865.3420	2.1557e+07
23	24592.8770	-25008.2288	702555.8770	3507154.7712	7373001.1747	2.1390e+07
24	25616.6124	-25523.1242	703579.6124	3506639.8758	7635830.8295	2.1225e+07
25	26622.1776	-26024.2913	704585.1776	3506138.7087	7899173.2121	2.1062e+07
26	27624.6908	-26509.9810	705587.6908	3505653.0190	8162372.0951	2.0899e+07
27	28611.2075	-26982.0390	706574.2075	3505180.9610	8425175.4758	2.0738e+07
28	29590.3947	-27439.2506	707553.3947	3504723.7494	8687064.3695	2.0578e+07
29	30553.9077	-27883.0773	708516.9077	3504279.9227	8947773.4239	2.0420e+07
