z	h(m)	phi-4.0	phi-3.0	phi-2.0	phi-1.0	phi0.0	phi1.0	phi2.0	phi3.0	phi4.0	phi5.0
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-16.8040	-23.7644	-33.6080	-47.5289	-82.5332	-165.0665	-330.1329	-725.3564	-2901.4256	-11605.7022
43	4300.0	-51.4526	-72.7650	-102.9052	-145.5300	-252.4866	-504.9731	-1009.9462	-2215.0835	-8860.3339	-35441.3358
42	4200.0	-87.0019	-123.0393	-174.0038	-246.0785	-426.5881	-853.1763	-1706.3525	-3736.4593	-14945.8373	-59783.3492
41	4100.0	-123.5069	-174.6651	-247.0137	-349.3302	-605.1549	-1210.3097	-2420.6194	-5293.0981	-21172.3926	-84689.5703
40	4000.0	-160.9949	-227.6812	-321.9899	-455.3624	-788.3323	-1576.6646	-3153.3291	-6886.4807	-27545.9228	-110183.6913
39	3900.0	-199.4040	-281.9998	-398.8080	-563.9996	-975.8075	-1951.6149	-3903.2299	-8513.7322	-34054.9290	-136219.7159
38	3800.0	-238.6709	-337.5317	-477.3419	-675.0634	-1167.2640	-2334.5279	-4669.0559	-10171.9661	-40687.8646	-162751.4582
37	3700.0	-278.7319	-394.1864	-557.4638	-788.3728	-1362.3819	-2724.7639	-5449.5278	-11858.2852	-47433.1409	-189732.5638
36	3600.0	-319.5220	-451.8723	-639.0440	-903.7446	-1560.8384	-3121.6767	-6243.3534	-13569.7831	-54279.1323	-217116.5294
35	3500.0	-360.9755	-510.4965	-721.9510	-1020.9929	-1762.3070	-3524.6140	-7049.2281	-15303.5452	-61214.1810	-244856.7238
34	3400.0	-403.0260	-569.9648	-806.0520	-1139.9297	-1966.4588	-3932.9177	-7865.8353	-17056.6505	-68226.6021	-272906.4086
33	3300.0	-445.6061	-630.1822	-891.2122	-1260.3644	-2172.9619	-4345.9237	-8691.8474	-18826.1724	-75304.6896	-301218.7584
32	3200.0	-488.6478	-691.0523	-977.2955	-1382.1046	-2381.4815	-4762.9630	-9525.9261	-20609.1801	-82436.7206	-329746.8823
31	3100.0	-532.0822	-752.4778	-1064.1643	-1504.9556	-2591.6807	-5183.3614	-10366.7227	-22402.7403	-89610.9610	-358443.8440
30	3000.0	-576.4878	-815.2768	-1152.9755	-1630.5536	-2806.3619	-5612.7239	-11225.4477	-24230.8282	-96923.3126	-387693.2506
29	2900.0	-622.8836	-880.8905	-1245.7673	-1761.7809	-3030.4116	-6060.8232	-12121.6463	-26134.3779	-104537.5116	-418150.0462
28	2800.0	-671.6070	-949.7957	-1343.2140	-1899.5914	-3265.3971	-6530.7942	-13061.5884	-28125.6887	-112502.7548	-450011.0192
27	2700.0	-722.5186	-1021.7956	-1445.0372	-2043.5913	-3510.6200	-7021.2399	-14042.4799	-30198.4002	-120793.6008	-483174.4032
26	2600.0	-775.4765	-1096.6895	-1550.9531	-2193.3789	-3765.3710	-7530.7420	-15061.4839	-32346.1109	-129384.4437	-517537.7750
25	2500.0	-830.3363	-1174.2729	-1660.6727	-2348.5458	-4028.9319	-8057.8638	-16115.7277	-34562.3922	-138249.5688	-552998.2752
24	2400.0	-886.9514	-1254.3387	-1773.9029	-2508.6775	-4300.5771	-8601.1542	-17202.3084	-36840.8018	-147363.2070	-589452.8282
23	2300.0	-945.1734	-1336.6771	-1890.3469	-2673.3542	-4579.5750	-9159.1501	-18318.3001	-39174.8976	-156699.5903	-626798.3614
22	2200.0	-1004.8525	-1421.0761	-2009.7050	-2842.1521	-4865.1900	-9730.3799	-19460.7599	-41558.2515	-166233.0058	-664932.0232
21	2100.0	-1065.8377	-1507.3221	-2131.6754	-3014.6443	-5156.6836	-10313.3672	-20626.7344	-43984.4625	-175937.8499	-703751.3997
20	2000.0	-1127.8616	-1595.0372	-2255.7232	-3190.0743	-5452.7669	-10905.5337	-21811.0675	-46442.6421	-185770.5686	-743082.2743
19	1900.0	-1189.8875	-1682.7550	-2379.7750	-3365.5100	-5748.4040	-11496.8080	-22993.6160	-48889.5663	-195558.2652	-782233.0606
18	1800.0	-1250.9163	-1769.0628	-2501.8326	-3538.1256	-6038.7587	-12077.5173	-24155.0347	-51284.0189	-205136.0758	-820544.3031
17	1700.0	-1310.6500	-1853.5391	-2621.3001	-3707.0781	-6322.4344	-12644.8688	-25289.7376	-53614.8814	-214459.5257	-857838.1027
