z	h(m)	phi-4.0	phi-3.0	phi-2.0	phi-1.0	phi0.0	phi1.0	phi2.0	phi3.0	phi4.0	phi5.0
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	1.8281	2.5854	3.6563	5.1707	8.9789	17.9579	35.9157	78.9127	315.6509	1262.6037
43	4300.0	5.5401	7.8349	11.0802	15.6697	27.1863	54.3725	108.7450	238.5092	954.0370	3816.1478
42	4200.0	9.2734	13.1146	18.5468	26.2292	45.4701	90.9402	181.8803	398.2813	1593.1253	6372.5012
41	4100.0	13.0267	18.4225	26.0534	36.8451	63.8296	127.6592	255.3184	558.3287	2233.3149	8933.2594
40	4000.0	16.8002	23.7591	33.6004	47.5182	82.2680	164.5361	329.0721	718.7167	2874.8669	11499.4677
39	3900.0	20.5940	29.1243	41.1880	58.2486	100.7855	201.5710	403.1419	879.4450	3517.7799	14071.1196
38	3800.0	24.4081	34.5182	48.8161	69.0364	119.3821	238.7642	477.5284	1040.5130	4162.0522	16648.2087
37	3700.0	28.2425	39.9410	56.4851	79.8820	138.0580	276.1160	552.2319	1201.9205	4807.6822	19230.7287
36	3600.0	32.0974	45.3926	64.1949	90.7853	156.8133	313.6265	627.2531	1363.6671	5454.6683	21818.6732
35	3500.0	35.9728	50.8733	71.9457	101.7465	175.6481	351.2962	702.5923	1525.7522	6103.0090	24412.0360
34	3400.0	39.8688	56.3829	79.7375	112.7659	194.5625	389.1251	778.2502	1688.1757	6752.7027	27010.8106
33	3300.0	43.7853	61.9218	87.5706	123.8435	213.5568	427.1135	854.2271	1850.9369	7403.7477	29614.9909
32	3200.0	47.7225	67.4898	95.4450	134.9796	232.6309	465.2618	930.5235	2014.0357	8056.1427	32224.5706
31	3100.0	51.6804	73.0871	103.3608	146.1742	251.7850	503.5700	1007.1400	2177.4715	8709.8859	34839.5434
30	3000.0	55.6580	78.7123	111.3160	157.4247	271.0151	542.0302	1084.0603	2341.2225	9364.8901	37459.5605
29	2900.0	59.6560	84.3663	119.3120	168.7326	290.3216	580.6432	1161.2863	2505.2526	10021.0106	40084.0423
28	2800.0	63.6759	90.0514	127.3519	180.1028	309.7092	619.4185	1238.8369	2669.5471	10678.1885	42712.7541
27	2700.0	67.7180	95.7677	135.4359	191.5353	329.1782	658.3564	1316.7128	2834.1058	11336.4231	45345.6923
26	2600.0	71.7821	101.5153	143.5643	203.0305	348.7286	697.4573	1394.9146	2998.9283	11995.7133	47982.8531
25	2500.0	75.8685	107.2943	151.7371	214.5886	368.3608	736.7215	1473.4430	3164.0146	12656.0582	50624.2328
24	2400.0	79.9772	113.1049	159.9544	226.2097	388.0747	776.1494	1552.2988	3329.3642	13317.4570	53269.8279
23	2300.0	84.1083	118.9471	168.2166	237.8942	407.8707	815.7413	1631.4826	3494.9772	13979.9087	55919.6347
22	2200.0	88.2618	124.8211	176.5236	249.6421	427.7488	855.4976	1710.9952	3660.8531	14643.4124	58573.6495
21	2100.0	92.4379	130.7269	184.8758	261.4538	447.7093	895.4186	1790.8372	3826.9918	15307.9672	61231.8688
20	2000.0	96.6362	136.6642	193.2724	273.3284	467.7507	935.5014	1871.0029	3993.3822	15973.5288	63894.1152
19	1900.0	100.8582	142.6350	201.7163	285.2700	487.8742	975.7483	1951.4966	4159.9396	16639.7583	66559.0332
18	1800.0	105.1057	148.6419	210.2114	297.2837	508.0824	1016.1649	2032.3297	4326.5900	17306.3602	69225.4406
17	1700.0	109.3789	154.6851	218.7577	309.3702	528.3758	1056.7516	2113.5033	4493.3336	17973.3344	71893.3375
16	1600.0	113.6779	160.7648	227.3557	321.5296	548.7546	1097.5093	2195.0185	4660.1702	18640.6809	74562.7235
15	1500.0	118.0025	166.8808	236.0051	333.7616	569.2177	1138.4353	2276.8707	4827.0850	19308.3401	77233.3605
14	1400.0	122.3538	173.0343	244.7075	346.0687	589.7658	1179.5315	2359.0630	4994.0325	19976.1299	79904.5196
13	1300.0	126.7328	179.2272	253.4655	358.4544	610.4013	1220.8025	2441.6050	5160.9819	20643.9275	82575.7101
12	1200.0	131.1397	185.4595	262.2794	370.9191	631.1245	1262.2491	2524.4981	5327.9333	21311.7331	85246.9326
11	1100.0	135.5748	191.7317	271.1495	383.4633	651.9360	1303.8719	2607.7439	5494.8867	21979.5468	87918.1873
10	1000.0	140.0368	198.0420	280.0737	396.0840	672.8344	1345.6689	2691.3378	5661.9040	22647.6159	90590.4636
9	900.0	144.5247	204.3888	289.0494	408.7776	693.8194	1387.6388	2775.2775	5829.0633	23316.2531	93265.0124
8	800.0	149.0379	210.7714	298.0758	421.5428	714.8907	1429.7814	2859.5627	5996.4032	23985.6127	95942.4507
7	700.0	153.5758	217.1890	307.1517	434.3780	736.0481	1472.0963	2944.1926	6163.9598	24655.8393	98623.3570
6	600.0	158.1381	223.6411	316.2762	447.2821	757.2911	1514.5822	3029.1644	6331.7518	25327.0072	101308.0287
5	500.0	162.7246	230.1274	325.4493	460.2548	778.6196	1557.2393	3114.4785	6499.7887	25999.1548	103996.6193
4	400.0	167.3359	236.6486	334.6717	473.2973	800.0352	1600.0704	3200.1409	6668.0753	26672.3014	106689.2055
3	300.0	171.9718	243.2049	343.9437	486.4098	821.5381	1643.0761	3286.1522	6836.6115	27346.4461	109385.7842
2	200.0	176.6306	249.7934	353.2612	499.5868	843.1225	1686.2449	3372.4898	7005.4098	28021.6390	112086.5560
1	100.0	181.3116	256.4133	362.6232	512.8267	864.7881	1729.5762	3459.1524	7174.5033	28698.0131	114792.0523
0	0.0	186.0164	263.0670	372.0329	526.1339	886.5407	1773.0814	3546.1627	7343.9125	29375.6501	117502.6005
