x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	Md(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
674000	3538000	1055	7055.2	8.8055e-09	-1.549	2.0195e-12	8.0704e-14	1.4441e-14	9.0946e-32	8.2590e-16	2.9543e-10	3.8967e-09	4.0901e-09	5.1247e-10	8.6907e-12
675000	3538000	1052	6546.0	4.1562e-08	-1.499	2.2496e-12	1.0094e-13	2.4088e-14	3.1805e-30	7.6781e-15	1.7301e-09	1.9496e-08	1.8208e-08	2.0921e-09	3.3736e-11
676000	3538000	1169	6158.2	2.1446e-07	-1.415	6.0413e-13	2.7214e-14	9.9205e-15	4.6969e-28	1.1898e-13	1.2476e-08	1.0915e-07	8.4320e-08	8.3871e-09	1.2285e-10
677000	3538000	818	5915.9	5.0950e-07	-1.410	2.5485e-10	2.0071e-11	1.1014e-12	5.9000e-25	2.6539e-13	2.9496e-08	2.5987e-07	1.9988e-07	1.9694e-08	2.8674e-10
678000	3538000	733	5837.1	1.5589e-06	-1.347	1.4824e-09	2.4452e-10	5.1302e-12	1.5003e-21	1.5986e-12	1.1153e-07	8.3428e-07	5.6127e-07	4.9411e-08	6.5838e-10
679000	3538000	646	5928.4	4.1366e-06	-1.277	5.5801e-09	2.4870e-09	2.4268e-11	3.6670e-19	8.3879e-12	3.6599e-07	2.3111e-06	1.3458e-06	1.0436e-07	1.2481e-09
680000	3538000	677	6182.2	1.0030e-05	-1.210	4.1705e-09	1.7320e-09	2.6979e-11	2.3979e-19	4.2391e-11	1.1199e-06	5.8396e-06	2.8717e-06	1.9125e-07	1.9978e-09
681000	3538000	602	6579.8	2.0273e-05	-1.137	1.0343e-08	9.0283e-09	9.5374e-11	3.3256e-18	1.6701e-10	2.7739e-06	1.2119e-05	5.0675e-06	2.9011e-07	2.6299e-09
682000	3538000	498	7097.0	3.5710e-05	-1.061	2.5612e-08	5.1827e-08	4.6136e-10	3.5305e-17	5.5117e-10	5.8860e-06	2.1662e-05	7.7025e-06	3.7768e-07	2.9468e-09
683000	3538000	370	7709.9	5.5765e-05	-0.978	5.2821e-08	2.3349e-07	2.3726e-09	2.2722e-16	1.5446e-09	1.0867e-05	3.3906e-05	1.0268e-05	4.3069e-07	2.8781e-09
684000	3538000	304	8397.4	8.0952e-05	-0.900	6.9788e-08	4.8575e-07	6.2596e-09	1.9283e-16	4.0390e-09	1.8590e-05	4.8853e-05	1.2495e-05	4.4485e-07	2.5260e-09
685000	3538000	257	9142.8	1.0871e-04	-0.827	8.5692e-08	7.6421e-07	1.3025e-08	7.8017e-17	9.6498e-09	2.9120e-05	6.4418e-05	1.3881e-05	4.1854e-07	2.0138e-09
686000	3538000	212	9933.0	1.3514e-04	-0.753	1.0037e-07	1.1880e-06	2.5364e-08	2.2695e-17	2.0776e-08	4.1601e-05	7.7720e-05	1.4127e-05	3.6117e-07	1.4731e-09
687000	3538000	196	10758.2	1.5803e-04	-0.683	1.0897e-07	1.5288e-06	4.6594e-08	4.3651e-18	4.1693e-08	5.5390e-05	8.7269e-05	1.3353e-05	2.8918e-07	9.9943e-10
688000	3538000	192	11610.9	1.7354e-04	-0.620	1.1490e-07	1.7082e-06	6.3410e-08	5.1981e-18	7.7412e-08	6.8533e-05	9.1092e-05	1.1732e-05	2.1536e-07	6.3141e-10
689000	3538000	168	12485.4	1.7888e-04	-0.549	1.2891e-07	2.1488e-06	9.7841e-08	1.3964e-17	1.3191e-07	7.8471e-05	8.8177e-05	9.5796e-06	1.4937e-07	3.7235e-10
690000	3538000	196	13377.6	1.7449e-04	-0.494	1.2247e-07	1.9251e-06	1.0666e-07	3.3732e-17	2.1147e-07	8.4599e-05	8.0109e-05	7.3233e-06	9.6880e-08	2.0529e-10
691000	3538000	180	14284.0	1.6043e-04	-0.423	1.3337e-07	2.2547e-06	1.5275e-07	8.2724e-17	3.1219e-07	8.4658e-05	6.7644e-05	5.2161e-06	5.8654e-08	1.0584e-10
692000	3538000	181	15202.2	1.3980e-04	-0.354	1.3779e-07	2.3614e-06	1.9623e-07	1.8890e-16	4.3244e-07	7.9638e-05	5.3526e-05	3.4777e-06	3.3205e-08	5.0980e-11
693000	3538000	199	16130.2	1.1553e-04	-0.289	1.3469e-07	2.1933e-06	2.2608e-07	4.0717e-16	5.6315e-07	7.0521e-05	3.9708e-05	2.1711e-06	1.7573e-08	2.2915e-11
694000	3538000	163	17066.2	9.1168e-05	-0.178	1.5471e-07	2.8392e-06	3.5512e-07	8.7273e-16	6.7747e-07	5.8344e-05	2.7520e-05	1.2694e-06	8.7107e-09	9.6298e-12
695000	3538000	184	18009.2	6.8361e-05	-0.094	1.5020e-07	2.5604e-06	3.9837e-07	1.7408e-15	7.7531e-07	4.5811e-05	1.7965e-05	6.9712e-07	4.0396e-09	3.7666e-12
696000	3538000	150	18958.0	4.9952e-05	0.090	1.6928e-07	3.1922e-06	6.0183e-07	3.4258e-15	8.2132e-07	3.3790e-05	1.1015e-05	3.6072e-07	1.7630e-09	1.3796e-12
697000	3538000	171	19911.8	3.4784e-05	0.241	1.6504e-07	2.8616e-06	6.7389e-07	6.4118e-15	8.2645e-07	2.3702e-05	6.3789e-06	1.7610e-07	7.2266e-10	4.7071e-13
698000	3538000	168	20869.9	2.4056e-05	0.509	1.7082e-07	2.9286e-06	8.5091e-07	1.1688e-14	7.7664e-07	1.5750e-05	3.4971e-06	8.1656e-08	2.8056e-10	1.5076e-13
699000	3538000	137	21831.8	1.7413e-05	0.998	1.8827e-07	3.4978e-06	1.2233e-06	2.0605e-14	6.8294e-07	9.9584e-06	1.8262e-06	3.6210e-08	1.0385e-10	4.5548e-14
