#i	Fraction(phi)	Theoretical(kg)	WtPercent	Actual(kg)	Actual/Theoretical
9	5.0	1.3129e+07	0.1313	4.3103e+06	0.3283
8	4.0	2.1361e+08	2.1361	1.6140e+08	0.7556
7	3.0	1.3585e+09	13.5849	1.3242e+09	0.9747
6	2.0	3.4145e+09	34.1446	3.4101e+09	0.9987
5	1.0	3.4145e+09	34.1446	3.4144e+09	1.0000
4	0.0	1.3585e+09	13.5849	1.3585e+09	1.0000
3	-1.0	2.1361e+08	2.1361	2.1361e+08	1.0000
2	-2.0	1.3129e+07	0.1313	1.3129e+07	1.0000
1	-3.0	3.1165e+05	0.0031	3.1165e+05	1.0000
0	-4.0	2.8260e+03	0.0000	2.8260e+03	1.0000
