#Md(phi)	area(sqkm)	max_dist(m)	x_of_max_dist(m)	y_of_max_dist(m)	dir_of_max_dist(deg)
-0.90	0.0000	3549.4	3037.0	1837.0	58.8
-0.80	3.0000	4435.3	4037.0	1837.0	65.5
-0.70	6.0000	5361.5	5037.0	1837.0	70.0
-0.60	11.0000	7272.8	7037.0	1837.0	75.4
-0.50	16.0000	9221.8	9037.0	1837.0	78.5
-0.40	30.0000	11188.8	11037.0	1837.0	80.6
-0.30	43.0000	13165.8	13037.0	1837.0	82.0
-0.20	55.0000	15148.8	15037.0	1837.0	83.0
-0.10	74.0000	17057.5	17037.0	837.0	87.2
-0.00	93.0000	19055.4	19037.0	837.0	87.5
0.10	116.0000	20070.7	20037.0	-1163.0	93.3
0.20	140.0000	22037.6	22037.0	-163.0	90.4
0.30	162.0000	23066.3	23037.0	-1163.0	92.9
0.40	187.0000	25064.0	25037.0	-1163.0	92.7
0.50	214.0000	26126.7	26037.0	-2163.0	94.7
0.60	246.0000	27221.4	27037.0	-3163.0	96.7
0.70	283.0000	29333.9	29037.0	-4163.0	98.2
0.80	328.0000	32450.4	32037.0	-5163.0	99.2
0.90	388.0000	35761.7	35037.0	-7163.0	101.6
1.00	456.0000	39125.1	38037.0	-9163.0	103.5
1.10	519.0000	44220.7	43037.0	-10163.0	103.3
1.20	588.0000	45962.2	44037.0	-13163.0	106.6
1.30	657.0000	51041.3	49037.0	-14163.0	106.1
1.40	728.0000	52898.7	50037.0	-17163.0	108.9
1.50	796.0000	54794.3	52037.0	-17163.0	108.3
1.60	858.0000	57007.8	54037.0	-18163.0	108.6
1.70	931.0000	58277.7	55037.0	-19163.0	109.2
1.80	1007.0000	61191.6	57037.0	-22163.0	111.2
1.90	1100.0000	64175.9	59037.0	-25163.0	113.1
2.00	1240.0000	68130.3	62037.0	-28163.0	114.4
2.10	1410.0000	71807.7	62037.0	-36163.0	120.2
2.20	1507.0000	73903.0	62037.0	-40163.0	122.9
2.30	1575.0000	75008.7	62037.0	-42163.0	124.2
2.40	1633.0000	75575.4	62037.0	-43163.0	124.8
2.50	1690.0000	76150.9	62037.0	-44163.0	125.4
2.60	1741.0000	76735.2	62037.0	-45163.0	126.1
2.70	1794.0000	77328.0	62037.0	-46163.0	126.7
2.80	1852.0000	77929.1	62037.0	-47163.0	127.2
2.90	1936.0000	79155.5	62037.0	-49163.0	128.4
3.00	2095.0000	81052.9	62037.0	-52163.0	130.1
3.10	2349.0000	81052.9	62037.0	-52163.0	130.1
3.20	2472.0000	81052.9	62037.0	-52163.0	130.1
