#z	s	x	dir	northing	easting	Ta	P	atm_dens	col_dens	n	Q	Cp	Rg	V	Ue	M	theta	U	R	Tm	Time
1300.0000	0.00	0.00	148.32	0.00	0.00	270.80	87508.10	1.1338	5.2391	0.03	3.18e+05	1623.99	462.00	12.95	0.00	44563384.07	1.57	140.00	20.83	1200.00	0.00
1309.9999	10.00	0.03	148.37	-0.03	0.02	270.80	87396.94	1.1324	3.2441	0.06	3.29e+05	1603.35	367.84	13.04	23.87	44395946.63	1.57	134.87	27.43	1178.56	0.07
1319.9996	20.00	0.11	148.42	-0.10	0.06	270.80	87285.92	1.1310	2.1313	0.11	3.46e+05	1573.92	330.41	13.12	23.31	44256243.67	1.56	127.91	35.62	1150.31	0.15
1329.9986	30.00	0.26	148.47	-0.22	0.13	270.80	87175.06	1.1295	1.5694	0.16	3.67e+05	1541.40	314.18	13.21	22.71	44154375.58	1.56	120.41	44.05	1117.93	0.23
1339.9962	40.00	0.47	148.52	-0.40	0.25	270.80	87064.35	1.1281	1.2488	0.21	3.91e+05	1507.44	305.52	13.30	22.09	44101077.27	1.55	112.75	52.71	1082.68	0.32
1349.9917	50.00	0.78	148.57	-0.66	0.41	270.80	86953.80	1.1267	1.0505	0.26	4.19e+05	1473.35	300.31	13.39	21.48	44107662.78	1.54	105.22	61.58	1045.69	0.41
1359.9838	60.00	1.17	148.62	-1.00	0.61	270.80	86843.43	1.1252	0.9209	0.31	4.51e+05	1440.10	296.91	13.48	20.90	44185782.40	1.53	98.04	70.65	1007.95	0.51
1369.9712	70.00	1.67	148.68	-1.43	0.87	270.80	86733.26	1.1238	0.8330	0.36	4.86e+05	1408.34	294.56	13.57	20.35	44347130.32	1.52	91.32	79.90	970.23	0.61
1379.9522	80.00	2.29	148.73	-1.95	1.19	270.80	86623.29	1.1224	0.7719	0.41	5.24e+05	1378.43	292.86	13.65	19.85	44603122.70	1.51	85.16	89.27	933.13	0.72
1389.9249	90.00	3.03	148.78	-2.59	1.58	270.80	86513.55	1.1210	0.7288	0.45	5.65e+05	1350.58	291.59	13.74	19.40	44964565.57	1.50	79.56	98.72	897.10	0.85
1399.8874	100.00	3.89	148.83	-3.33	2.03	270.80	86404.07	1.1195	0.6983	0.49	6.10e+05	1324.85	290.62	13.83	19.00	45441332.84	1.48	74.54	108.23	862.46	0.98
1409.8374	110.00	4.89	148.88	-4.18	2.54	270.80	86294.86	1.1181	0.6769	0.53	6.57e+05	1301.19	289.85	13.92	18.64	46042075.96	1.47	70.06	117.73	829.40	1.11
1419.7727	120.00	6.03	148.93	-5.15	3.13	270.80	86185.95	1.1167	0.6621	0.56	7.08e+05	1279.52	289.24	14.00	18.33	46773986.38	1.46	66.08	127.18	798.05	1.26
1429.6913	130.00	7.30	148.98	-6.24	3.79	270.80	86077.36	1.1153	0.6525	0.59	7.61e+05	1259.73	288.73	14.09	18.05	47642628.72	1.44	62.58	136.55	768.47	1.42
1439.5910	140.00	8.71	149.03	-7.45	4.52	270.80	85969.12	1.1139	0.6467	0.62	8.18e+05	1241.67	288.32	14.18	17.81	48651856.87	1.43	59.50	145.79	740.65	1.58
1449.4699	150.00	10.27	149.08	-8.78	5.31	270.80	85861.23	1.1125	0.6438	0.65	8.77e+05	1225.21	287.97	14.27	17.60	49803816.34	1.42	56.79	154.87	714.58	1.75
1459.3264	160.00	11.95	149.13	-10.23	6.18	270.80	85753.73	1.1111	0.6434	0.67	9.39e+05	1210.21	287.68	14.35	17.41	51099027.64	1.40	54.42	163.77	690.20	1.93
1469.1592	170.00	13.78	149.18	-11.80	7.12	270.80	85646.62	1.1097	0.6447	0.69	1.00e+06	1196.53	287.43	14.44	17.25	52536537.00	1.39	52.34	172.46	667.44	2.12
1478.9670	180.00	15.73	149.23	-13.47	8.12	270.80	85539.91	1.1083	0.6475	0.71	1.07e+06	1184.04	287.22	14.53	17.12	54114115.72	1.37	50.52	180.95	646.21	2.31
1488.7490	190.00	17.80	149.28	-15.25	9.18	270.80	85433.62	1.1070	0.6513	0.73	1.14e+06	1172.64	287.03	14.61	17.00	55828487.30	1.36	48.93	189.21	626.43	2.51
1498.5047	200.00	20.00	149.33	-17.14	10.30	270.80	85327.74	1.1056	0.6561	0.75	1.21e+06	1162.21	286.87	14.70	16.89	57675562.37	1.35	47.53	197.26	608.00	2.72
1508.2336	210.00	22.31	149.38	-19.13	11.48	270.80	85222.29	1.1042	0.6615	0.76	1.29e+06	1152.66	286.73	14.79	16.81	59650665.03	1.34	46.30	205.09	590.83	2.94
1517.9357	220.00	24.73	149.43	-21.22	12.71	270.80	85117.26	1.1029	0.6675	0.77	1.37e+06	1143.91	286.60	14.87	16.73	61748738.62	1.33	45.22	212.71	574.84	3.15
1527.6111	230.00	27.26	149.47	-23.39	14.00	270.80	85012.64	1.1015	0.6739	0.79	1.45e+06	1135.87	286.49	14.96	16.67	63964523.63	1.32	44.26	220.14	559.93	3.38
1537.2597	240.00	29.89	149.40	-25.66	15.33	270.79	84949.67	1.1007	0.6808	0.80	1.53e+06	1128.47	286.39	15.05	16.62	66292777.61	1.30	43.41	227.34	546.02	3.61
1546.8820	250.00	32.61	149.19	-28.00	16.72	270.77	84845.83	1.0995	0.6877	0.81	1.61e+06	1121.64	286.30	15.14	16.58	68728982.53	1.30	42.65	234.42	533.03	3.84
1556.4781	260.00	35.43	148.98	-30.42	18.16	270.76	84742.38	1.0982	0.6946	0.82	1.70e+06	1115.34	286.22	15.23	16.55	71268199.10	1.29	41.97	241.36	520.89	4.07
1566.0485	270.00	38.33	148.77	-32.90	19.66	270.74	84639.34	1.0969	0.7017	0.83	1.79e+06	1109.50	286.14	15.33	16.52	73905669.42	1.28	41.36	248.16	509.54	4.31
1575.5935	280.00	41.31	148.56	-35.45	21.20	270.72	84536.69	1.0957	0.7088	0.84	1.88e+06	1104.09	286.08	15.42	16.51	76636876.19	1.27	40.81	254.83	498.90	4.56
1585.1136	290.00	44.37	148.35	-38.06	22.80	270.70	84434.42	1.0944	0.7158	0.84	1.97e+06	1099.08	286.02	15.51	16.49	79457568.48	1.26	40.31	261.40	488.94	4.80
1594.6091	300.00	47.50	148.14	-40.73	24.44	270.68	84332.53	1.0932	0.7229	0.85	2.07e+06	1094.41	285.96	15.61	16.48	82363774.55	1.25	39.85	267.86	479.58	5.05
1604.0804	310.00	50.71	147.94	-43.46	26.14	270.67	84231.02	1.0919	0.7298	0.86	2.16e+06	1090.06	285.91	15.70	16.48	85351804.84	1.24	39.43	274.25	470.80	5.31
1613.5281	320.00	53.99	147.73	-46.23	27.88	270.65	84129.87	1.0907	0.7367	0.86	2.26e+06	1086.00	285.86	15.79	16.48	88418247.79	1.24	39.05	280.55	462.54	5.56
1622.9523	330.00	57.33	147.52	-49.06	29.66	270.63	84029.09	1.0895	0.7434	0.87	2.37e+06	1082.21	285.82	15.88	16.48	91559960.67	1.23	38.70	286.79	454.77	5.82
