z	h(m)	phi-2.0	phi-2.1	phi-2.2	phi-2.3	phi-2.4	phi-2.5	phi-2.6	phi-2.7	phi-2.8	phi-2.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	114.4179	110.5204	106.7557	103.1192	99.6066	96.2136	92.9362	89.7705	86.7126	83.7588
43	4300.0	342.1085	330.4550	319.1985	308.3254	297.8228	287.6778	277.8785	268.4129	259.2698	250.4381
42	4200.0	565.0178	545.7713	527.1803	509.2226	491.8766	475.1215	458.9371	443.3040	428.2034	413.6173
41	4100.0	783.3950	756.7097	730.9334	706.0351	681.9850	658.7540	636.3145	614.6393	593.7024	573.4787
40	4000.0	997.4536	963.4766	930.6571	898.9555	868.3338	838.7551	810.1841	782.5862	755.9285	730.1788
39	3900.0	1207.1385	1166.0189	1126.3000	1087.9341	1050.8751	1015.0784	980.5011	947.1017	914.8399	883.6771
38	3800.0	1412.3974	1364.2860	1317.8134	1272.9238	1229.5634	1187.6799	1147.2232	1108.1445	1070.3971	1033.9354
37	3700.0	1613.1807	1558.2298	1505.1508	1453.8799	1404.3554	1356.5179	1310.3099	1265.6759	1222.5624	1180.9174
36	3600.0	1809.4416	1747.8054	1688.2687	1630.7601	1575.2104	1521.5529	1469.7233	1419.6591	1371.3003	1324.5888
35	3500.0	2001.1362	1932.9701	1867.1261	1803.5249	1742.0902	1682.7482	1625.4276	1570.0596	1516.5776	1464.9174
34	3400.0	2188.2234	2113.6845	2041.6846	1972.1373	1904.9591	1840.0692	1777.3897	1716.8453	1658.3632	1601.8733
33	3300.0	2370.6652	2289.9117	2211.9089	2136.5631	2063.7839	1993.4839	1925.5785	1859.9862	1796.6283	1735.4285
32	3200.0	2548.4267	2461.6179	2377.7661	2296.7707	2218.5343	2142.9628	2069.9657	1999.4550	1931.3462	1865.5575
31	3100.0	2721.4757	2628.7722	2539.2266	2452.7312	2369.1822	2288.4791	2210.5251	2135.2265	2062.4929	1992.2368
30	3000.0	2889.6233	2791.1921	2696.1139	2604.2743	2515.5632	2429.8739	2347.1034	2267.1525	2189.9249	2115.3281
29	2900.0	3052.6171	2948.6337	2848.1924	2751.1725	2657.4575	2566.9347	2479.4955	2395.0348	2313.4511	2234.6465
28	2800.0	3210.2984	3100.9438	2995.3143	2893.2829	2794.7271	2699.5284	2607.5725	2518.7490	2432.9512	2350.0760
27	2700.0	3362.5194	3247.9796	3137.3415	3030.4722	2927.2431	2827.5305	2731.2144	2638.1792	2548.3132	2461.5083
26	2600.0	3509.1459	3389.6115	3274.1489	3162.6194	3054.8889	2950.8282	2850.3122	2753.2201	2659.4353	2568.8452
25	2500.0	3650.0576	3525.7233	3405.6242	3289.6161	3177.5597	3069.3204	2964.7680	2863.7772	2766.2264	2671.9986
24	2400.0	3785.1483	3656.2123	3531.6683	3411.3667	3295.1630	3182.9176	3074.4958	2969.7672	2868.6060	2770.8907
23	2300.0	3914.3261	3780.9898	3652.1954	3527.7882	3407.6188	3291.5428	3179.4207	3071.1180	2966.5044	2865.4544
22	2200.0	4037.5134	3899.9809	3767.1332	3638.8108	3514.8596	3395.1306	3279.4800	3167.7688	3059.8630	2955.6328
21	2100.0	4154.6475	4013.1249	3876.4232	3744.3780	3616.8307	3493.6282	3374.6224	3259.6704	3148.6340	3041.3800
20	2000.0	4265.4507	4120.1538	3979.8062	3844.2394	3713.2905	3586.8022	3464.6225	3346.6048	3232.6071	3122.4927
19	1900.0	4368.2755	4219.4760	4075.7451	3936.9103	3802.8047	3673.2672	3548.1422	3427.2795	3310.5337	3197.7648
18	1800.0	4461.8313	4309.8450	4163.0358	4021.2276	3884.2498	3751.9380	3624.1332	3500.6819	3381.4358	3266.2517
17	1700.0	4546.3717	4391.5056	4241.9148	4097.4196	3957.8465	3823.0277	3692.8013	3567.0110	3445.5055	3328.1389
16	1600.0	4622.1844	4464.7358	4312.6505	4165.7458	4023.8452	3886.7783	3754.3803	3626.4924	3502.9607	3383.6370
15	1500.0	4690.4967	4530.7212	4376.3882	4227.3123	4083.3145	3944.2219	3809.8672	3680.0891	3554.7318	3433.6446
14	1400.0	4754.2968	4592.3480	4435.9157	4284.8121	4138.8557	3997.8711	3861.6889	3730.1456	3603.0832	3480.3489
13	1300.0	4815.4230	4651.3920	4492.9485	4339.9022	4192.0692	4049.2719	3911.3389	3778.1043	3649.4082	3525.0960
12	1200.0	4873.7164	4707.6998	4547.3382	4392.4392	4242.8166	4098.2907	3958.6879	3823.8404	3693.5864	3567.7693
11	1100.0	4929.0163	4761.1159	4598.9348	4442.2782	4290.9579	4144.7922	4003.6053	3867.2278	3735.4958	3608.2511
10	1000.0	4977.3515	4807.8047	4644.0332	4485.8404	4333.0362	4185.4371	4042.8657	3905.1509	3772.1271	3643.6346
9	900.0	5013.0821	4842.3181	4677.3710	4518.0426	4364.1415	4215.4828	4071.8880	3933.1845	3799.2058	3669.7909
8	800.0	5038.6921	4867.0558	4701.2660	4541.1236	4386.4363	4237.0181	4092.6897	3953.2777	3818.6146	3688.5385
7	700.0	5061.4195	4889.0090	4722.4714	4561.6066	4406.2216	4256.1295	4111.1501	3971.1092	3835.8387	3705.1759
6	600.0	5084.2719	4911.0830	4743.7934	4582.2024	4426.1158	4275.3460	4129.7121	3989.0389	3853.1576	3721.9049
5	500.0	5107.2556	4933.2837	4765.2380	4602.9165	4446.1242	4294.6729	4148.3806	4007.0715	3870.5760	3738.7299
4	400.0	5130.3762	4955.6168	4786.8103	4623.7539	4466.2519	4314.1150	4167.1604	4025.2116	3888.0981	3755.6552
3	300.0	5153.6343	4978.0826	4808.5108	4644.7153	4486.4992	4333.6726	4186.0518	4043.4595	3905.7244	3772.6811
2	200.0	5175.1298	4998.8459	4828.5668	4664.0881	4505.2122	4351.7481	4203.5116	4060.3245	3922.0150	3788.4168
1	100.0	5189.9090	5013.1216	4842.3563	4677.4079	4518.0782	4364.1759	4215.5160	4071.9201	3933.2155	3799.2358
0	0.0	5194.8604	5017.9044	4846.9762	4681.8704	4522.3887	4368.3395	4219.5378	4075.8049	3936.9680	3802.8604
