z	h(m)	phi3.0	phi2.9	phi2.8	phi2.7	phi2.6	phi2.5	phi2.4	phi2.3	phi2.2	phi2.1
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	2469.4643	2149.7936	1871.5040	1825.8335	1703.5629	1589.4804	1483.0377	1383.7231	1291.0593	1204.6009
43	4300.0	7364.2746	6410.9734	5581.0765	5454.4393	5089.1718	4748.3652	4430.3814	4133.6920	3856.8710	3598.5879
42	4200.0	12134.1160	10563.3615	9195.9403	9001.3571	8398.5631	7836.1365	7311.3739	6821.7530	6364.9206	5938.6809
41	4100.0	16790.1175	14616.6462	12724.5296	12471.9747	11636.7638	10857.4846	10130.3913	9451.9893	8819.0179	8228.4346
40	4000.0	21339.2615	18576.9061	16268.5276	15870.2813	14807.4961	13815.8823	12890.6740	12027.4242	11221.9835	10470.4809
39	3900.0	25781.0557	22443.7126	19832.4770	19195.5636	17910.0942	16710.7087	15591.6426	14547.5169	13573.3132	12664.3490
38	3800.0	30115.0708	26216.6918	23317.4444	22447.1532	20943.9345	19541.3819	18232.7540	17011.7610	15872.5343	14809.5981
37	3700.0	34340.9409	29895.5255	26722.7624	25624.4273	23908.4360	22307.3596	20813.5025	19419.6845	18119.2063	16905.8173
36	3600.0	38458.3641	33479.9505	30047.8130	28726.8092	26803.0607	25008.1399	23333.4196	21770.8503	20312.9216	18952.6260
35	3500.0	42467.1023	36969.7598	33292.0284	31753.7691	29627.3142	27643.2616	25792.0751	24064.8570	22453.3055	20949.6748
34	3400.0	46366.9816	40364.8019	36454.8915	34704.8248	32380.7465	30212.3047	28189.0771	26301.3389	24540.0169	22896.6454
33	3300.0	50157.8926	43664.9817	39535.9367	37579.5416	35062.9521	32714.8911	30524.0727	28479.9669	26572.7487	24793.2512
32	3200.0	53839.7907	46870.2601	42534.7506	40377.5339	37673.5712	35150.6849	32796.7487	30600.4485	28551.2280	26639.2377
31	3100.0	57412.6958	49980.6546	45450.9721	43098.4648	40212.2895	37519.3928	35006.8313	32662.5285	30475.2167	28434.3826
30	3000.0	60873.8422	52993.7576	48281.7188	45739.6448	42676.5976	39818.6736	37152.1361	34664.1687	32342.8130	30176.9116
29	2900.0	64217.5313	55904.6081	51022.5982	48296.9757	45062.6718	42044.9594	39229.3343	36602.2631	34151.1191	31864.1208
28	2800.0	67439.7284	58709.6936	53670.7212	50767.7619	47367.9967	44195.9037	41236.2362	38474.7689	35898.2287	33494.2317
27	2700.0	70538.3351	61407.1873	56223.8489	53149.9142	49590.6235	46269.6878	43171.1452	40280.1027	37582.6648	35065.8661
26	2600.0	73511.5568	63995.5272	58679.9793	55441.5649	51728.8092	48264.6856	45032.5440	42016.8492	39203.1065	36577.7917
25	2500.0	76357.9035	66473.4159	61037.3504	57641.0699	53781.0199	50179.4659	46819.0972	43683.7623	40758.3914	38028.9239
24	2400.0	79076.1890	68839.8209	63294.4424	59747.0113	55745.9326	52012.7943	48529.6531	45279.7674	42247.5168	39418.3270
23	2300.0	81665.5301	71093.9732	65449.9797	61758.1987	57622.4369	53763.6347	50163.2449	46803.9624	43669.6411	40745.2159
22	2200.0	84125.3455	73235.3669	67502.9322	63673.6711	59409.6358	55431.1502	51719.0919	48255.6190	45024.0846	42008.9563
21	2100.0	86455.3536	75263.7568	69452.5160	65492.6971	61106.8471	57014.7044	53196.6002	49634.1830	46310.3302	43209.0660
20	2000.0	88651.0732	77175.2418	71294.3951	67211.2311	62710.2960	58510.7751	54592.4835	50936.5882	47525.5173	44342.8755
19	1900.0	90679.2944	78940.9108	73001.0188	68803.5673	64195.9982	59896.9843	55885.8624	52143.3534	48651.4690	45393.4257
18	1800.0	92514.6172	80538.6521	74550.9735	70249.7262	65545.3122	61155.9387	57060.5084	53239.3369	49674.0578	46347.5347
17	1700.0	94164.0369	81974.5554	75949.0171	71554.1470	66762.3798	62291.5029	58120.0273	54227.9030	50596.4225	47208.1315
16	1600.0	95635.1148	83255.2031	77200.4487	72721.7739	67851.8143	63307.9813	59068.4351	55112.7987	51422.0595	47978.4780
15	1500.0	96953.4057	84402.8419	78326.0137	73771.9632	68831.6755	64222.2241	59921.4539	55908.6934	52164.6554	48671.3445
14	1400.0	98177.3429	85498.1479	79375.1568	74750.8483	69745.0076	65074.3931	60716.5557	56650.5496	52856.8317	49317.1678
13	1300.0	99342.5634	86573.1891	80378.2058	75686.7261	70618.2125	65889.1220	61476.7246	57359.8123	53518.5973	49934.6169
12	1200.0	100446.7504	87596.2418	81332.7476	76577.3451	71449.1894	66664.4509	62200.1321	58034.7753	54148.3600	50522.2063
11	1100.0	101487.6037	88564.7051	82236.3558	77420.4414	72235.8261	67398.4089	62884.9391	58673.7228	54744.5191	51078.4425
10	1000.0	102392.2083	89409.5930	83024.6641	78155.9591	72922.0883	68038.7142	63482.3650	59231.1410	55264.6086	51563.7031
9	900.0	103057.6341	90033.1320	83606.4466	78698.7813	73428.5594	68511.2684	63923.2737	59642.5233	55648.4419	51921.8323
8	800.0	103532.4192	90479.3796	84022.8104	79087.2624	73791.0251	68849.4609	64238.8184	59936.9369	55923.1396	52178.1342
7	700.0	103952.0053	90874.8465	84391.7940	79431.5363	74112.2439	69149.1687	64518.4557	60197.8477	56166.5780	52405.2703
6	600.0	104372.2398	91271.9672	84762.3207	79777.2500	74434.8062	69450.1299	64799.2625	60459.8497	56411.0345	52633.3562
5	500.0	104793.2673	91670.8576	85134.4986	80124.5042	74758.8059	69752.4323	65081.3206	60723.0192	56656.5803	52862.4586
4	400.0	105215.1615	92071.6052	85508.4094	80473.3753	75084.3141	70056.1422	65364.6919	60987.4141	56903.2694	53092.6277
3	300.0	105637.9227	92474.2154	85884.0579	80823.8678	75411.3352	70361.2637	65649.3803	61253.0377	57151.1050	53323.8665
2	200.0	106027.3393	92845.8990	86230.8510	81147.4372	75713.2361	70642.9471	65912.2003	61498.2574	57379.9031	53537.3426
1	100.0	106294.2758	93101.1925	86469.0483	81369.6831	75920.5989	70836.4235	66092.7201	61666.6884	57537.0547	53683.9703
0	0.0	106383.4208	93186.6318	86548.7659	81444.0623	75989.9971	70901.1743	66153.1348	61723.0572	57589.6487	53733.0422
