z	h(m)	phi-3.0	phi-3.1	phi-3.2	phi-3.3	phi-3.4	phi-3.5	phi-3.6	phi-3.7	phi-3.8	phi-3.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-23.7644	-22.9549	-22.1730	-21.4177	-20.6882	-19.9834	-19.3027	-18.6452	-18.0101	-17.3966
43	4300.0	-72.7650	-70.2864	-67.8921	-65.5795	-63.3456	-61.1878	-59.1035	-57.0903	-55.1456	-53.2671
42	4200.0	-123.0393	-118.8481	-114.7997	-110.8892	-107.1119	-103.4633	-99.9389	-96.5347	-93.2463	-90.0700
41	4100.0	-174.6651	-168.7154	-162.9683	-157.4170	-152.0548	-146.8753	-141.8721	-137.0395	-132.3714	-127.8623
40	4000.0	-227.6812	-219.9256	-212.4341	-205.1978	-198.2080	-191.4563	-184.9346	-178.6351	-172.5501	-166.6724
39	3900.0	-281.9998	-272.3939	-263.1151	-254.1525	-245.4951	-237.1326	-229.0550	-221.2526	-213.7159	-206.4359
38	3800.0	-337.5317	-326.0341	-314.9282	-304.2006	-293.8384	-283.8292	-274.1609	-264.8220	-255.8012	-247.0877
37	3700.0	-394.1864	-380.7590	-367.7889	-355.2607	-343.1592	-331.4699	-320.1789	-309.2724	-298.7374	-288.5613
36	3600.0	-451.8723	-436.4799	-421.6118	-407.2501	-393.3777	-379.9778	-367.0344	-354.5318	-342.4552	-330.7899
35	3500.0	-510.4965	-493.1071	-476.3101	-460.0852	-444.4130	-429.2747	-414.6520	-400.5274	-386.8840	-373.7053
34	3400.0	-569.9648	-550.5497	-531.7960	-513.6811	-496.1832	-479.2814	-462.9553	-447.1853	-431.9526	-417.2387
33	3300.0	-630.1822	-608.7159	-587.9808	-567.9520	-548.6055	-529.9180	-511.8670	-494.4309	-477.5888	-461.3204
32	3200.0	-691.0523	-667.5125	-644.7746	-622.8112	-601.5960	-581.1034	-561.3089	-542.1886	-523.7197	-505.8799
31	3100.0	-752.4778	-726.8456	-702.0866	-678.1710	-655.0700	-632.7559	-611.2019	-590.3821	-570.2715	-550.8460
30	3000.0	-815.2768	-787.5055	-760.6802	-734.7686	-709.7397	-685.5633	-662.2105	-639.6532	-617.8643	-596.8176
29	2900.0	-880.8905	-850.8841	-821.8999	-793.9029	-766.8597	-740.7376	-715.5054	-691.1327	-667.5901	-644.8496
28	2800.0	-949.7957	-917.4422	-886.1907	-856.0038	-826.8452	-798.6798	-771.4738	-745.1946	-719.8105	-695.2912
27	2700.0	-1021.7956	-986.9895	-953.3690	-920.8938	-889.5248	-859.2243	-829.9559	-801.6846	-774.3763	-747.9982
26	2600.0	-1096.6895	-1059.3322	-1023.2474	-988.3919	-954.7236	-922.2022	-890.7886	-860.4451	-831.1352	-802.8237
25	2500.0	-1174.2729	-1134.2729	-1095.6354	-1058.3140	-1022.2639	-987.4419	-953.8060	-921.3159	-889.9325	-859.6181
24	2400.0	-1254.3387	-1211.6114	-1170.3394	-1130.4734	-1091.9653	-1054.7689	-1018.8396	-984.1342	-950.6110	-918.2297
23	2300.0	-1336.6771	-1291.1450	-1247.1638	-1204.6808	-1163.6450	-1124.0070	-1085.7192	-1048.7356	-1013.0118	-978.5049
22	2200.0	-1421.0761	-1372.6690	-1325.9108	-1280.7455	-1237.1186	-1194.9778	-1154.2724	-1114.9537	-1076.9743	-1040.2886
21	2100.0	-1507.3221	-1455.9772	-1406.3813	-1358.4748	-1312.2001	-1267.5018	-1224.3260	-1182.6210	-1142.3366	-1103.4244
