z	h(m)	phi0.0	phi-0.1	phi-0.2	phi-0.3	phi-0.4	phi-0.5	phi-0.6	phi-0.7	phi-0.8	phi-0.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	-82.5332	-77.0062	-71.8494	-67.0378	-62.5485	-56.5217	-54.5964	-52.7366	-50.9402	-49.2050
43	4300.0	-252.4866	-235.5783	-219.8023	-205.0828	-191.3490	-173.0653	-167.1701	-161.4756	-155.9752	-150.6621
42	4200.0	-426.5881	-398.0208	-371.3665	-346.4972	-323.2934	-292.6384	-282.6700	-273.0412	-263.7405	-254.7565
41	4100.0	-605.1549	-564.6294	-526.8179	-491.5385	-458.6216	-415.4259	-401.2750	-387.6061	-374.4028	-361.6493
40	4000.0	-788.3323	-735.5400	-686.2831	-640.3248	-597.4441	-541.5203	-523.0741	-505.2563	-488.0454	-471.4208
39	3900.0	-975.8075	-910.4606	-849.4897	-792.6020	-739.5238	-670.7124	-647.8654	-625.7968	-604.4798	-583.8890
38	3800.0	-1167.2640	-1089.0958	-1016.1623	-948.1130	-884.6207	-802.7902	-775.4442	-749.0297	-723.5150	-698.8694
37	3700.0	-1362.3819	-1271.1473	-1186.0224	-1106.5980	-1032.4924	-937.5386	-905.6026	-874.7544	-844.9571	-816.1747
36	3600.0	-1560.8384	-1456.3137	-1358.7887	-1267.7947	-1182.8943	-1074.7395	-1038.1300	-1002.7674	-968.6095	-935.6151
35	3500.0	-1762.3070	-1644.2906	-1534.1774	-1431.4381	-1335.5790	-1214.1721	-1172.8129	-1132.8626	-1094.2731	-1056.9982
34	3400.0	-1966.4588	-1834.7710	-1711.9018	-1597.2609	-1490.2971	-1355.6125	-1309.4353	-1264.8312	-1221.7464	-1180.1292
33	3300.0	-2172.9619	-2027.4451	-1891.6732	-1764.9935	-1646.7971	-1498.8343	-1447.7785	-1398.4619	-1350.8251	-1304.8111
32	3200.0	-2381.4815	-2222.0008	-2073.2001	-1934.3641	-1804.8255	-1643.6086	-1587.6213	-1533.5411	-1481.3030	-1430.8444
31	3100.0	-2591.6807	-2418.1236	-2256.1891	-2105.0988	-1964.1267	-1789.7039	-1728.7400	-1669.8528	-1612.9715	-1558.0277
30	3000.0	-2806.3619	-2618.4283	-2443.0800	-2279.4742	-2122.7347	-1939.0659	-1873.0142	-1809.2125	-1747.5841	-1688.0550
29	2900.0	-3030.4116	-2827.4740	-2638.1265	-2461.4591	-2284.2945	-2095.1224	-2023.7549	-1954.8184	-1888.2301	-1823.9100
28	2800.0	-3265.3971	-3046.7232	-2842.6933	-2652.3266	-2453.9591	-2259.0076	-2182.0575	-2107.7286	-2035.9317	-1966.5804
27	2700.0	-3510.6200	-3275.5243	-3056.1722	-2851.5095	-2631.2437	-2430.2533	-2347.4699	-2267.5065	-2190.2669	-2115.6583
26	2600.0	-3765.3710	-3513.2154	-3277.9458	-3058.4316	-2815.6540	-2608.3818	-2519.5307	-2433.7063	-2350.8053	-2270.7282
25	2500.0	-4028.9319	-3759.1264	-3507.3890	-3272.5096	-3006.6869	-2792.9074	-2697.7707	-2605.8748	-2517.1091	-2431.3671
24	2400.0	-4300.5771	-4012.5803	-3743.8698	-3493.1541	-3203.8320	-2983.3371	-2881.7137	-2783.5519	-2688.7339	-2597.1458
23	2300.0	-4579.5750	-4272.8946	-3986.7516	-3719.7708	-3406.5728	-3179.1718	-3070.8775	-2966.2722	-2865.2301	-2767.6298
22	2200.0	-4865.1900	-4539.3827	-4235.3939	-3951.7622	-3614.3875	-3379.9075	-3264.7755	-3153.5652	-3046.1432	-2942.3804
21	2100.0	-5156.6836	-4811.3559	-4489.1538	-4188.5286	-3826.7502	-3585.0364	-3462.9169	-3344.9572	-3231.0157	-3120.9555
20	2000.0	-5452.7669	-5087.6114	-4746.9093	-4429.0230	-4042.7300	-3793.6591	-3664.4331	-3539.6091	-3419.0370	-3302.5721
19	1900.0	-5748.4040	-5363.4506	-5004.2763	-4669.1549	-4258.7167	-4002.2885	-3865.9559	-3734.2672	-3607.0644	-3484.1945
18	1800.0	-6038.7587	-5634.3611	-5257.0448	-4904.9962	-4471.2313	-4207.5641	-4064.2390	-3925.7961	-3792.0691	-3662.8973
17	1700.0	-6322.4344	-5899.0399	-5503.9988	-5135.4125	-4679.2363	-4408.4837	-4258.3145	-4113.2607	-3973.1479	-3837.8079
16	1600.0	-6598.0758	-6156.2224	-5743.9586	-5359.3029	-4881.7185	-4604.0686	-4447.2371	-4295.7479	-4149.4190	-4008.0745
15	1500.0	-6863.4717	-6403.8456	-5974.9992	-5574.8714	-5077.0313	-4792.7283	-4629.4704	-4471.7736	-4319.4486	-4172.3123
14	1400.0	-7115.0684	-6638.5936	-6194.0268	-5779.2314	-5262.5550	-4971.9324	-4802.5701	-4638.9769	-4480.9563	-4328.3185
13	1300.0	-7350.8553	-6858.5905	-6399.2912	-5970.7498	-5436.7890	-5140.2314	-4965.1362	-4796.0055	-4632.6359	-4474.8313
12	1200.0	-7570.8434	-7063.8466	-6590.8020	-6149.4357	-5599.6931	-5297.5864	-5117.1311	-4942.8229	-4774.4522	-4611.8168
11	1100.0	-7775.0487	-7254.3769	-6768.5730	-6315.3019	-5751.2302	-5443.9615	-5258.5202	-5079.3957	-4906.3729	-4739.2438
10	1000.0	-7947.1203	-7414.9255	-6918.3701	-6455.0675	-5879.1639	-5567.5373	-5377.8866	-5194.6960	-5017.7456	-4846.8227
9	900.0	-8067.0517	-7526.8254	-7022.7764	-6552.4821	-5968.4780	-5653.8091	-5461.2196	-5275.1904	-5095.4980	-4921.9267
8	800.0	-8148.6720	-7602.9798	-7093.8310	-6617.1268	-6029.3535	-5712.6110	-5518.0185	-5330.0545	-5148.4933	-4973.1167
7	700.0	-8220.0114	-7669.5419	-7155.9356	-6672.2877	-6082.6355	-5764.0779	-5567.7323	-5378.0749	-5194.8779	-5017.9213
6	600.0	-8291.6336	-7736.3677	-7218.2863	-6727.7401	-6136.1989	-5815.8168	-5617.7087	-5426.3489	-5241.5076	-5062.9626
5	500.0	-8363.5273	-7803.4469	-7280.8734	-6783.4740	-6190.0343	-5867.8184	-5667.9389	-5474.8681	-5288.3740	-5108.2326
