z	h(m)	phi-4.0	phi-4.1	phi-4.2	phi-4.3	phi-4.4	phi-4.5	phi-4.6	phi-4.7	phi-4.8	phi-4.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	1.8281	1.7659	1.7057	1.6476	1.5915	1.5373	1.4849	1.4343	1.3855	1.3383
43	4300.0	5.5401	5.3514	5.1691	4.9930	4.8229	4.6586	4.5000	4.3467	4.1986	4.0556
42	4200.0	9.2734	8.9575	8.6524	8.3577	8.0730	7.7980	7.5323	7.2758	7.0279	6.7885
41	4100.0	13.0267	12.5830	12.1543	11.7403	11.3404	10.9541	10.5810	10.2205	9.8724	9.5361
40	4000.0	16.8002	16.2279	15.6751	15.1412	14.6254	14.1272	13.6460	13.1812	12.7322	12.2985
39	3900.0	20.5940	19.8925	19.2149	18.5603	17.9281	17.3174	16.7275	16.1577	15.6073	15.0757
38	3800.0	24.4081	23.5766	22.7735	21.9978	21.2485	20.5247	19.8255	19.1502	18.4979	17.8678
37	3700.0	28.2425	27.2805	26.3512	25.4536	24.5866	23.7490	22.9401	22.1586	21.4038	20.6747
36	3600.0	32.0974	31.0041	29.9480	28.9278	27.9424	26.9906	26.0712	25.1831	24.3253	23.4967
35	3500.0	35.9728	34.7475	33.5638	32.4205	31.3162	30.2494	29.2190	28.2237	27.2623	26.3337
34	3400.0	39.8688	38.5107	37.1989	35.9317	34.7078	33.5255	32.3835	31.2804	30.2149	29.1856
33	3300.0	43.7853	42.2938	40.8531	39.4615	38.1173	36.8189	35.5647	34.3532	33.1831	32.0527
32	3200.0	47.7225	46.0969	44.5267	43.0099	41.5448	40.1297	38.7627	37.4423	36.1669	34.9349
31	3100.0	51.6804	49.9200	48.2195	46.5770	44.9904	43.4579	41.9775	40.5476	39.1664	37.8323
30	3000.0	55.6580	53.7621	51.9308	50.1618	48.4531	46.8026	45.2084	43.6684	42.1809	40.7441
29	2900.0	59.6560	57.6239	55.6610	53.7650	51.9336	50.1645	48.4557	46.8051	45.2108	43.6707
28	2800.0	63.6759	61.5069	59.4118	57.3880	55.4331	53.5449	51.7209	49.9591	48.2573	46.6135
27	2700.0	67.7180	65.4112	63.1831	61.0308	58.9519	56.9438	55.0041	53.1304	51.3206	49.5725
26	2600.0	71.7821	69.3370	66.9751	64.6937	62.4900	60.3613	58.3052	56.3191	54.4007	52.5476
25	2500.0	75.8685	73.2842	70.7878	68.3765	66.0474	63.7976	61.6244	59.5252	57.4976	55.5390
24	2400.0	79.9772	77.2529	74.6214	72.0795	69.6242	67.2526	64.9617	62.7489	60.6114	58.5468
23	2300.0	84.1083	81.2433	78.4758	75.8026	73.2205	70.7264	68.3172	65.9900	63.7422	61.5709
22	2200.0	88.2618	85.2553	82.3512	79.5460	76.8364	74.2190	71.6909	69.2488	66.8899	64.6114
21	2100.0	92.4379	89.2891	86.2476	83.3097	80.4718	77.7307	75.0829	72.5253	70.0548	67.6685
20	2000.0	96.6362	93.3444	90.1647	87.0934	84.1267	81.2610	78.4930	75.8192	73.2365	70.7418
19	1900.0	100.8582	97.4226	94.1040	90.8985	87.8021	84.8113	81.9223	79.1317	76.4362	73.8325
18	1800.0	105.1057	101.5254	98.0671	94.7265	91.4998	88.3830	85.3723	82.4642	79.6552	76.9419
17	1700.0	109.3789	105.6530	102.0541	98.5778	95.2198	91.9763	88.8432	85.8169	82.8937	80.0700
16	1600.0	113.6779	109.8056	106.0652	102.4522	98.9623	95.5913	92.3351	89.1898	86.1517	83.2171
15	1500.0	118.0025	113.9829	110.1003	106.3498	102.7272	99.2279	95.8478	92.5829	89.4292	86.3829
14	1400.0	122.3538	118.1859	114.1601	110.2714	106.5151	102.8868	99.3821	95.9968	92.7268	89.5682
13	1300.0	126.7328	122.4158	118.2458	114.2180	110.3273	106.5691	102.9390	99.4325	96.0455	92.7738
12	1200.0	131.1397	126.6726	122.3577	118.1897	114.1637	110.2749	106.5185	102.8901	99.3853	95.9999
11	1100.0	135.5748	130.9566	126.4957	122.1868	118.0247	114.0043	110.1209	106.3698	102.7465	99.2465
10	1000.0	140.0368	135.2667	130.6590	126.2083	121.9091	117.7565	113.7452	109.8707	106.1281	102.5130
9	900.0	144.5247	139.6017	134.8463	130.2530	125.8161	121.5303	117.3905	113.3918	109.5292	105.7983
8	800.0	149.0379	143.9611	139.0573	134.3205	129.7450	125.3254	121.0564	116.9328	112.9496	109.1021
7	700.0	153.5758	148.3445	143.2913	138.4103	133.6955	129.1414	124.7423	120.4932	116.3887	112.4241
6	600.0	158.1381	152.7513	147.5481	142.5220	137.6672	132.9778	128.4481	124.0726	119.8463	115.7639
5	500.0	162.7246	157.1816	151.8275	146.6557	141.6600	136.8346	132.1735	127.6712	123.3222	119.1214
4	400.0	167.3359	161.6358	156.1299	150.8115	145.6743	140.7121	135.9189	131.2890	126.8169	122.4970
3	300.0	171.9718	166.1138	160.4554	154.9897	149.7102	144.6105	139.6845	134.9264	130.3303	125.8908
2	200.0	176.6306	170.6139	164.8022	159.1884	153.7659	148.5280	143.4686	138.5816	133.8610	129.3012
1	100.0	181.3116	175.1355	169.1697	163.4072	157.8409	152.4643	147.2708	142.2542	137.4085	132.7279
0	0.0	186.0164	179.6800	173.5595	167.6474	161.9367	156.4205	151.0923	145.9455	140.9741	136.1720
