z	h(m)	phi0.0	phi-0.1	phi-0.2	phi-0.3	phi-0.4	phi-0.5	phi-0.6	phi-0.7	phi-0.8	phi-0.9
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	8.9789	8.3776	7.8166	7.2932	6.8048	6.1491	5.9396	5.7373	5.5419	5.3531
43	4300.0	27.1863	25.3657	23.6670	22.0821	20.6033	18.6346	17.9998	17.3867	16.7944	16.2223
42	4200.0	45.4701	42.4251	39.5840	36.9332	34.4599	31.1919	30.1294	29.1031	28.1117	27.1541
41	4100.0	63.8296	59.5551	55.5669	51.8457	48.3738	43.8164	42.3239	40.8822	39.4896	38.1444
40	4000.0	82.2680	76.7588	71.6185	66.8224	62.3475	56.5089	54.5840	52.7247	50.9287	49.1939
39	3900.0	100.7855	94.0362	87.7389	81.8633	76.3811	69.2696	66.9100	64.6308	62.4293	60.3027
38	3800.0	119.3821	111.3874	103.9281	96.9684	90.4747	82.0986	79.3021	76.6007	73.9914	71.4710
37	3700.0	138.0580	128.8127	120.1865	112.1379	104.6284	94.9962	91.7603	88.6346	85.6154	82.6990
36	3600.0	156.8133	146.3120	136.5139	127.3720	118.8422	107.9625	104.2849	100.7326	97.3012	93.9868
35	3500.0	175.6481	163.8855	152.9105	142.6706	133.1164	120.9977	116.8761	112.8948	109.0492	105.3346
34	3400.0	194.5625	181.5333	169.3765	158.0339	147.4508	134.1020	129.5340	125.1216	120.8595	116.7426
33	3300.0	213.5568	199.2555	185.9120	173.4620	161.8458	147.2756	142.2589	137.4130	132.7322	128.2109
32	3200.0	232.6309	217.0523	202.5169	188.9550	176.3012	160.5187	155.0508	149.7692	144.6675	139.7396
31	3100.0	251.7850	234.9237	219.1916	204.5130	190.8173	173.8314	167.9101	162.1904	156.6656	151.3290
30	3000.0	271.0151	252.8660	235.9323	220.1326	205.0247	187.2105	180.8334	174.6736	168.7236	162.9762
29	2900.0	290.3216	270.8796	252.7396	235.8144	218.9464	200.6580	193.8229	187.2205	180.8431	174.6829
28	2800.0	309.7092	288.9689	269.6175	251.5621	232.9447	214.1795	206.8837	199.8365	193.0294	186.4541
27	2700.0	329.1782	307.1341	286.5663	267.3758	247.0198	227.7752	220.0163	212.5217	205.2825	198.2898
26	2600.0	348.7286	325.3753	303.5859	283.2557	261.1721	241.4454	233.2208	225.2765	217.6027	210.1904
25	2500.0	368.3608	343.6927	320.6767	299.2019	275.4017	255.1903	246.4976	238.1010	229.9904	222.1560
24	2400.0	388.0747	362.0865	337.8386	315.2146	289.7090	269.0102	259.8468	250.9954	242.4456	234.1870
23	2300.0	407.8707	380.5568	355.0720	331.2939	304.0943	282.9054	273.2686	263.9601	254.9687	246.2835
22	2200.0	427.7488	399.1037	372.3770	347.4400	318.5577	296.8762	286.7635	276.9953	267.5598	258.4457
21	2100.0	447.7093	417.7275	389.7536	363.6529	333.0996	310.9227	300.3315	290.1012	280.2192	270.6739
20	2000.0	467.7507	436.4268	407.2006	379.9316	347.7189	325.0441	313.9719	303.2768	292.9461	282.9673
19	1900.0	487.8742	455.2027	424.7191	396.2770	362.4207	339.2451	327.6891	316.5268	305.7448	295.3300
18	1800.0	508.0824	474.0577	442.3114	412.6912	377.2114	353.5319	341.4894	329.8570	318.6208	307.7674
17	1700.0	528.3758	492.9921	459.9779	429.1745	392.0915	367.9052	355.3730	343.2677	331.5747	320.2801
16	1600.0	548.7546	512.0062	477.7187	445.7273	407.0615	382.3652	369.3405	356.7594	344.6068	332.8683
15	1500.0	569.2177	531.0989	495.5328	462.3484	422.1209	396.9116	383.3914	370.3316	357.7168	345.5316
14	1400.0	589.7658	550.2709	513.4209	479.0387	437.2727	411.5474	397.5285	383.9873	370.9072	358.2728
13	1300.0	610.4013	569.5245	531.3852	495.7999	452.5213	426.2765	411.7559	397.7300	384.1819	371.0952
12	1200.0	631.1245	588.8600	549.4258	512.6324	467.8671	441.0996	426.0741	411.5605	397.5412	383.9995
11	1100.0	651.9360	608.2778	567.5432	529.5366	483.3109	456.0173	440.4837	425.4792	410.9858	396.9861
10	1000.0	672.8344	627.7767	585.7364	546.5114	498.8487	471.0259	454.9810	439.4827	424.5123	410.0518
9	900.0	693.8194	647.3564	604.0049	563.5565	514.4764	486.1212	469.5622	453.5671	438.1170	423.1931
8	800.0	714.8907	667.0166	622.3485	580.2453	530.1922	501.3017	484.2255	467.7310	451.7984	436.4085
7	700.0	736.0481	686.7572	640.7671	596.6046	545.9943	516.5655	498.9693	481.9726	465.5549	449.6964
6	600.0	757.2911	706.5776	659.2602	613.0517	561.8811	531.9111	513.7922	496.2906	479.3851	463.0555
5	500.0	778.6196	726.4778	677.8278	629.5861	577.8523	547.3383	528.6939	510.6847	493.2889	476.4856
4	400.0	800.0352	746.4593	696.4711	646.2095	593.9095	562.8485	543.6758	525.1562	507.2674	489.9881
3	300.0	821.5381	766.5221	715.1904	662.9223	610.0529	578.4420	558.7381	539.7055	521.3211	503.5630
2	200.0	843.1225	786.6611	733.9807	679.7171	626.2757	594.1122	573.8745	554.3263	535.4439	517.2047
1	100.0	864.7881	806.8758	752.8418	696.5922	642.5759	609.8571	589.0832	569.0168	549.6340	530.9115
0	0.0	886.5407	827.1717	771.7785	713.5530	658.9590	625.6822	604.3692	583.7821	563.8964	544.6880
