i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	900.4331	-1308.9447	678863.4331	3530854.0553	557158.2226	3.5745e+07
1	1047.4015	-1550.0566	679010.4015	3530612.9434	611452.4619	3.4777e+07
2	1205.4694	-1813.7068	679168.4694	3530349.2932	680076.6745	3.3837e+07
3	1375.7686	-2092.8230	679338.7686	3530070.1770	752445.8346	3.2922e+07
4	1563.0615	-2380.2251	679526.0615	3529782.7749	827744.2331	3.2033e+07
5	1769.2390	-2672.4329	679732.2390	3529490.5671	908451.6706	3.1168e+07
6	1992.5623	-2966.8235	679955.5623	3529196.1765	996337.7902	3.0328e+07
7	2231.9269	-3261.3632	680194.9269	3528901.6368	1092433.7994	2.9511e+07
8	2484.1455	-3552.4867	680447.1455	3528610.5133	1196942.9058	2.8716e+07
9	2745.8284	-3837.1438	680708.8284	3528325.8562	1309056.6168	2.7944e+07
10	3014.6374	-4113.6398	680977.6374	3528049.3602	1428496.1247	2.7193e+07
11	3290.6727	-4381.1396	681253.6727	3527781.8604	1555288.3208	2.6462e+07
12	3574.1079	-4638.9968	681537.1079	3527524.0032	1689354.5593	2.5752e+07
13	3862.1435	-4888.0768	681825.1435	3527274.9232	1830567.1482	2.5062e+07
14	4153.9743	-5128.5404	682116.9743	3527034.4596	1978712.6176	2.4390e+07
15	4450.5728	-5359.5380	682413.5728	3526803.4620	2133506.9922	2.3737e+07
16	4751.9194	-5580.5567	682714.9194	3526582.4433	2294636.9871	2.3102e+07
17	5054.9100	-5793.2719	683017.9100	3526369.7281	2461793.6081	2.2484e+07
18	5360.0263	-5997.2157	683323.0263	3526165.7843	2634601.4265	2.1884e+07
19	5668.9508	-6190.7061	683631.9508	3525972.2939	2812649.4049	2.1300e+07
20	5977.5336	-6376.6599	683940.5336	3525786.3401	2995580.7056	2.0732e+07
21	6287.7293	-6553.3726	684250.7293	3525609.6274	3182952.9474	2.0179e+07
22	6598.8547	-6721.8852	684561.8547	3525441.1148	3374348.1369	1.9642e+07
23	6907.9661	-6884.4336	684870.9661	3525278.5664	3566213.0724	1.9119e+07
24	7218.9689	-7041.0616	685181.9689	3525121.9384	3763779.6401	1.8611e+07
25	7526.3323	-7194.1547	685489.3323	3524968.8453	3963640.2190	1.8116e+07
