z	h(m)	phi-4.0	phi-3.0	phi-2.0	phi-1.0	phi0.0	phi1.0	phi2.0	phi3.0	phi4.0	phi5.0
45	4449.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	4400.0	57.2090	80.9057	114.4179	161.8114	280.9831	561.9662	1123.9324	2469.4643	9877.8574	39511.4295
43	4300.0	171.0543	241.9072	342.1085	483.8145	839.4003	1678.8006	3357.6012	7364.2746	29457.0985	117828.3942
42	4200.0	282.5089	399.5279	565.0178	799.0559	1385.2463	2770.4926	5540.9852	12134.1160	48536.4641	194145.8566
41	4100.0	391.6975	553.9439	783.3950	1107.8878	1919.3502	3838.7005	7677.4010	16790.1175	67160.4699	268641.8795
40	4000.0	498.7268	705.3062	997.4536	1410.6124	2442.3260	4884.6520	9769.3041	21339.2615	85357.0460	341428.1840
39	3900.0	603.5692	853.5758	1207.1385	1707.1516	2954.0639	5908.1277	11816.2555	25781.0557	103124.2227	412496.8910
38	3800.0	706.1987	998.7158	1412.3974	1997.4316	3454.4609	6908.9218	13817.8436	30115.0708	120460.2831	481841.1322
37	3700.0	806.5903	1140.6910	1613.1807	2281.3820	3943.4213	7886.8426	15773.6853	34340.9409	137363.7637	549455.0548
36	3600.0	904.7208	1279.4684	1809.4416	2558.9368	4420.8563	8841.7127	17683.4253	38458.3641	153833.4564	615333.8258
35	3500.0	1000.5681	1415.0169	2001.1362	2830.0339	4886.6844	9773.3689	19546.7377	42467.1023	169868.4091	679473.6362
34	3400.0	1094.1117	1547.3076	2188.2234	3094.6152	5340.8314	10681.6628	21363.3256	46366.9816	185467.9263	741871.7051
33	3300.0	1185.3326	1676.3135	2370.6652	3352.6269	5783.2303	11566.4607	23132.9214	50157.8926	200631.5705	802526.2821
32	3200.0	1274.2133	1802.0098	2548.4267	3604.0195	6213.8219	12427.6438	24855.2876	53839.7907	215359.1628	861436.6511
31	3100.0	1360.7378	1924.3739	2721.4757	3848.7478	6632.5543	13265.1085	26530.2171	57412.6958	229650.7831	918603.1324
30	3000.0	1444.8116	2043.2722	2889.6233	4086.5444	7039.0135	14078.0271	28156.0541	60873.8422	243495.3688	973981.4754
29	2900.0	1526.3085	2158.5262	3052.6171	4317.0524	7432.5690	14865.1380	29730.2759	64217.5313	256870.1254	1027480.5016
28	2800.0	1605.1492	2270.0237	3210.2984	4540.0475	7812.8058	15625.6116	31251.2232	67439.7284	269758.9137	1079035.6547
27	2700.0	1681.2597	2377.6603	3362.5194	4755.3205	8179.4025	16358.8050	32717.6100	70538.3351	282153.3403	1128613.3611
