s	phi0.0	phi-0.1	phi-0.2	phi-0.3	phi-0.4	phi-0.5	phi-0.6	phi-0.7	phi-0.8	phi-0.9
0	4782401.9643	4588283.2167	4358008.5076	4097868.1773	3814680.4906	3629636.2797	3200320.9608	2793655.2700	2414352.3760	2065745.2599
1	4682910.2488	4486055.7508	4254026.3929	3993165.7505	3710314.6574	3519859.0176	3100168.7894	2703196.8521	2333465.5716	1994139.8480
2	4585488.3303	4386105.9244	4152525.2922	3891138.5190	3608804.1687	3413401.9360	3003150.8216	2615667.4732	2255288.6761	1925016.5112
3	4490093.1494	4288382.9914	4053446.0085	3791718.1306	3510070.9052	3310164.6168	2909168.9743	2530972.2912	2179730.9010	1858289.2128
4	4396682.5424	4192837.3362	3956730.7572	3694837.9790	3414038.8848	3210049.6795	2818128.2339	2449019.5349	2106704.4990	1793874.8984
5	4305215.2228	4099420.4491	3862323.1325	3600433.1601	3320634.2042	3112962.6884	2729936.5602	2369720.4048	2036124.6630	1731693.3925
6	4215650.7630	4008084.9006	3770168.0744	3508440.4279	3229784.9820	3018812.0644	2644504.7933	2292988.9766	1967909.4269	1671667.2987
7	4127949.5765	3918784.3185	3680211.8367	3418798.1526	3141421.3034	2927508.9977	2561746.5636	2218742.1082	1901979.5707	1613721.9034
8	4042072.9003	3831473.3634	3592401.9555	3331446.2789	3055475.1664	2838967.3649	2481578.2042	2146899.3496	1838258.5285	1557785.0830
9	3957982.7778	3746107.7061	3506687.2187	3246326.2860	2971880.4296	2753103.6473	2403918.6668	2077382.8560	1776672.2997	1503787.2136
10	3875642.0420	3662644.0053	3423017.6361	3163381.1482	2890572.7609	2669836.8522	2328689.4390	2010117.3030	1717149.3625	1451661.0851
11	3795014.2992	3581039.8852	3341344.4104	3082555.2971	2811489.5886	2589088.4363	2255814.4660	1945029.8052	1659620.5916	1401341.8168
12	3716063.9128	3501253.9140	3261619.9084	3003794.5838	2734570.0525	2510782.2320	2185220.0725	1882049.8374	1604019.1775	1352766.7770
13	3638755.9875	3423245.5832	3183797.6336	2927046.2432	2659754.9579	2434844.3755	2116834.8893	1821109.1577	1550280.5490	1305875.5053
14	3563056.3541	3346975.2868	3107832.1989	2852258.8582	2586986.7291	2361203.2366	2050589.7804	1762141.7343	1498342.2981	1260609.6367
15	3488931.5540	3272404.3012	3033679.3000	2779382.3254	2516209.3662	2289789.3520	1986417.7734	1705083.6730	1448144.1076	1216912.8295
16	3416348.8250	3199494.7655	2961295.6898	2708367.8218	2447368.4010	2220535.3589	1924253.9918	1649873.1489	1399627.6813	1174730.6949
17	3345276.0863	3128209.6624	2890639.1531	2639167.7716	2380410.8555	2153375.9321	1864035.5893	1596450.3388	1352736.6758	1134010.7296
