s	phi3.0	phi2.9	phi2.8	phi2.7	phi2.6	phi2.5	phi2.4	phi2.3	phi2.2	phi2.1
0	142260.6630	197573.9309	271656.4640	330324.9133	415413.9253	517218.6925	637559.2551	778072.0244	940094.8043	1124542.2875
1	141921.0674	197032.2598	270801.1148	329257.9340	413975.9605	515300.0660	635024.8159	774757.4933	935803.2910	1119041.2279
2	141582.2826	196492.0738	269948.4588	328194.4013	412542.9731	513388.5567	632500.4515	771457.0819	931531.3683	1113567.0785
3	141244.3064	195953.3688	269098.4875	327134.3038	411114.9461	511484.1381	629986.1221	768170.7300	927278.9469	1108119.7077
4	140907.1371	195416.1406	268251.1925	326077.6306	409691.8622	509586.7840	627481.7877	764898.3777	923045.9377	1102698.9844
5	140570.7726	194880.3854	267406.5653	325024.3705	408273.7044	507696.4682	624987.4086	761639.9653	918832.2521	1097304.7783
6	140235.2110	194346.0990	266564.5975	323974.5125	406860.4555	505813.1645	622502.9452	758395.4336	914637.8019	1091936.9598
7	139900.4505	193813.2773	265725.2808	322928.0456	405452.0987	503936.8469	620028.3581	755164.7234	910462.4992	1086595.3996
8	139566.4891	193281.9165	264888.6068	321884.9590	404048.6169	502067.4895	617563.6080	751947.7757	906306.2568	1081279.9694
9	139233.3250	192752.0125	264054.5671	320845.2416	402649.9933	500205.0665	615108.6559	748744.5321	902168.9875	1075990.5413
10	138900.9561	192223.5612	263223.1536	319808.8826	401256.2110	498349.5522	612663.4627	745554.9340	898050.6047	1070726.9881
11	138569.3806	191696.5588	262394.3579	318775.8711	399867.2534	496500.9210	610227.9897	742378.9233	893951.0223	1065489.1834
12	138238.5967	191171.0012	261568.1718	317746.1963	398483.1037	494659.1472	607802.1983	739216.4423	889870.1544	1060277.0010
13	137908.6024	190646.8845	260744.5870	316719.8475	397103.7452	492824.2055	605386.0499	736067.4332	885807.9155	1055090.3157
14	137579.3958	190124.2046	259923.5954	315696.8139	395729.1614	490996.0706	602979.5063	732931.8386	881764.2207	1049929.0027
15	137250.9751	189602.9578	259105.1889	314677.0847	394359.3358	489174.7171	600582.5291	729809.6015	877738.9853	1044792.9379
16	136923.3383	189083.1401	258289.3592	313660.6494	392994.2519	487360.1200	598195.0806	726700.6648	873732.1250	1039681.9979
17	136596.4837	188564.7474	257476.0982	312647.4973	391633.8932	485552.2541	595817.1226	723604.9720	869743.5560	1034596.0596
18	136270.4093	188047.7761	256665.3979	311637.6177	390278.2434	483751.0945	593448.6175	720522.4667	865773.1946	1029535.0009
19	135945.1134	187532.2220	255857.2503	310631.0002	388927.2863	481956.6163	591089.5278	717453.0926	861820.9579	1024498.6999
20	135620.5939	187018.0814	255051.6472	309627.6341	387581.0055	480168.7948	588739.8160	714396.7938	857886.7631	1019487.0356
21	135296.8491	186505.3504	254248.5806	308627.5089	386239.3849	478387.6052	586399.4448	711353.5146	853970.5278	1014499.8875
22	134973.8771	185994.0250	253448.0426	307630.6143	384902.4084	476613.0229	584068.3771	708323.1995	850072.1700	1009537.1357
23	134651.6761	185484.1016	252650.0253	306636.9397	383570.0598	474845.0235	581746.5759	705305.7934	846191.6081	1004598.6607
24	134330.2443	184975.5761	251854.5206	305646.4748	382242.3232	473083.5824	579434.0044	702301.2413	842328.7609	999684.3438
25	134009.5797	184468.4448	251061.5206	304659.2092	380919.1826	471328.6755	577130.6259	699309.4883	838483.5476	994794.0669
26	133689.6807	183962.7039	250271.0176	303675.1325	379600.6220	469580.2783	574836.4038	696330.4799	834655.8875	989927.7124
27	133370.5452	183458.3495	249483.0035	302694.2345	378286.6257	467838.3669	572551.3018	693364.1619	830845.7007	985085.1632
28	133052.1716	182955.3779	248697.4706	301716.5048	376977.1778	466102.9171	570275.2835	690410.4803	827052.9073	980266.3029
29	132734.5580	182453.7852	247914.4111	300741.9334	375672.2626	464373.9050	568008.3129	687469.3811	823277.4279	975471.0156
30	132417.7026	181953.5677	247133.8172	299770.5098	374371.8644	462651.3066	565750.3541	684540.8107	819519.1834	970699.1860
31	132101.6035	181454.7216	246355.6811	298802.2241	373075.9676	460935.0983	563501.3711	681624.7159	815778.0953	965950.6993
32	131786.2590	180957.2432	245579.9950	297837.0660	371784.5565	459225.2562	561261.3283	678721.0434	812054.0852	961225.4414
33	131471.6673	180461.1286	244806.7513	296875.0255	370497.6157	457521.7568	559030.1902	675829.7404	808347.0751	956523.2986
34	131157.8266	179966.3742	244035.9423	295916.0924	369215.1296	455824.5765	556807.9213	672950.7541	804656.9875	951844.1578
35	130844.7350	179472.9762	243267.5602	294960.2568	367937.0829	454133.6920	554594.4865	670084.0321	800983.7450	947187.9065
36	130532.3909	178980.9309	242501.5976	294007.5086	366663.4602	452449.0798	552389.8506	667229.5221	797327.2707	942554.4328
37	130220.7923	178490.2346	241738.0467	293057.8379	365394.2462	450770.7166	550193.9785	664387.1721	793687.4883	937943.6252
38	129909.9376	178000.8837	240976.8999	292111.2347	364129.4256	449098.5794	548006.8356	661556.9303	790064.3213	933355.3729
39	129599.8249	177512.8743	240218.1497	291167.6891	362868.9832	447432.6450	545828.3870	658738.7451	786457.6940	928789.5655
40	129290.4525	177026.2028	239461.7885	290227.1913	361612.9038	445772.8904	543658.5983	655932.5653	782867.5309	924246.0932
41	128981.8186	176540.8657	238707.8089	289289.7313	360361.1724	444119.2926	541497.4349	653138.3395	779293.7569	919724.8467
42	128673.9215	176056.8591	237956.2032	288355.2994	359113.7739	442471.8289	539344.8626	650356.0170	775736.2970	915225.7174
43	128366.7593	175574.1795	237206.9641	287423.8859	357870.6933	440830.4764	537200.8473	647585.5469	772195.0768	910748.5970
44	128060.3304	175092.8232	236460.0841	286495.4808	356631.9156	439195.2126	535065.3550	644826.8788	768670.0223	906293.3778
45	127754.6330	174612.7866	235715.5558	285570.0746	355397.4260	437566.0148	532938.3516	642079.9625	765161.0596	901859.9528
46	127449.6654	174134.0660	234973.3717	284647.6576	354167.2096	435942.8605	530819.8036	639344.7478	761668.1152	897448.2154
47	127145.4257	173656.6580	234233.5244	283728.2200	352941.2517	434325.7273	528709.6773	636621.1850	758191.1160	893058.0593
48	126841.9123	173180.5588	233496.0067	282811.7523	351719.5374	432714.5929	526607.9392	633909.2243	754729.9892	888689.3791
49	126539.1234	172705.7649	232760.8112	281898.2449	350502.0521	431109.4350	524514.5560	631208.8164	751284.6624	884342.0697
50	126237.0573	172232.2727	232027.9305	280987.6882	349288.7811	429510.2314	522429.4945	628519.9121	747855.0635	880016.0266
51	125935.7123	171760.0786	231297.3574	280080.0727	348079.7100	427916.9601	520352.7215	625842.4623	744441.1206	875711.1457
52	125635.0866	171289.1791	230569.0847	279175.3888	346874.8240	426329.5991	518284.2042	623176.4182	741042.7623	871427.3235
53	125335.1786	170819.5706	229843.1050	278273.6272	345674.1088	424748.1264	516223.9096	620521.7313	737659.9174	867164.4570
54	125035.9865	170351.2496	229119.4111	277374.7783	344477.5499	423172.5201	514171.8052	617878.3531	734292.5152	862922.4437
55	124737.5086	169884.2125	228397.9959	276478.8328	343285.1329	421602.7586	512127.8584	615246.2356	730940.4851	858701.1816
56	124439.7432	169418.4559	227678.8522	275585.7813	342096.8435	420038.8201	510092.0367	612625.3307	727603.7569	854500.5691
57	124142.6886	168953.9762	226961.9728	274695.6144	340912.6674	418480.6831	508064.3079	610015.5906	724282.2608	850320.5052
58	123846.3432	168490.7700	226247.3506	273808.3228	339732.5903	416928.3260	506044.6397	607416.9679	720975.9273	846160.8895
59	123550.7051	168028.8336	225534.9785	272923.8973	338556.5981	415381.7273	504033.0002	604829.4151	717684.6871	842021.6219
60	123255.7728	167568.1638	224824.8494	272042.3285	337384.6766	413840.8658	502029.3573	602252.8851	714408.4713	837902.6028
61	122961.5445	167108.7569	224116.9562	271163.6073	336216.8118	412305.7201	500033.6794	599687.3310	711147.2114	833803.7333
62	122668.0186	166650.6095	223411.2920	270287.7245	335052.9895	410776.2691	498045.9348	597132.7059	707900.8391	829724.9146
63	122375.1934	166193.7181	222707.8496	269414.6708	333893.1959	409252.4916	496066.0919	594588.9633	704669.2865	825666.0489
64	122083.0671	165738.0794	222006.6221	268544.4371	332737.4169	407734.3665	494094.1193	592056.0569	701452.4858	821627.0383
65	121791.6383	165283.6899	221307.6026	267677.0144	331585.6386	406221.8729	492129.9857	589533.9405	698250.3697	817607.7859
66	121500.9051	164830.5462	220610.7840	266812.3936	330437.8473	404714.9899	490173.6600	587022.5681	695062.8712	813608.1950
67	121210.8659	164378.6447	219916.1594	265950.5655	329294.0291	403213.6968	488225.1111	584521.8940	691889.9236	809628.1693
68	120921.5191	163927.9823	219223.7219	265091.5212	328154.1702	401717.9727	486284.3081	582031.8726	688731.4604	805667.6132
69	120632.8630	163478.5553	218533.4647	264235.2518	327018.2569	400227.7969	484351.2203	579552.4585	685587.4155	801726.4314
70	120344.8959	163030.3605	217845.3809	263381.7481	325886.2757	398743.1490	482425.8169	577083.6065	682457.7232	797804.5292
71	120057.6163	162583.3945	217159.4636	262531.0013	324758.2128	397264.0084	480508.0674	574625.2717	679342.3178	793901.8123
72	119771.0225	162137.6539	216475.7060	261683.0026	323634.0548	395790.3547	478597.9414	572177.4092	676241.1342	790018.1867
73	119485.1128	161693.1354	215794.1013	260837.7429	322513.7880	394322.1676	476695.4085	569739.9744	673154.1074	786153.5591
74	119199.8856	161249.8355	215114.6428	259995.2135	321397.3991	392859.4266	474800.4387	567312.9229	670081.1728	782307.8366
75	118915.3392	160807.7510	214437.3236	259155.4056	320284.8746	391402.1118	472913.0017	564896.2105	667022.2661	778480.9267
76	118631.4722	160366.8785	213762.1370	258318.3103	319176.2011	389950.2028	471033.0678	562489.7931	663977.3233	774672.7373
77	118348.2827	159927.2148	213089.0764	257483.9189	318071.3653	388503.6797	469160.6070	560093.6268	660946.2806	770883.1770
78	118065.7693	159488.7564	212418.1350	256652.2227	316970.3540	387062.5225	467295.5897	557707.6681	657929.0745	767112.1544
79	117783.9302	159051.5001	211749.3062	255823.2129	315873.1538	385626.7113	465437.9862	555331.8734	654925.6419	763359.5791
80	117502.7640	158615.4426	211082.5832	254996.8809	314779.7516	384196.2262	463587.7671	552966.1994	651935.9199	759625.3606
81	117222.2689	158180.5806	210417.9596	254173.2180	313690.1342	382771.0475	461744.9030	550610.6029	648959.8459	755909.4093
82	116942.4434	157746.9108	209755.4285	253352.2156	312604.2885	381351.1556	459909.3647	548265.0412	645997.3576	752211.6358
83	116663.2859	157314.4299	209094.9836	252533.8651	311522.2016	379936.5307	458081.1231	545929.4714	643048.3930	748531.9511
84	116384.7948	156883.1348	208436.6182	251718.1580	310443.8603	378527.1534	456260.1492	543603.8509	640112.8904	744870.2668
85	116106.9685	156453.0221	207780.3257	250905.0857	309369.2517	377123.0042	454446.4140	541288.1375	637190.7883	741226.4948
86	115829.8054	156024.0886	207126.0997	250094.6397	308298.3629	375724.0637	452639.8889	538982.2888	634282.0256	737600.5474
87	115553.3039	155596.3311	206473.9336	249286.8115	307231.1810	374330.3126	450840.5450	536686.2628	631386.5413	733992.3375
88	115277.4624	155169.7463	205823.8209	248481.5926	306167.6932	372941.7316	449048.3540	534400.0178	628504.2748	730401.7784
