i	x	y	z	R
0	0.0167	-0.0270	1309.9999	27.4280
1	0.0594	-0.0963	1319.9996	35.6240
2	0.1344	-0.2184	1329.9986	44.0494
3	0.2478	-0.4033	1339.9962	52.7056
4	0.4054	-0.6607	1349.9917	61.5813
5	0.6125	-0.9996	1359.9838	70.6546
6	0.8740	-1.4284	1369.9712	79.8950
7	1.1943	-1.9548	1379.9522	89.2656
8	1.5773	-2.5853	1389.9249	98.7245
9	2.0261	-3.3256	1399.8874	108.2271
10	2.5430	-4.1801	1409.8374	117.7278
11	3.1298	-5.1519	1419.7727	127.1819
12	3.7872	-6.2429	1429.6913	136.5473
13	4.5153	-7.4537	1439.5910	145.7867
14	5.3137	-8.7838	1449.4699	154.8681
15	6.1810	-10.2318	1459.3264	163.7662
16	7.1156	-11.7952	1469.1592	172.4627
17	8.1153	-13.4708	1478.9670	180.9459
18	9.1777	-15.2550	1488.7490	189.2103
19	10.3001	-17.1436	1498.5047	197.2560
20	11.4798	-19.1325	1508.2336	205.0877
21	12.7138	-21.2172	1517.9357	212.7136
22	13.9994	-23.3933	1527.6111	220.1446
23	15.3339	-25.6565	1537.2597	227.3386
24	16.7199	-27.9999	1546.8820	234.4235
25	18.1609	-30.4160	1556.4781	241.3579
26	19.6553	-32.9009	1566.0485	248.1560
27	21.2015	-35.4508	1575.5935	254.8311
28	22.7980	-38.0622	1585.1136	261.3963
29	24.4436	-40.7320	1594.6091	267.8639
30	26.1368	-43.4570	1604.0804	274.2456
31	27.8767	-46.2346	1613.5281	280.5519
32	29.6622	-49.0623	1622.9523	286.7928
33	31.4923	-51.9376	1632.3536	292.9772
34	33.3661	-54.8585	1641.7321	299.1133
35	35.2829	-57.8230	1651.0883	305.2086
36	37.2420	-60.8293	1660.4223	311.2697
37	39.2428	-63.8758	1669.7344	317.3028
38	41.2846	-66.9608	1679.0249	323.3134
39	43.3671	-70.0832	1688.2939	329.3062
40	45.4897	-73.2414	1697.5416	335.2857
41	47.6521	-76.4345	1706.7681	341.2558
42	49.8539	-79.6612	1715.9736	347.2201
43	52.0947	-82.9205	1725.1581	353.1816
44	54.3744	-86.2115	1734.3218	359.1433
45	56.6927	-89.5333	1743.4646	365.1075
46	59.0493	-92.8850	1752.5867	371.0764
47	61.4441	-96.2660	1761.6880	377.0522
48	63.8768	-99.6755	1770.7686	383.0363
49	66.3475	-103.1128	1779.8284	389.0305
