i	x	y	z	R
0	0.0167	-0.0270	1309.9999	27.4280
1	2.5430	-4.1801	1409.8374	117.7278
2	11.4798	-19.1325	1508.2336	205.0877
3	26.1368	-43.4570	1604.0804	274.2456
4	45.4897	-73.2414	1697.5416	335.2857
5	68.8559	-106.5772	1788.8676	395.0360
6	95.9982	-142.5960	1878.1085	455.9085
7	126.8613	-180.8064	1965.2037	518.5155
8	161.4264	-220.8496	2050.0567	582.4936
9	199.4934	-262.3231	2132.6971	646.7927
10	240.8120	-304.7647	2213.2594	711.0843
11	285.1973	-347.8151	2291.8440	775.3650
12	332.4982	-391.1924	2368.5256	839.5737
13	382.5834	-434.6662	2443.3629	903.6250
14	435.3336	-478.0435	2516.4040	967.4254
15	490.6379	-521.1596	2587.6898	1030.8814
16	548.3907	-563.8725	2657.2562	1093.9037
17	608.4905	-606.0589	2725.1357	1156.4088
18	670.8394	-647.6114	2791.3576	1218.3200
19	735.3423	-688.4366	2855.9491	1279.5671
20	801.9068	-728.4529	2918.9352	1340.0862
21	870.4433	-767.5899	2980.3393	1399.8190
22	940.8645	-805.7868	3040.1832	1458.7126
23	1012.9958	-843.1685	3098.4868	1515.6793
24	1086.4211	-880.3741	3155.2684	1572.6080
25	1161.0505	-917.4426	3210.5502	1628.4336
26	1236.8301	-954.3493	3264.3561	1683.1194
27	1313.7072	-991.0724	3316.7112	1736.6378
28	1391.6311	-1027.5922	3367.6417	1788.9687
29	1470.5530	-1063.8916	3417.1739	1840.0982
30	1550.4261	-1099.9558	3465.3345	1890.0178
31	1631.2056	-1135.7717	3512.1498	1938.7229
32	1712.8488	-1171.3286	3557.6458	1986.2127
33	1795.3151	-1206.6173	3601.8478	2032.4890
34	1878.5657	-1241.6305	3644.7808	2077.5556
35	1962.5636	-1276.3622	3686.4686	2121.4185
36	2047.2739	-1310.8080	3726.9344	2164.0844
37	2132.6634	-1344.9647	3766.2003	2205.6016
38	2218.7022	-1378.8311	3804.2822	2246.1434
39	2305.3627	-1412.4073	3841.1933	2285.7154
40	2392.6180	-1445.6943	3876.9473	2324.3048
41	2480.4418	-1478.6935	3911.5581	2361.9018
42	2568.8084	-1511.4072	3945.0398	2398.4989
43	2657.6931	-1543.8383	3977.4065	2434.0903
44	2747.0719	-1575.9900	4008.6725	2468.6722
45	2836.9217	-1607.8665	4038.8519	2502.2422
46	2927.2199	-1639.4723	4067.9584	2534.7988
47	3017.9450	-1670.8122	4096.0058	2566.3418
48	3109.0760	-1701.8918	4123.0073	2596.8718
49	3200.5929	-1732.7169	4148.9760	2626.3900
50	3292.4762	-1763.2937	4173.9245	2654.8983
51	3384.7070	-1793.6288	4197.8652	2682.3990
52	3477.2674	-1823.7289	4220.8100	2708.8946
53	3570.1395	-1853.6027	4242.7697	2732.7440
54	3663.3054	-1883.2753	4263.7354	2757.3323
55	3756.7548	-1912.7616	4283.6770	2780.9732
56	3850.4779	-1942.0712	4302.5669	2803.6071
57	3944.4634	-1971.2140	4320.3806	2825.1801
58	4038.6987	-2000.1996	4337.0967	2845.6427
59	4133.1702	-2029.0381	4352.6967	2864.9505
60	4227.8634	-2057.7395	4367.1647	2883.0634
61	4322.7629	-2086.3138	4380.4869	2899.9457
62	4417.8527	-2114.7714	4392.6520	2915.5656
63	4513.1161	-2143.1225	4403.6507	2929.8956
64	4608.5363	-2171.3776	4413.4753	2942.9117
65	4704.0958	-2199.5473	4422.1203	2954.5936
66	4799.7769	-2227.6423	4429.5815	2964.9244
67	4895.5620	-2255.6732	4435.8566	2973.8906
68	4991.4330	-2283.6509	4440.9446	2981.4821
69	5087.3719	-2311.5862	4444.8460	2987.6917
70	5183.3608	-2339.4902	4447.5626	2992.5155
71	5279.3819	-2367.3736	4449.0976	2995.9525
72	5375.4173	-2395.2474	4449.4779	2997.8611
73	5471.4544	-2423.1202	4449.4779	2997.8611
