massloading_cpu(kg/sq-m)	massloading_gpu(kg/sq-m)	log10(cpu/gpu)
3.5019000000e-09	3.5019000000e-09	0.0000000000e+00
3.6737000000e-09	3.6737000000e-09	0.0000000000e+00
3.8236000000e-09	3.8236000000e-09	0.0000000000e+00
3.9565000000e-09	3.9565000000e-09	0.0000000000e+00
4.0703000000e-09	4.0703000000e-09	0.0000000000e+00
4.1655000000e-09	4.1655000000e-09	0.0000000000e+00
4.2347000000e-09	4.2347000000e-09	0.0000000000e+00
4.2786000000e-09	4.2786000000e-09	0.0000000000e+00
4.2926000000e-09	4.2926000000e-09	0.0000000000e+00
4.2751000000e-09	4.2751000000e-09	0.0000000000e+00
4.2218000000e-09	4.2218000000e-09	0.0000000000e+00
4.1321000000e-09	4.1321000000e-09	0.0000000000e+00
4.0120000000e-09	4.0120000000e-09	0.0000000000e+00
3.8650000000e-09	3.8650000000e-09	0.0000000000e+00
3.7009000000e-09	3.7009000000e-09	0.0000000000e+00
3.5297000000e-09	3.5297000000e-09	0.0000000000e+00
3.3607000000e-09	3.3607000000e-09	0.0000000000e+00
3.2085000000e-09	3.2085000000e-09	0.0000000000e+00
3.1136000000e-09	3.1136000000e-09	0.0000000000e+00
3.0804000000e-09	3.0804000000e-09	0.0000000000e+00
3.0577000000e-09	3.0577000000e-09	0.0000000000e+00
3.0404000000e-09	3.0404000000e-09	0.0000000000e+00
3.0227000000e-09	3.0227000000e-09	0.0000000000e+00
2.9964000000e-09	2.9964000000e-09	0.0000000000e+00
2.9612000000e-09	2.9612000000e-09	0.0000000000e+00
2.9083000000e-09	2.9083000000e-09	0.0000000000e+00
2.8394000000e-09	2.8394000000e-09	0.0000000000e+00
2.7522000000e-09	2.7522000000e-09	0.0000000000e+00
2.6466000000e-09	2.6466000000e-09	0.0000000000e+00
2.5187000000e-09	2.5187000000e-09	0.0000000000e+00
2.4135000000e-09	2.4134000000e-09	1.7994757793e-05
2.3123000000e-09	2.3123000000e-09	0.0000000000e+00
2.1927000000e-09	2.1927000000e-09	0.0000000000e+00
2.0536000000e-09	2.0536000000e-09	0.0000000000e+00
1.8978000000e-09	1.8978000000e-09	0.0000000000e+00
1.7271000000e-09	1.7271000000e-09	0.0000000000e+00
1.5453000000e-09	1.5453000000e-09	0.0000000000e+00
1.4006000000e-09	1.4006000000e-09	0.0000000000e+00
1.2474000000e-09	1.2474000000e-09	0.0000000000e+00
1.0873000000e-09	1.0873000000e-09	0.0000000000e+00
9.2850000000e-10	9.2850000000e-10	0.0000000000e+00
7.7668000000e-10	7.7668000000e-10	0.0000000000e+00
6.7321000000e-10	6.7321000000e-10	0.0000000000e+00
5.8493000000e-10	5.8493000000e-10	0.0000000000e+00
5.1610000000e-10	5.1610000000e-10	0.0000000000e+00
4.7092000000e-10	4.7092000000e-10	0.0000000000e+00
4.5334000000e-10	4.5334000000e-10	0.0000000000e+00
4.6634000000e-10	4.6634000000e-10	0.0000000000e+00
