CPU	GPU	log10(CPU/GPU)
2.1460000000e-160	0.0000000000e+00	NA
2.6638000000e-154	0.0000000000e+00	NA
2.2005000000e-148	0.0000000000e+00	NA
1.2157000000e-142	0.0000000000e+00	NA
4.4964000000e-137	0.0000000000e+00	NA
1.1155000000e-131	0.0000000000e+00	NA
1.8538000000e-126	0.0000000000e+00	NA
2.0671000000e-121	0.0000000000e+00	NA
1.5461000000e-116	0.0000000000e+00	NA
7.7600000000e-112	0.0000000000e+00	NA
2.6124000000e-107	0.0000000000e+00	NA
5.9008000000e-103	0.0000000000e+00	NA
8.9567000000e-99	0.0000000000e+00	NA
9.1405000000e-95	0.0000000000e+00	NA
6.2811000000e-91	0.0000000000e+00	NA
2.9095000000e-87	0.0000000000e+00	NA
9.0913000000e-84	0.0000000000e+00	NA
1.9190000000e-80	0.0000000000e+00	NA
2.7580000000e-77	0.0000000000e+00	NA
2.6962000000e-74	0.0000000000e+00	NA
1.7692000000e-71	0.0000000000e+00	NA
7.7774000000e-69	0.0000000000e+00	NA
2.2875000000e-66	0.0000000000e+00	NA
4.4963000000e-64	0.0000000000e+00	NA
5.9077000000e-62	0.0000000000e+00	NA
5.1873000000e-60	0.0000000000e+00	NA
3.0474000000e-58	0.0000000000e+00	NA
1.1991000000e-56	0.0000000000e+00	NA
3.1656000000e-55	0.0000000000e+00	NA
5.6155000000e-54	0.0000000000e+00	NA
6.7434000000e-53	0.0000000000e+00	NA
5.4827000000e-52	0.0000000000e+00	NA
3.0171000000e-51	0.0000000000e+00	NA
1.1264000000e-50	0.0000000000e+00	NA
2.8608000000e-50	0.0000000000e+00	NA
4.9553000000e-50	0.0000000000e+00	NA
5.8699000000e-50	0.0000000000e+00	NA
4.7672000000e-50	0.0000000000e+00	NA
2.6617000000e-50	0.0000000000e+00	NA
1.0248000000e-50	0.0000000000e+00	NA
2.7324000000e-51	0.0000000000e+00	NA
5.0705000000e-52	0.0000000000e+00	NA
6.5991000000e-53	0.0000000000e+00	NA
6.0779000000e-54	0.0000000000e+00	NA
4.0097000000e-55	0.0000000000e+00	NA
1.9232000000e-56	0.0000000000e+00	NA
6.8303000000e-58	0.0000000000e+00	NA
1.8332000000e-59	0.0000000000e+00	NA
3.8095000000e-61	0.0000000000e+00	NA
6.2996000000e-63	0.0000000000e+00	NA
8.5664000000e-65	0.0000000000e+00	NA
9.9529000000e-67	0.0000000000e+00	NA
1.0292000000e-68	0.0000000000e+00	NA
9.8262000000e-71	0.0000000000e+00	NA
8.8773000000e-73	0.0000000000e+00	NA
7.6673000000e-75	0.0000000000e+00	NA
6.3622000000e-77	0.0000000000e+00	NA
5.0549000000e-79	0.0000000000e+00	NA
3.8274000000e-81	0.0000000000e+00	NA
2.7833000000e-83	0.0000000000e+00	NA
1.9178000000e-85	0.0000000000e+00	NA
1.2382000000e-87	0.0000000000e+00	NA
7.4666000000e-90	0.0000000000e+00	NA
4.3065000000e-92	0.0000000000e+00	NA
2.2900000000e-94	0.0000000000e+00	NA
1.1232000000e-96	0.0000000000e+00	NA
5.0804000000e-99	0.0000000000e+00	NA
