CPU	GPU	log10(CPU/GPU)
3.4626000000e-09	3.4626000000e-09	0.0000000000e+00
3.6272000000e-09	3.6272000000e-09	0.0000000000e+00
3.7696000000e-09	3.7696000000e-09	0.0000000000e+00
3.8948000000e-09	3.8948000000e-09	0.0000000000e+00
4.0007000000e-09	4.0007000000e-09	0.0000000000e+00
4.0881000000e-09	4.0881000000e-09	0.0000000000e+00
4.1500000000e-09	4.1500000000e-09	0.0000000000e+00
4.1872000000e-09	4.1872000000e-09	0.0000000000e+00
4.1955000000e-09	4.1955000000e-09	0.0000000000e+00
4.1736000000e-09	4.1736000000e-09	0.0000000000e+00
4.1176000000e-09	4.1176000000e-09	0.0000000000e+00
4.0272000000e-09	4.0272000000e-09	0.0000000000e+00
3.9080000000e-09	3.9080000000e-09	0.0000000000e+00
3.7635000000e-09	3.7635000000e-09	0.0000000000e+00
3.6032000000e-09	3.6032000000e-09	0.0000000000e+00
3.4362000000e-09	3.4362000000e-09	0.0000000000e+00
3.2716000000e-09	3.2716000000e-09	0.0000000000e+00
3.1230000000e-09	3.1230000000e-09	0.0000000000e+00
3.0290000000e-09	3.0290000000e-09	0.0000000000e+00
2.9936000000e-09	2.9936000000e-09	0.0000000000e+00
2.9681000000e-09	2.9681000000e-09	0.0000000000e+00
2.9476000000e-09	2.9476000000e-09	0.0000000000e+00
2.9266000000e-09	2.9266000000e-09	0.0000000000e+00
2.8976000000e-09	2.8976000000e-09	0.0000000000e+00
2.8603000000e-09	2.8603000000e-09	0.0000000000e+00
2.8066000000e-09	2.8066000000e-09	0.0000000000e+00
2.7382000000e-09	2.7382000000e-09	0.0000000000e+00
2.6529000000e-09	2.6529000000e-09	0.0000000000e+00
2.5507000000e-09	2.5507000000e-09	0.0000000000e+00
2.4281000000e-09	2.4281000000e-09	0.0000000000e+00
2.3271000000e-09	2.3271000000e-09	0.0000000000e+00
2.2301000000e-09	2.2301000000e-09	0.0000000000e+00
2.1162000000e-09	2.1162000000e-09	0.0000000000e+00
1.9842000000e-09	1.9842000000e-09	0.0000000000e+00
1.8365000000e-09	1.8365000000e-09	0.0000000000e+00
1.6746000000e-09	1.6746000000e-09	0.0000000000e+00
1.5019000000e-09	1.5019000000e-09	0.0000000000e+00
1.3640000000e-09	1.3640000000e-09	0.0000000000e+00
1.2176000000e-09	1.2176000000e-09	0.0000000000e+00
1.0641000000e-09	1.0641000000e-09	0.0000000000e+00
9.1121000000e-10	9.1121000000e-10	0.0000000000e+00
7.6434000000e-10	7.6434000000e-10	0.0000000000e+00
6.6381000000e-10	6.6381000000e-10	0.0000000000e+00
5.7775000000e-10	5.7775000000e-10	0.0000000000e+00
5.1046000000e-10	5.1046000000e-10	0.0000000000e+00
4.6615000000e-10	4.6615000000e-10	0.0000000000e+00
4.4885000000e-10	4.4885000000e-10	0.0000000000e+00
4.6150000000e-10	4.6150000000e-10	0.0000000000e+00
5.0936000000e-10	5.0936000000e-10	0.0000000000e+00
5.9869000000e-10	5.9869000000e-10	0.0000000000e+00
7.3777000000e-10	7.3777000000e-10	0.0000000000e+00
9.3572000000e-10	9.3572000000e-10	0.0000000000e+00
1.2136000000e-09	1.2136000000e-09	0.0000000000e+00
1.6429000000e-09	1.6429000000e-09	0.0000000000e+00
2.1895000000e-09	2.1895000000e-09	0.0000000000e+00
2.8495000000e-09	2.8495000000e-09	0.0000000000e+00
3.7694000000e-09	3.7694000000e-09	0.0000000000e+00
4.8651000000e-09	4.8651000000e-09	0.0000000000e+00
6.0659000000e-09	6.0659000000e-09	0.0000000000e+00
7.6681000000e-09	7.6681000000e-09	0.0000000000e+00
9.4888000000e-09	9.4888000000e-09	0.0000000000e+00
1.1324000000e-08	1.1324000000e-08	0.0000000000e+00
1.3159000000e-08	1.3159000000e-08	0.0000000000e+00
1.5701000000e-08	1.5701000000e-08	0.0000000000e+00
1.8085000000e-08	1.8085000000e-08	0.0000000000e+00
2.0253000000e-08	2.0253000000e-08	0.0000000000e+00
2.2161000000e-08	2.2161000000e-08	0.0000000000e+00
2.3808000000e-08	2.3808000000e-08	0.0000000000e+00
2.5181000000e-08	2.5181000000e-08	0.0000000000e+00
2.6306000000e-08	2.6306000000e-08	0.0000000000e+00
2.7191000000e-08	2.7191000000e-08	0.0000000000e+00
2.7882000000e-08	2.7882000000e-08	0.0000000000e+00
2.8398000000e-08	2.8398000000e-08	0.0000000000e+00
2.8812000000e-08	2.8812000000e-08	0.0000000000e+00
2.9183000000e-08	2.9183000000e-08	0.0000000000e+00
2.9626000000e-08	2.9626000000e-08	0.0000000000e+00
3.0142000000e-08	3.0142000000e-08	0.0000000000e+00
3.0802000000e-08	3.0802000000e-08	0.0000000000e+00
3.1544000000e-08	3.1544000000e-08	0.0000000000e+00
3.2335000000e-08	3.2335000000e-08	0.0000000000e+00
3.3142000000e-08	3.3142000000e-08	0.0000000000e+00
3.3893000000e-08	3.3893000000e-08	0.0000000000e+00
3.4566000000e-08	3.4566000000e-08	0.0000000000e+00
3.5195000000e-08	3.5195000000e-08	0.0000000000e+00
