CPU	GPU	log10(CPU/GPU)
4.9888000000e+00	4.9888000000e+00	0.0000000000e+00
4.9873000000e+00	4.9873000000e+00	0.0000000000e+00
4.9859000000e+00	4.9859000000e+00	0.0000000000e+00
4.9844000000e+00	4.9844000000e+00	0.0000000000e+00
4.9829000000e+00	4.9829000000e+00	0.0000000000e+00
4.9814000000e+00	4.9814000000e+00	0.0000000000e+00
4.9800000000e+00	4.9800000000e+00	0.0000000000e+00
4.9786000000e+00	4.9786000000e+00	0.0000000000e+00
4.9774000000e+00	4.9774000000e+00	0.0000000000e+00
4.9763000000e+00	4.9763000000e+00	0.0000000000e+00
4.9753000000e+00	4.9753000000e+00	0.0000000000e+00
4.9746000000e+00	4.9746000000e+00	0.0000000000e+00
4.9741000000e+00	4.9741000000e+00	0.0000000000e+00
4.9738000000e+00	4.9738000000e+00	0.0000000000e+00
4.9736000000e+00	4.9736000000e+00	0.0000000000e+00
4.9735000000e+00	4.9735000000e+00	0.0000000000e+00
4.9735000000e+00	4.9735000000e+00	0.0000000000e+00
4.9733000000e+00	4.9733000000e+00	0.0000000000e+00
4.9728000000e+00	4.9728000000e+00	0.0000000000e+00
4.9718000000e+00	4.9718000000e+00	0.0000000000e+00
4.9707000000e+00	4.9707000000e+00	0.0000000000e+00
4.9695000000e+00	4.9695000000e+00	0.0000000000e+00
4.9682000000e+00	4.9682000000e+00	0.0000000000e+00
4.9670000000e+00	4.9670000000e+00	0.0000000000e+00
4.9659000000e+00	4.9659000000e+00	0.0000000000e+00
4.9650000000e+00	4.9650000000e+00	0.0000000000e+00
4.9643000000e+00	4.9643000000e+00	0.0000000000e+00
4.9639000000e+00	4.9639000000e+00	0.0000000000e+00
4.9638000000e+00	4.9638000000e+00	0.0000000000e+00
4.9641000000e+00	4.9641000000e+00	0.0000000000e+00
4.9642000000e+00	4.9642000000e+00	0.0000000000e+00
4.9645000000e+00	4.9645000000e+00	0.0000000000e+00
4.9651000000e+00	4.9651000000e+00	0.0000000000e+00
4.9662000000e+00	4.9662000000e+00	0.0000000000e+00
4.9677000000e+00	4.9677000000e+00	0.0000000000e+00
4.9696000000e+00	4.9696000000e+00	0.0000000000e+00
4.9719000000e+00	4.9719000000e+00	0.0000000000e+00
4.9738000000e+00	4.9738000000e+00	0.0000000000e+00
4.9761000000e+00	4.9761000000e+00	0.0000000000e+00
4.9787000000e+00	4.9787000000e+00	0.0000000000e+00
4.9814000000e+00	4.9814000000e+00	0.0000000000e+00
4.9841000000e+00	4.9841000000e+00	0.0000000000e+00
4.9860000000e+00	4.9860000000e+00	0.0000000000e+00
4.9877000000e+00	4.9877000000e+00	0.0000000000e+00
4.9891000000e+00	4.9891000000e+00	0.0000000000e+00
4.9899000000e+00	4.9899000000e+00	0.0000000000e+00
4.9901000000e+00	4.9901000000e+00	0.0000000000e+00
4.9896000000e+00	4.9896000000e+00	0.0000000000e+00
4.9883000000e+00	4.9883000000e+00	0.0000000000e+00
4.9860000000e+00	4.9860000000e+00	0.0000000000e+00
4.9824000000e+00	4.9824000000e+00	0.0000000000e+00
4.9775000000e+00	4.9775000000e+00	0.0000000000e+00
4.9706000000e+00	4.9706000000e+00	0.0000000000e+00
4.9608000000e+00	4.9608000000e+00	0.0000000000e+00
4.9489000000e+00	4.9489000000e+00	0.0000000000e+00
4.9352000000e+00	4.9352000000e+00	0.0000000000e+00
4.9178000000e+00	4.9178000000e+00	0.0000000000e+00
4.8988000000e+00	4.8988000000e+00	0.0000000000e+00
4.8794000000e+00	4.8794000000e+00	0.0000000000e+00
4.8574000000e+00	4.8574000000e+00	0.0000000000e+00
4.8356000000e+00	4.8356000000e+00	0.0000000000e+00
4.8159000000e+00	4.8159000000e+00	0.0000000000e+00
4.7985000000e+00	4.7985000000e+00	0.0000000000e+00
4.7799000000e+00	4.7799000000e+00	0.0000000000e+00
4.7650000000e+00	4.7650000000e+00	0.0000000000e+00
4.7535000000e+00	4.7535000000e+00	0.0000000000e+00
4.7451000000e+00	4.7451000000e+00	0.0000000000e+00
4.7394000000e+00	4.7394000000e+00	0.0000000000e+00
4.7362000000e+00	4.7362000000e+00	0.0000000000e+00
4.7349000000e+00	4.7349000000e+00	0.0000000000e+00
4.7353000000e+00	4.7353000000e+00	0.0000000000e+00
4.7372000000e+00	4.7372000000e+00	0.0000000000e+00
4.7402000000e+00	4.7402000000e+00	0.0000000000e+00
4.7439000000e+00	4.7439000000e+00	0.0000000000e+00
4.7479000000e+00	4.7479000000e+00	0.0000000000e+00
4.7517000000e+00	4.7517000000e+00	0.0000000000e+00
4.7552000000e+00	4.7552000000e+00	0.0000000000e+00
4.7582000000e+00	4.7582000000e+00	0.0000000000e+00
4.7609000000e+00	4.7609000000e+00	0.0000000000e+00
4.7635000000e+00	4.7635000000e+00	0.0000000000e+00
4.7661000000e+00	4.7661000000e+00	0.0000000000e+00
4.7691000000e+00	4.7691000000e+00	0.0000000000e+00
4.7725000000e+00	4.7725000000e+00	0.0000000000e+00
4.7761000000e+00	4.7761000000e+00	0.0000000000e+00
4.7801000000e+00	4.7801000000e+00	0.0000000000e+00
4.7843000000e+00	4.7843000000e+00	0.0000000000e+00
4.7890000000e+00	4.7890000000e+00	0.0000000000e+00
4.7938000000e+00	4.7938000000e+00	0.0000000000e+00
4.7985000000e+00	4.7985000000e+00	0.0000000000e+00
4.8033000000e+00	4.8033000000e+00	0.0000000000e+00
4.8080000000e+00	4.8080000000e+00	0.0000000000e+00
4.8127000000e+00	4.8127000000e+00	0.0000000000e+00
4.8174000000e+00	4.8174000000e+00	0.0000000000e+00
4.8220000000e+00	4.8220000000e+00	0.0000000000e+00
4.8266000000e+00	4.8266000000e+00	0.0000000000e+00
4.8311000000e+00	4.8311000000e+00	0.0000000000e+00
4.8356000000e+00	4.8356000000e+00	0.0000000000e+00
4.8399000000e+00	4.8399000000e+00	0.0000000000e+00
4.8442000000e+00	4.8442000000e+00	0.0000000000e+00
4.8485000000e+00	4.8485000000e+00	0.0000000000e+00
4.8526000000e+00	4.8526000000e+00	0.0000000000e+00
4.9872000000e+00	4.9872000000e+00	0.0000000000e+00
4.9856000000e+00	4.9856000000e+00	0.0000000000e+00
4.9840000000e+00	4.9840000000e+00	0.0000000000e+00
4.9823000000e+00	4.9823000000e+00	0.0000000000e+00
4.9807000000e+00	4.9807000000e+00	0.0000000000e+00
4.9791000000e+00	4.9791000000e+00	0.0000000000e+00
4.9775000000e+00	4.9775000000e+00	0.0000000000e+00
4.9761000000e+00	4.9761000000e+00	0.0000000000e+00
4.9747000000e+00	4.9747000000e+00	0.0000000000e+00
4.9736000000e+00	4.9736000000e+00	0.0000000000e+00
4.9727000000e+00	4.9727000000e+00	0.0000000000e+00
4.9721000000e+00	4.9721000000e+00	0.0000000000e+00
4.9717000000e+00	4.9717000000e+00	0.0000000000e+00
4.9716000000e+00	4.9716000000e+00	0.0000000000e+00
4.9718000000e+00	4.9718000000e+00	0.0000000000e+00
4.9721000000e+00	4.9721000000e+00	0.0000000000e+00
4.9724000000e+00	4.9724000000e+00	0.0000000000e+00
4.9721000000e+00	4.9721000000e+00	0.0000000000e+00
4.9713000000e+00	4.9713000000e+00	0.0000000000e+00
4.9703000000e+00	4.9703000000e+00	0.0000000000e+00
4.9691000000e+00	4.9691000000e+00	0.0000000000e+00
4.9676000000e+00	4.9676000000e+00	0.0000000000e+00
4.9662000000e+00	4.9662000000e+00	0.0000000000e+00
4.9648000000e+00	4.9648000000e+00	0.0000000000e+00
4.9635000000e+00	4.9635000000e+00	0.0000000000e+00
4.9623000000e+00	4.9623000000e+00	0.0000000000e+00
4.9613000000e+00	4.9613000000e+00	0.0000000000e+00
4.9606000000e+00	4.9606000000e+00	0.0000000000e+00
4.9600000000e+00	4.9600000000e+00	0.0000000000e+00
4.9596000000e+00	4.9596000000e+00	0.0000000000e+00
4.9590000000e+00	4.9590000000e+00	0.0000000000e+00
4.9587000000e+00	4.9587000000e+00	0.0000000000e+00
4.9588000000e+00	4.9588000000e+00	0.0000000000e+00
4.9594000000e+00	4.9594000000e+00	0.0000000000e+00
4.9604000000e+00	4.9604000000e+00	0.0000000000e+00
4.9618000000e+00	4.9618000000e+00	0.0000000000e+00
4.9637000000e+00	4.9637000000e+00	0.0000000000e+00
4.9656000000e+00	4.9656000000e+00	0.0000000000e+00
4.9676000000e+00	4.9676000000e+00	0.0000000000e+00
4.9703000000e+00	4.9703000000e+00	0.0000000000e+00
4.9734000000e+00	4.9734000000e+00	0.0000000000e+00
4.9768000000e+00	4.9768000000e+00	0.0000000000e+00
4.9799000000e+00	4.9799000000e+00	0.0000000000e+00
4.9822000000e+00	4.9822000000e+00	0.0000000000e+00
4.9842000000e+00	4.9842000000e+00	0.0000000000e+00
4.9856000000e+00	4.9856000000e+00	0.0000000000e+00
4.9861000000e+00	4.9861000000e+00	0.0000000000e+00
4.9857000000e+00	4.9857000000e+00	0.0000000000e+00
4.9841000000e+00	4.9841000000e+00	0.0000000000e+00
4.9811000000e+00	4.9811000000e+00	0.0000000000e+00
4.9767000000e+00	4.9767000000e+00	0.0000000000e+00
4.9705000000e+00	4.9705000000e+00	0.0000000000e+00
4.9623000000e+00	4.9623000000e+00	0.0000000000e+00
4.9508000000e+00	4.9508000000e+00	0.0000000000e+00
4.9372000000e+00	4.9372000000e+00	0.0000000000e+00
4.9218000000e+00	4.9218000000e+00	0.0000000000e+00
4.9026000000e+00	4.9026000000e+00	0.0000000000e+00
4.8815000000e+00	4.8815000000e+00	0.0000000000e+00
4.8602000000e+00	4.8602000000e+00	0.0000000000e+00
4.8363000000e+00	4.8363000000e+00	0.0000000000e+00
4.8127000000e+00	4.8127000000e+00	0.0000000000e+00
4.7916000000e+00	4.7916000000e+00	0.0000000000e+00
4.7732000000e+00	4.7732000000e+00	0.0000000000e+00
4.7539000000e+00	4.7539000000e+00	0.0000000000e+00
4.7386000000e+00	4.7386000000e+00	0.0000000000e+00
4.7272000000e+00	4.7272000000e+00	0.0000000000e+00
4.7191000000e+00	4.7191000000e+00	0.0000000000e+00
4.7137000000e+00	4.7137000000e+00	0.0000000000e+00
4.7107000000e+00	4.7107000000e+00	0.0000000000e+00
4.7097000000e+00	4.7097000000e+00	0.0000000000e+00
4.7107000000e+00	4.7107000000e+00	0.0000000000e+00
4.7131000000e+00	4.7131000000e+00	0.0000000000e+00
4.7170000000e+00	4.7170000000e+00	0.0000000000e+00
4.7218000000e+00	4.7218000000e+00	0.0000000000e+00
4.7267000000e+00	4.7267000000e+00	0.0000000000e+00
4.7313000000e+00	4.7313000000e+00	0.0000000000e+00
4.7351000000e+00	4.7351000000e+00	0.0000000000e+00
4.7381000000e+00	4.7381000000e+00	0.0000000000e+00
4.7405000000e+00	4.7405000000e+00	0.0000000000e+00
4.7427000000e+00	4.7427000000e+00	0.0000000000e+00
4.7451000000e+00	4.7451000000e+00	0.0000000000e+00
4.7480000000e+00	4.7480000000e+00	0.0000000000e+00
4.7515000000e+00	4.7515000000e+00	0.0000000000e+00
4.7555000000e+00	4.7555000000e+00	0.0000000000e+00
4.7599000000e+00	4.7599000000e+00	0.0000000000e+00
4.7650000000e+00	4.7650000000e+00	0.0000000000e+00
4.7702000000e+00	4.7702000000e+00	0.0000000000e+00
4.7754000000e+00	4.7754000000e+00	0.0000000000e+00
4.7807000000e+00	4.7807000000e+00	0.0000000000e+00
4.7858000000e+00	4.7858000000e+00	0.0000000000e+00
4.7910000000e+00	4.7910000000e+00	0.0000000000e+00
4.7962000000e+00	4.7962000000e+00	0.0000000000e+00
4.8012000000e+00	4.8012000000e+00	0.0000000000e+00
4.8063000000e+00	4.8063000000e+00	0.0000000000e+00
4.8113000000e+00	4.8113000000e+00	0.0000000000e+00
4.8162000000e+00	4.8162000000e+00	0.0000000000e+00
4.8210000000e+00	4.8210000000e+00	0.0000000000e+00
4.8258000000e+00	4.8258000000e+00	0.0000000000e+00
4.8305000000e+00	4.8305000000e+00	0.0000000000e+00
4.8351000000e+00	4.8351000000e+00	0.0000000000e+00
4.8396000000e+00	4.8396000000e+00	0.0000000000e+00
4.9856000000e+00	4.9856000000e+00	0.0000000000e+00
4.9838000000e+00	4.9838000000e+00	0.0000000000e+00
4.9820000000e+00	4.9820000000e+00	0.0000000000e+00
4.9802000000e+00	4.9802000000e+00	0.0000000000e+00
4.9784000000e+00	4.9784000000e+00	0.0000000000e+00
4.9767000000e+00	4.9767000000e+00	0.0000000000e+00
4.9751000000e+00	4.9751000000e+00	0.0000000000e+00
4.9736000000e+00	4.9736000000e+00	0.0000000000e+00
4.9723000000e+00	4.9723000000e+00	0.0000000000e+00
4.9712000000e+00	4.9712000000e+00	0.0000000000e+00
4.9705000000e+00	4.9705000000e+00	0.0000000000e+00
4.9701000000e+00	4.9701000000e+00	0.0000000000e+00
4.9701000000e+00	4.9701000000e+00	0.0000000000e+00
4.9705000000e+00	4.9705000000e+00	0.0000000000e+00
4.9712000000e+00	4.9712000000e+00	0.0000000000e+00
4.9722000000e+00	4.9722000000e+00	0.0000000000e+00
4.9722000000e+00	4.9722000000e+00	0.0000000000e+00
4.9720000000e+00	4.9720000000e+00	0.0000000000e+00
4.9716000000e+00	4.9716000000e+00	0.0000000000e+00
4.9706000000e+00	4.9706000000e+00	0.0000000000e+00
4.9693000000e+00	4.9693000000e+00	0.0000000000e+00
4.9677000000e+00	4.9677000000e+00	0.0000000000e+00
4.9661000000e+00	4.9661000000e+00	0.0000000000e+00
4.9645000000e+00	4.9645000000e+00	0.0000000000e+00
4.9630000000e+00	4.9630000000e+00	0.0000000000e+00
4.9616000000e+00	4.9616000000e+00	0.0000000000e+00
4.9603000000e+00	4.9603000000e+00	0.0000000000e+00
4.9590000000e+00	4.9590000000e+00	0.0000000000e+00
4.9573000000e+00	4.9573000000e+00	0.0000000000e+00
4.9556000000e+00	4.9556000000e+00	0.0000000000e+00
4.9542000000e+00	4.9542000000e+00	0.0000000000e+00
4.9531000000e+00	4.9531000000e+00	0.0000000000e+00
4.9523000000e+00	4.9523000000e+00	0.0000000000e+00
4.9519000000e+00	4.9519000000e+00	0.0000000000e+00
4.9519000000e+00	4.9519000000e+00	0.0000000000e+00
4.9521000000e+00	4.9521000000e+00	0.0000000000e+00
4.9528000000e+00	4.9528000000e+00	0.0000000000e+00
4.9541000000e+00	4.9541000000e+00	0.0000000000e+00
4.9554000000e+00	4.9554000000e+00	0.0000000000e+00
4.9577000000e+00	4.9577000000e+00	0.0000000000e+00
4.9610000000e+00	4.9610000000e+00	0.0000000000e+00
4.9652000000e+00	4.9652000000e+00	0.0000000000e+00
4.9698000000e+00	4.9698000000e+00	0.0000000000e+00
4.9738000000e+00	4.9738000000e+00	0.0000000000e+00
4.9769000000e+00	4.9769000000e+00	0.0000000000e+00
4.9793000000e+00	4.9793000000e+00	0.0000000000e+00
4.9806000000e+00	4.9806000000e+00	0.0000000000e+00
4.9804000000e+00	4.9804000000e+00	0.0000000000e+00
4.9785000000e+00	4.9785000000e+00	0.0000000000e+00
4.9748000000e+00	4.9748000000e+00	0.0000000000e+00
4.9692000000e+00	4.9692000000e+00	0.0000000000e+00
4.9617000000e+00	4.9617000000e+00	0.0000000000e+00
4.9518000000e+00	4.9518000000e+00	0.0000000000e+00
4.9387000000e+00	4.9387000000e+00	0.0000000000e+00
4.9236000000e+00	4.9236000000e+00	0.0000000000e+00
4.9068000000e+00	4.9068000000e+00	0.0000000000e+00
4.8861000000e+00	4.8861000000e+00	0.0000000000e+00
4.8630000000e+00	4.8630000000e+00	0.0000000000e+00
4.8395000000e+00	4.8395000000e+00	0.0000000000e+00
4.8139000000e+00	4.8139000000e+00	0.0000000000e+00
4.7882000000e+00	4.7882000000e+00	0.0000000000e+00
4.7657000000e+00	4.7657000000e+00	0.0000000000e+00
4.7466000000e+00	4.7466000000e+00	0.0000000000e+00
4.7267000000e+00	4.7267000000e+00	0.0000000000e+00
4.7114000000e+00	4.7114000000e+00	0.0000000000e+00
4.7003000000e+00	4.7003000000e+00	0.0000000000e+00
4.6928000000e+00	4.6928000000e+00	0.0000000000e+00
4.6879000000e+00	4.6879000000e+00	0.0000000000e+00
4.6853000000e+00	4.6853000000e+00	0.0000000000e+00
4.6846000000e+00	4.6846000000e+00	0.0000000000e+00
4.6859000000e+00	4.6859000000e+00	0.0000000000e+00
4.6892000000e+00	4.6892000000e+00	0.0000000000e+00
4.6943000000e+00	4.6943000000e+00	0.0000000000e+00
4.7005000000e+00	4.7005000000e+00	0.0000000000e+00
4.7069000000e+00	4.7069000000e+00	0.0000000000e+00
4.7125000000e+00	4.7125000000e+00	0.0000000000e+00
4.7166000000e+00	4.7166000000e+00	0.0000000000e+00
4.7193000000e+00	4.7193000000e+00	0.0000000000e+00
4.7209000000e+00	4.7209000000e+00	0.0000000000e+00
4.7223000000e+00	4.7223000000e+00	0.0000000000e+00
4.7241000000e+00	4.7241000000e+00	0.0000000000e+00
4.7266000000e+00	4.7266000000e+00	0.0000000000e+00
4.7301000000e+00	4.7301000000e+00	0.0000000000e+00
4.7343000000e+00	4.7343000000e+00	0.0000000000e+00
4.7390000000e+00	4.7390000000e+00	0.0000000000e+00
4.7447000000e+00	4.7447000000e+00	0.0000000000e+00
4.7504000000e+00	4.7504000000e+00	0.0000000000e+00
4.7560000000e+00	4.7560000000e+00	0.0000000000e+00
4.7617000000e+00	4.7617000000e+00	0.0000000000e+00
4.7674000000e+00	4.7674000000e+00	0.0000000000e+00
4.7730000000e+00	4.7730000000e+00	0.0000000000e+00
4.7786000000e+00	4.7786000000e+00	0.0000000000e+00
4.7841000000e+00	4.7841000000e+00	0.0000000000e+00
4.7896000000e+00	4.7896000000e+00	0.0000000000e+00
4.7950000000e+00	4.7950000000e+00	0.0000000000e+00
4.8003000000e+00	4.8003000000e+00	0.0000000000e+00
4.8056000000e+00	4.8056000000e+00	0.0000000000e+00
4.8107000000e+00	4.8107000000e+00	0.0000000000e+00
4.8158000000e+00	4.8158000000e+00	0.0000000000e+00
4.8208000000e+00	4.8208000000e+00	0.0000000000e+00
4.8257000000e+00	4.8257000000e+00	0.0000000000e+00
4.9838000000e+00	4.9838000000e+00	0.0000000000e+00
4.9818000000e+00	4.9818000000e+00	0.0000000000e+00
4.9799000000e+00	4.9799000000e+00	0.0000000000e+00
4.9779000000e+00	4.9779000000e+00	0.0000000000e+00
4.9760000000e+00	4.9760000000e+00	0.0000000000e+00
4.9742000000e+00	4.9742000000e+00	0.0000000000e+00
4.9725000000e+00	4.9725000000e+00	0.0000000000e+00
4.9711000000e+00	4.9711000000e+00	0.0000000000e+00
4.9698000000e+00	4.9698000000e+00	0.0000000000e+00
4.9689000000e+00	4.9689000000e+00	0.0000000000e+00
4.9684000000e+00	4.9684000000e+00	0.0000000000e+00
4.9684000000e+00	4.9684000000e+00	0.0000000000e+00
4.9689000000e+00	4.9689000000e+00	0.0000000000e+00
4.9699000000e+00	4.9699000000e+00	0.0000000000e+00
4.9714000000e+00	4.9714000000e+00	0.0000000000e+00
4.9721000000e+00	4.9721000000e+00	0.0000000000e+00
4.9728000000e+00	4.9728000000e+00	0.0000000000e+00
4.9734000000e+00	4.9734000000e+00	0.0000000000e+00
4.9734000000e+00	4.9734000000e+00	0.0000000000e+00
4.9727000000e+00	4.9727000000e+00	0.0000000000e+00
4.9713000000e+00	4.9713000000e+00	0.0000000000e+00
4.9696000000e+00	4.9696000000e+00	0.0000000000e+00
4.9677000000e+00	4.9677000000e+00	0.0000000000e+00
4.9659000000e+00	4.9659000000e+00	0.0000000000e+00
4.9641000000e+00	4.9641000000e+00	0.0000000000e+00
4.9621000000e+00	4.9621000000e+00	0.0000000000e+00
4.9600000000e+00	4.9600000000e+00	0.0000000000e+00
4.9577000000e+00	4.9577000000e+00	0.0000000000e+00
4.9552000000e+00	4.9552000000e+00	0.0000000000e+00
4.9525000000e+00	4.9525000000e+00	0.0000000000e+00
4.9499000000e+00	4.9499000000e+00	0.0000000000e+00
4.9476000000e+00	4.9476000000e+00	0.0000000000e+00
4.9455000000e+00	4.9455000000e+00	0.0000000000e+00
4.9437000000e+00	4.9437000000e+00	0.0000000000e+00
4.9419000000e+00	4.9419000000e+00	0.0000000000e+00
4.9402000000e+00	4.9402000000e+00	0.0000000000e+00
4.9386000000e+00	4.9386000000e+00	0.0000000000e+00
4.9377000000e+00	4.9377000000e+00	0.0000000000e+00
4.9381000000e+00	4.9381000000e+00	0.0000000000e+00
4.9396000000e+00	4.9396000000e+00	0.0000000000e+00
4.9427000000e+00	4.9427000000e+00	0.0000000000e+00
4.9477000000e+00	4.9477000000e+00	0.0000000000e+00
4.9541000000e+00	4.9541000000e+00	0.0000000000e+00
4.9611000000e+00	4.9611000000e+00	0.0000000000e+00
4.9664000000e+00	4.9664000000e+00	0.0000000000e+00
4.9707000000e+00	4.9707000000e+00	0.0000000000e+00
4.9734000000e+00	4.9734000000e+00	0.0000000000e+00
4.9738000000e+00	4.9738000000e+00	0.0000000000e+00
4.9717000000e+00	4.9717000000e+00	0.0000000000e+00
4.9669000000e+00	4.9669000000e+00	0.0000000000e+00
4.9597000000e+00	4.9597000000e+00	0.0000000000e+00
4.9505000000e+00	4.9505000000e+00	0.0000000000e+00
4.9386000000e+00	4.9386000000e+00	0.0000000000e+00
4.9238000000e+00	4.9238000000e+00	0.0000000000e+00
4.9075000000e+00	4.9075000000e+00	0.0000000000e+00
4.8896000000e+00	4.8896000000e+00	0.0000000000e+00
4.8675000000e+00	4.8675000000e+00	0.0000000000e+00
4.8420000000e+00	4.8420000000e+00	0.0000000000e+00
4.8162000000e+00	4.8162000000e+00	0.0000000000e+00
4.7886000000e+00	4.7886000000e+00	0.0000000000e+00
4.7609000000e+00	4.7609000000e+00	0.0000000000e+00
4.7370000000e+00	4.7370000000e+00	0.0000000000e+00
4.7173000000e+00	4.7173000000e+00	0.0000000000e+00
4.6971000000e+00	4.6971000000e+00	0.0000000000e+00
4.6821000000e+00	4.6821000000e+00	0.0000000000e+00
4.6719000000e+00	4.6719000000e+00	0.0000000000e+00
4.6656000000e+00	4.6656000000e+00	0.0000000000e+00
4.6617000000e+00	4.6617000000e+00	0.0000000000e+00
4.6596000000e+00	4.6596000000e+00	0.0000000000e+00
4.6589000000e+00	4.6589000000e+00	0.0000000000e+00
4.6603000000e+00	4.6603000000e+00	0.0000000000e+00
4.6642000000e+00	4.6642000000e+00	0.0000000000e+00
4.6708000000e+00	4.6708000000e+00	0.0000000000e+00
4.6791000000e+00	4.6791000000e+00	0.0000000000e+00
4.6877000000e+00	4.6877000000e+00	0.0000000000e+00
4.6950000000e+00	4.6950000000e+00	0.0000000000e+00
4.6995000000e+00	4.6995000000e+00	0.0000000000e+00
4.7016000000e+00	4.7016000000e+00	0.0000000000e+00
4.7022000000e+00	4.7022000000e+00	0.0000000000e+00
4.7023000000e+00	4.7023000000e+00	0.0000000000e+00
4.7028000000e+00	4.7028000000e+00	0.0000000000e+00
4.7047000000e+00	4.7047000000e+00	0.0000000000e+00
4.7079000000e+00	4.7079000000e+00	0.0000000000e+00
4.7124000000e+00	4.7124000000e+00	0.0000000000e+00
4.7175000000e+00	4.7175000000e+00	0.0000000000e+00
4.7232000000e+00	4.7232000000e+00	0.0000000000e+00
4.7294000000e+00	4.7294000000e+00	0.0000000000e+00
4.7355000000e+00	4.7355000000e+00	0.0000000000e+00
4.7417000000e+00	4.7417000000e+00	0.0000000000e+00
4.7478000000e+00	4.7478000000e+00	0.0000000000e+00
4.7539000000e+00	4.7539000000e+00	0.0000000000e+00
4.7599000000e+00	4.7599000000e+00	0.0000000000e+00
4.7659000000e+00	4.7659000000e+00	0.0000000000e+00
