CPU	GPU	log10(CPU/GPU)
3.3167600000e+04	3.3167600000e+04	0.0000000000e+00
3.2329000000e+04	3.2329000000e+04	0.0000000000e+00
3.1499800000e+04	3.1499800000e+04	0.0000000000e+00
3.0680800000e+04	3.0680800000e+04	0.0000000000e+00
2.9872800000e+04	2.9872800000e+04	0.0000000000e+00
2.9076800000e+04	2.9076800000e+04	0.0000000000e+00
2.8293700000e+04	2.8293700000e+04	0.0000000000e+00
2.7524600000e+04	2.7524600000e+04	0.0000000000e+00
2.6770900000e+04	2.6770900000e+04	0.0000000000e+00
2.6033700000e+04	2.6033700000e+04	0.0000000000e+00
2.5314600000e+04	2.5314600000e+04	0.0000000000e+00
2.4615100000e+04	2.4615100000e+04	0.0000000000e+00
2.3936900000e+04	2.3936900000e+04	0.0000000000e+00
2.3282000000e+04	2.3282000000e+04	0.0000000000e+00
2.2652200000e+04	2.2652200000e+04	0.0000000000e+00
2.2049900000e+04	2.2049900000e+04	0.0000000000e+00
2.1477200000e+04	2.1477200000e+04	0.0000000000e+00
2.0936700000e+04	2.0936700000e+04	0.0000000000e+00
2.0430900000e+04	2.0430900000e+04	0.0000000000e+00
1.9962300000e+04	1.9962300000e+04	0.0000000000e+00
1.9533800000e+04	1.9533800000e+04	0.0000000000e+00
1.9147900000e+04	1.9147900000e+04	0.0000000000e+00
1.8807300000e+04	1.8807300000e+04	0.0000000000e+00
1.8514600000e+04	1.8514600000e+04	0.0000000000e+00
1.8271900000e+04	1.8271900000e+04	0.0000000000e+00
1.8081400000e+04	1.8081400000e+04	0.0000000000e+00
1.7944700000e+04	1.7944700000e+04	0.0000000000e+00
1.7863000000e+04	1.7863000000e+04	0.0000000000e+00
1.7837000000e+04	1.7837000000e+04	0.0000000000e+00
1.7867100000e+04	1.7867100000e+04	0.0000000000e+00
1.7952900000e+04	1.7952900000e+04	0.0000000000e+00
1.8093700000e+04	1.8093700000e+04	0.0000000000e+00
1.8288100000e+04	1.8288100000e+04	0.0000000000e+00
1.8534600000e+04	1.8534600000e+04	0.0000000000e+00
1.8830900000e+04	1.8830900000e+04	0.0000000000e+00
1.9174900000e+04	1.9174900000e+04	0.0000000000e+00
1.9564000000e+04	1.9564000000e+04	0.0000000000e+00
1.9995600000e+04	1.9995600000e+04	0.0000000000e+00
2.0467000000e+04	2.0467000000e+04	0.0000000000e+00
2.0975600000e+04	2.0975600000e+04	0.0000000000e+00
2.1518500000e+04	2.1518500000e+04	0.0000000000e+00
2.2093500000e+04	2.2093500000e+04	0.0000000000e+00
2.2697900000e+04	2.2697900000e+04	0.0000000000e+00
2.3329600000e+04	2.3329600000e+04	0.0000000000e+00
2.3986300000e+04	2.3986300000e+04	0.0000000000e+00
2.4666100000e+04	2.4666100000e+04	0.0000000000e+00
2.5367100000e+04	2.5367100000e+04	0.0000000000e+00
2.6087700000e+04	2.6087700000e+04	0.0000000000e+00
2.6826100000e+04	2.6826100000e+04	0.0000000000e+00
2.7581000000e+04	2.7581000000e+04	0.0000000000e+00
2.8351200000e+04	2.8351200000e+04	0.0000000000e+00
2.9135200000e+04	2.9135200000e+04	0.0000000000e+00
2.9932200000e+04	2.9932200000e+04	0.0000000000e+00
3.0741000000e+04	3.0741000000e+04	0.0000000000e+00
3.1560800000e+04	3.1560800000e+04	0.0000000000e+00
3.2390700000e+04	3.2390700000e+04	0.0000000000e+00
3.3230000000e+04	3.3230000000e+04	0.0000000000e+00
3.4077900000e+04	3.4077900000e+04	0.0000000000e+00
3.4933900000e+04	3.4933900000e+04	0.0000000000e+00
3.5797400000e+04	3.5797400000e+04	0.0000000000e+00
