CPU	GPU	log10(CPU/GPU)
6.5000000000e+05	6.5000000000e+05	0.0000000000e+00
6.5100000000e+05	6.5100000000e+05	0.0000000000e+00
6.5200000000e+05	6.5200000000e+05	0.0000000000e+00
6.5300000000e+05	6.5300000000e+05	0.0000000000e+00
6.5400000000e+05	6.5400000000e+05	0.0000000000e+00
6.5500000000e+05	6.5500000000e+05	0.0000000000e+00
6.5600000000e+05	6.5600000000e+05	0.0000000000e+00
6.5700000000e+05	6.5700000000e+05	0.0000000000e+00
6.5800000000e+05	6.5800000000e+05	0.0000000000e+00
6.5900000000e+05	6.5900000000e+05	0.0000000000e+00
6.6000000000e+05	6.6000000000e+05	0.0000000000e+00
6.6100000000e+05	6.6100000000e+05	0.0000000000e+00
6.6200000000e+05	6.6200000000e+05	0.0000000000e+00
6.6300000000e+05	6.6300000000e+05	0.0000000000e+00
6.6400000000e+05	6.6400000000e+05	0.0000000000e+00
6.6500000000e+05	6.6500000000e+05	0.0000000000e+00
6.6600000000e+05	6.6600000000e+05	0.0000000000e+00
6.6700000000e+05	6.6700000000e+05	0.0000000000e+00
6.6800000000e+05	6.6800000000e+05	0.0000000000e+00
6.6900000000e+05	6.6900000000e+05	0.0000000000e+00
6.7000000000e+05	6.7000000000e+05	0.0000000000e+00
6.7100000000e+05	6.7100000000e+05	0.0000000000e+00
6.7200000000e+05	6.7200000000e+05	0.0000000000e+00
6.7300000000e+05	6.7300000000e+05	0.0000000000e+00
6.7400000000e+05	6.7400000000e+05	0.0000000000e+00
6.7500000000e+05	6.7500000000e+05	0.0000000000e+00
6.7600000000e+05	6.7600000000e+05	0.0000000000e+00
6.7700000000e+05	6.7700000000e+05	0.0000000000e+00
6.7800000000e+05	6.7800000000e+05	0.0000000000e+00
6.7900000000e+05	6.7900000000e+05	0.0000000000e+00
6.8000000000e+05	6.8000000000e+05	0.0000000000e+00
6.8100000000e+05	6.8100000000e+05	0.0000000000e+00
6.8200000000e+05	6.8200000000e+05	0.0000000000e+00
6.8300000000e+05	6.8300000000e+05	0.0000000000e+00
6.8400000000e+05	6.8400000000e+05	0.0000000000e+00
6.8500000000e+05	6.8500000000e+05	0.0000000000e+00
6.8600000000e+05	6.8600000000e+05	0.0000000000e+00
6.8700000000e+05	6.8700000000e+05	0.0000000000e+00
6.8800000000e+05	6.8800000000e+05	0.0000000000e+00
6.8900000000e+05	6.8900000000e+05	0.0000000000e+00
6.9000000000e+05	6.9000000000e+05	0.0000000000e+00
6.9100000000e+05	6.9100000000e+05	0.0000000000e+00
6.9200000000e+05	6.9200000000e+05	0.0000000000e+00
6.9300000000e+05	6.9300000000e+05	0.0000000000e+00
6.9400000000e+05	6.9400000000e+05	0.0000000000e+00
6.9500000000e+05	6.9500000000e+05	0.0000000000e+00
6.9600000000e+05	6.9600000000e+05	0.0000000000e+00
6.9700000000e+05	6.9700000000e+05	0.0000000000e+00
6.9800000000e+05	6.9800000000e+05	0.0000000000e+00
