=== LOC DEBUG ===
0: -27963.000000 17837.000000 4.700000
1: -27763.000000 17837.000000 4.200000
2: -27563.000000 17837.000000 3.800000
3: -27363.000000 17837.000000 3.400000
4: -27163.000000 17837.000000 3.000000
5: -26963.000000 17837.000000 2.700000
6: -26763.000000 17837.000000 2.500000
7: -26563.000000 17837.000000 2.300000
8: -26363.000000 17837.000000 2.100000
9: -26163.000000 17837.000000 2.000000
10: -25963.000000 17837.000000 1.900000
11: -25763.000000 17837.000000 1.900000
12: -25563.000000 17837.000000 1.900000
13: -25363.000000 17837.000000 1.900000
14: -25163.000000 17837.000000 2.000000
15: -24963.000000 17837.000000 2.000000
16: -24763.000000 17837.000000 2.200000
17: -24563.000000 17837.000000 2.300000
18: -24363.000000 17837.000000 2.500000
19: -24163.000000 17837.000000 2.800000
20: -23963.000000 17837.000000 3.000000
21: -23763.000000 17837.000000 3.300000
22: -23563.000000 17837.000000 3.600000
23: -23363.000000 17837.000000 4.000000
24: -23163.000000 17837.000000 4.400000
25: -22963.000000 17837.000000 4.800000
26: -22763.000000 17837.000000 5.300000
27: -22563.000000 17837.000000 5.800000
28: -22363.000000 17837.000000 6.400000
29: -22163.000000 17837.000000 7.000000
30: -21963.000000 17837.000000 7.600000
31: -21763.000000 17837.000000 8.200000
32: -21563.000000 17837.000000 8.900000
33: -21363.000000 17837.000000 9.700000
34: -21163.000000 17837.000000 10.400000
35: -20963.000000 17837.000000 11.300000
36: -20763.000000 17837.000000 12.100000
37: -20563.000000 17837.000000 13.000000
38: -20363.000000 17837.000000 13.900000
39: -20163.000000 17837.000000 14.900000
40: -19963.000000 17837.000000 16.000000
41: -19763.000000 17837.000000 17.000000
42: -19563.000000 17837.000000 18.100000
43: -19363.000000 17837.000000 19.300000
44: -19163.000000 17837.000000 20.500000
45: -18963.000000 17837.000000 21.700000
46: -18763.000000 17837.000000 23.000000
47: -18563.000000 17837.000000 24.300000
48: -18363.000000 17837.000000 25.700000
49: -18163.000000 17837.000000 27.100000
50: -17963.000000 17837.000000 28.500000
51: -17763.000000 17837.000000 30.000000
52: -17563.000000 17837.000000 31.600000
53: -17363.000000 17837.000000 33.100000
54: -17163.000000 17837.000000 34.700000
55: -16963.000000 17837.000000 36.400000
56: -16763.000000 17837.000000 38.100000
57: -16563.000000 17837.000000 39.800000
58: -16363.000000 17837.000000 41.600000
59: -16163.000000 17837.000000 43.400000
60: -15963.000000 17837.000000 45.200000
61: -15763.000000 17837.000000 47.100000
62: -15563.000000 17837.000000 48.900000
63: -15363.000000 17837.000000 50.900000
64: -15163.000000 17837.000000 52.800000
65: -14963.000000 17837.000000 54.800000
66: -14763.000000 17837.000000 56.800000
67: -14563.000000 17837.000000 58.800000
68: -14363.000000 17837.000000 60.800000
69: -14163.000000 17837.000000 62.800000
70: -13963.000000 17837.000000 64.900000
71: -13763.000000 17837.000000 67.000000
72: -13563.000000 17837.000000 69.000000
73: -13363.000000 17837.000000 71.100000
74: -13163.000000 17837.000000 73.200000
75: -12963.000000 17837.000000 75.200000
76: -12763.000000 17837.000000 77.300000
77: -12563.000000 17837.000000 79.300000
78: -12363.000000 17837.000000 81.400000
79: -12163.000000 17837.000000 83.400000
80: -11963.000000 17837.000000 85.400000
81: -11763.000000 17837.000000 87.400000
82: -11563.000000 17837.000000 89.300000
83: -11363.000000 17837.000000 91.300000
84: -11163.000000 17837.000000 93.200000
85: -10963.000000 17837.000000 95.000000
86: -10763.000000 17837.000000 96.900000
87: -10563.000000 17837.000000 98.700000
88: -10363.000000 17837.000000 100.500000
89: -10163.000000 17837.000000 102.200000
90: -9963.000000 17837.000000 103.900000
91: -9763.000000 17837.000000 105.600000
92: -9563.000000 17837.000000 107.200000
93: -9363.000000 17837.000000 108.900000
94: -9163.000000 17837.000000 110.400000
95: -8963.000000 17837.000000 112.000000
96: -8763.000000 17837.000000 113.500000
97: -8563.000000 17837.000000 115.000000
98: -8363.000000 17837.000000 116.500000
99: -8163.000000 17837.000000 117.900000
100: -7963.000000 17837.000000 119.400000
101: -7763.000000 17837.000000 120.800000
102: -7563.000000 17837.000000 122.200000
103: -7363.000000 17837.000000 123.600000
104: -7163.000000 17837.000000 125.000000
105: -6963.000000 17837.000000 126.400000
