i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	686.0784	-1013.3140	678649.0784	3531149.6860	404931.4003	3.1617e+07
1	795.1378	-1195.4310	678758.1378	3530967.5690	454384.6790	3.0208e+07
2	912.3447	-1388.6918	678875.3447	3530774.3082	507351.7794	2.8863e+07
3	1039.4844	-1586.1148	679002.4844	3530576.8852	565622.0395	2.7579e+07
4	1176.3643	-1784.7328	679139.3643	3530378.2672	630781.9315	2.6352e+07
5	1321.7904	-1982.7290	679284.7904	3530180.2710	703310.4650	2.5180e+07
6	1474.3050	-2178.7195	679437.3050	3529984.2805	783031.9003	2.4061e+07
7	1634.3140	-2371.9243	679597.3140	3529791.0757	869349.8061	2.2992e+07
8	1799.6763	-2560.0895	679762.6763	3529602.9105	961072.9597	2.1971e+07
9	1966.9700	-2742.5406	679929.9700	3529420.4594	1057196.1778	2.0996e+07
10	2136.4548	-2918.9321	680099.4548	3529244.0679	1157150.8033	2.0064e+07
11	2308.7016	-3088.8225	680271.7016	3529074.1775	1260600.5783	1.9174e+07
12	2480.9698	-3253.5518	680443.9698	3528909.4482	1367246.9560	1.8324e+07
13	2655.9506	-3411.9214	680618.9506	3528751.0786	1476705.0083	1.7512e+07
14	2830.9364	-3565.2873	680793.9364	3528597.7127	1588671.0631	1.6737e+07
15	3007.0829	-3713.1512	680970.0829	3528449.8488	1702787.2321	1.5996e+07
16	3183.5969	-3855.9205	681146.5969	3528307.0795	1818730.0394	1.5288e+07
17	3360.4391	-3993.7193	681323.4391	3528169.2807	1936171.2332	1.4612e+07
18	3537.3420	-4126.6698	681500.3420	3528036.3302	2054792.1854	1.3965e+07
19	3714.3770	-4254.8046	681677.3770	3527908.1954	2174276.2628	1.3348e+07
20	3890.5882	-4378.7494	681853.5882	3527784.2506	2294329.1762	1.2759e+07
21	4067.2960	-4497.6028	682030.2960	3527665.3972	2414627.8438	1.2195e+07
22	4241.8628	-4613.3519	682204.8628	3527549.6481	2534918.4087	1.1657e+07
23	4417.6518	-4723.3534	682380.6518	3527439.6466	2654857.3323	1.1143e+07
24	4591.2643	-4830.3791	682554.2643	3527332.6209	2774216.8355	1.0651e+07
25	4763.9680	-4933.3564	682726.9680	3527229.6436	2892699.5588	1.0182e+07
26	4936.0912	-5032.0368	682899.0912	3527130.9632	3010030.1469	9.7331e+06
27	5105.8684	-5128.0030	683068.8684	3527034.9970	3125974.3993	9.3044e+06
28	5274.9503	-5220.0132	683237.9503	3526942.9868	3240249.4046	8.8948e+06
29	5442.5967	-5308.6694	683405.5967	3526854.3306	3352679.1657	8.5034e+06
30	5607.6910	-5394.9496	683570.6910	3526768.0504	3459846.0342	8.1293e+06
31	5771.0812	-5478.8789	683734.0812	3526684.1211	3568524.8702	7.7719e+06
32	5932.8946	-5560.4766	683895.8946	3526602.5234	3675055.0597	7.4304e+06
33	6091.9518	-5640.2635	684054.9518	3526522.7365	3779293.9957	7.1040e+06
34	6248.2940	-5718.2759	684211.2940	3526444.7241	3881091.7350	6.7920e+06
35	6403.4395	-5794.3024	684366.4395	3526368.6976	3980283.6293	6.4939e+06
36	6556.2035	-5868.5815	684519.2035	3526294.4185	4076762.9099	6.2090e+06
37	6706.2843	-5941.2030	684669.2843	3526221.7970	4170416.7846	5.9367e+06
38	6853.7179	-6012.1995	684816.7179	3526150.8005	4261135.3186	5.6765e+06
39	6999.1720	-6081.4774	684962.1720	3526081.5226	4348805.5593	5.4278e+06
40	7142.8205	-6149.0394	685105.8205	3526013.9606	4433330.8619	5.1900e+06
41	7283.8427	-6215.0830	685246.8427	3525947.9170	4514639.2258	4.9628e+06
42	7422.2683	-6279.6367	685385.2683	3525883.3633	4592650.2980	4.7456e+06
43	7558.1250	-6342.7282	685521.1250	3525820.2718	4667290.0393	4.5381e+06
44	7691.4389	-6404.3842	685654.4389	3525758.6158	4738490.3953	4.3396e+06
45	7822.9720	-6464.4624	685785.9720	3525698.5376	4806175.9253	4.1500e+06
46	7952.2427	-6523.1030	685915.2427	3525639.8970	4870298.6663	3.9687e+06
47	8078.9713	-6580.3988	686041.9713	3525582.6012	4930812.2797	3.7954e+06
48	8203.1785	-6636.3733	686166.1785	3525526.6267	4987670.1108	3.6297e+06
49	8324.8835	-6691.0489	686287.8835	3525471.9511	5040830.3827	3.4714e+06
50	8444.1041	-6744.4476	686407.1041	3525418.5524	5090256.0539	3.3200e+06
51	8560.8568	-6796.5907	686523.8568	3525366.4093	5135914.6956	3.1752e+06
52	8675.1570	-6847.4986	686638.1570	3525315.5014	5177778.3860	3.0369e+06
53	8787.0187	-6897.1913	686750.0187	3525265.8087	5215823.6205	2.9046e+06
54	8896.4548	-6945.6881	686859.4548	3525217.3119	5250031.2342	2.7781e+06
55	8993.9172	-6988.6877	686956.9172	3525174.3123	5279586.7188	2.6572e+06
56	9087.8719	-7030.0292	687050.8719	3525132.9708	5305186.6154	2.5416e+06
57	9181.4146	-7071.1247	687144.4146	3525091.8753	5327082.5230	2.4311e+06
58	9274.5375	-7111.9840	687237.5375	3525051.0160	5345270.6992	2.3254e+06
59	9367.2331	-7152.6166	687330.2331	3525010.3834	5359751.5870	2.2244e+06
60	9459.4937	-7193.0322	687422.4937	3524969.9678	5370529.7897	2.1278e+06
61	9551.3118	-7233.2401	687514.3118	3524929.7599	5377614.0523	2.0354e+06
62	9642.9147	-7273.3513	687605.9147	3524889.6487	5377614.0523	1.9471e+06
63	9734.5176	-7313.4624	687697.5176	3524849.5376	5377614.0523	1.8626e+06
64	9826.1206	-7353.5735	687789.1206	3524809.4265	5377614.0523	1.7819e+06
65	9917.7235	-7393.6846	687880.7235	3524769.3154	5377614.0523	1.7047e+06
66	10009.3265	-7433.7957	687972.3265	3524729.2043	5377614.0523	1.6308e+06
67	10100.9294	-7473.9068	688063.9294	3524689.0932	5377614.0523	1.5602e+06
68	10192.5323	-7514.0179	688155.5323	3524648.9821	5377614.0523	1.4927e+06
69	10284.1353	-7554.1290	688247.1353	3524608.8710	5377614.0523	1.4281e+06
70	10375.7382	-7594.2401	688338.7382	3524568.7599	5377614.0523	1.3663e+06
71	10467.3412	-7634.3512	688430.3412	3524528.6488	5377614.0523	1.3072e+06
72	10558.9441	-7674.4623	688521.9441	3524488.5377	5377614.0523	1.2507e+06
73	10650.5471	-7714.5734	688613.5471	3524448.4266	5377614.0523	1.1967e+06
74	10742.1500	-7754.6846	688705.1500	3524408.3154	5377614.0523	1.1450e+06
75	10833.7529	-7794.7957	688796.7529	3524368.2043	5377614.0523	1.0956e+06
76	10925.3559	-7834.9068	688888.3559	3524328.0932	5377614.0523	1.0483e+06
77	11016.9588	-7875.0179	688979.9588	3524287.9821	5377614.0523	1.0031e+06
78	11108.5618	-7915.1290	689071.5618	3524247.8710	5377614.0523	9.5988e+05
79	11200.1647	-7955.2401	689163.1647	3524207.7599	5377614.0523	9.1852e+05
80	11291.7676	-7995.3512	689254.7676	3524167.6488	5377614.0523	8.7895e+05
81	11383.3706	-8035.4623	689346.3706	3524127.5377	5377614.0523	8.4111e+05
82	11474.9735	-8075.5734	689437.9735	3524087.4266	5377614.0523	8.0491e+05
83	11566.5765	-8115.6845	689529.5765	3524047.3155	5377614.0523	7.7028e+05
84	11658.1794	-8155.7956	689621.1794	3524007.2044	5377614.0523	7.3715e+05
85	11749.7824	-8195.9068	689712.7824	3523967.0932	5377614.0523	7.0546e+05
86	11841.3853	-8236.0179	689804.3853	3523926.9821	5377614.0523	6.7514e+05
87	11932.9882	-8276.1290	689895.9882	3523886.8710	5377614.0523	6.4614e+05
88	12024.5912	-8316.2401	689987.5912	3523846.7599	5377614.0523	6.1840e+05
89	12116.1941	-8356.3512	690079.1941	3523806.6488	5377614.0523	5.9185e+05
90	12207.7971	-8396.4623	690170.7971	3523766.5377	5377614.0523	5.6646e+05
91	12299.4000	-8436.5734	690262.4000	3523726.4266	5377614.0523	5.4217e+05
92	12391.0029	-8476.6845	690354.0029	3523686.3155	5377614.0523	5.1892e+05
93	12482.6059	-8516.7956	690445.6059	3523646.2044	5377614.0523	4.9668e+05
94	12574.2088	-8556.9067	690537.2088	3523606.0933	5377614.0523	4.7541e+05
95	12665.8118	-8597.0178	690628.8118	3523565.9822	5377614.0523	4.5505e+05
96	12757.4147	-8637.1289	690720.4147	3523525.8711	5377614.0523	4.3557e+05
97	12849.0177	-8677.2401	690812.0177	3523485.7599	5377614.0523	4.1693e+05
98	12940.6206	-8717.3512	690903.6206	3523445.6488	5377614.0523	3.9910e+05
99	13032.2235	-8757.4623	690995.2235	3523405.5377	5377614.0523	3.8204e+05
100	13123.8265	-8797.5734	691086.8265	3523365.4266	5377614.0523	3.6571e+05
101	13215.4294	-8837.6845	691178.4294	3523325.3155	5377614.0523	3.5009e+05
102	13307.0324	-8877.7956	691270.0324	3523285.2044	5377614.0523	3.3514e+05
103	13398.6353	-8917.9067	691361.6353	3523245.0933	5377614.0523	3.2083e+05
104	13490.2383	-8958.0178	691453.2383	3523204.9822	5377614.0523	3.0714e+05
105	13581.8412	-8998.1289	691544.8412	3523164.8711	5377614.0523	2.9404e+05
106	13673.4441	-9038.2400	691636.4441	3523124.7600	5377614.0523	2.8150e+05
107	13765.0471	-9078.3511	691728.0471	3523084.6489	5377614.0523	2.6950e+05
108	13856.6500	-9118.4623	691819.6500	3523044.5377	5377614.0523	2.5802e+05
109	13948.2530	-9158.5734	691911.2530	3523004.4266	5377614.0523	2.4703e+05
110	14039.8559	-9198.6845	692002.8559	3522964.3155	5377614.0523	2.3651e+05
111	14131.4588	-9238.7956	692094.4588	3522924.2044	5377614.0523	2.2644e+05
112	14223.0618	-9278.9067	692186.0618	3522884.0933	5377614.0523	2.1681e+05
113	14314.6647	-9319.0178	692277.6647	3522843.9822	5377614.0523	2.0759e+05
114	14406.2677	-9359.1289	692369.2677	3522803.8711	5377614.0523	1.9876e+05
115	14497.8706	-9399.2400	692460.8706	3522763.7600	5377614.0523	1.9032e+05
116	14589.4736	-9439.3511	692552.4736	3522723.6489	5377614.0523	1.8223e+05
117	14681.0765	-9479.4622	692644.0765	3522683.5378	5377614.0523	1.7449e+05
118	14772.6794	-9519.5733	692735.6794	3522643.4267	5377614.0523	1.6709e+05
119	14864.2824	-9559.6844	692827.2824	3522603.3156	5377614.0523	1.6000e+05
120	14955.8853	-9599.7956	692918.8853	3522563.2044	5377614.0523	1.5321e+05
121	15047.4883	-9639.9067	693010.4883	3522523.0933	5377614.0523	1.4671e+05
122	15139.0912	-9680.0178	693102.0912	3522482.9822	5377614.0523	1.4049e+05
123	15230.6941	-9720.1289	693193.6941	3522442.8711	5377614.0523	1.3454e+05
124	15322.2971	-9760.2400	693285.2971	3522402.7600	5377614.0523	1.2884e+05
125	15413.9000	-9800.3511	693376.9000	3522362.6489	5377614.0523	1.2339e+05
126	15505.5030	-9840.4622	693468.5030	3522322.5378	5377614.0523	1.1816e+05
127	15597.1059	-9880.5733	693560.1059	3522282.4267	5377614.0523	1.1316e+05
128	15688.7089	-9920.6844	693651.7089	3522242.3156	5377614.0523	1.0838e+05
