i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
0	157497.8888	-232775.5298	835460.8888	3299387.4702	27853059880.8706	2.6870e+04
1	180049.1682	-270436.3269	858012.1682	3261726.6731	32954877652.4109	2.6859e+04
2	203025.4268	-308196.7207	880988.4268	3223966.2793	38248603119.9148	2.6849e+04
3	227245.6664	-345721.0720	905208.6664	3186441.9280	43752927969.3281	2.6839e+04
4	252819.7096	-382765.8314	930782.7096	3149397.1686	49453730252.0190	2.6829e+04
5	279536.0844	-419099.9438	957499.0844	3113063.0562	55316287789.1254	2.6818e+04
6	307088.0086	-454520.2414	985051.0086	3077642.7586	61299892488.4587	2.6808e+04
7	335645.1421	-488972.8320	1013608.1421	3043190.1680	67363595376.9545	2.6798e+04
8	364730.4524	-521978.7713	1042693.4524	3010184.2287	73468797675.5809	2.6788e+04
9	393555.7341	-553422.3769	1071518.7341	2978740.6231	79601025158.2148	2.6777e+04
10	422272.4243	-583324.6498	1100235.4243	2948838.3502	85754297539.1889	2.6767e+04
11	451103.7536	-611661.1443	1129066.7536	2920501.8557	91920889207.3381	2.6757e+04
12	479371.4100	-638764.1668	1157334.4100	2893398.8332	98098003070.7875	2.6747e+04
13	507839.6706	-664426.7954	1185802.6706	2867736.2046	104272812103.1178	2.6736e+04
14	535822.4488	-688964.8648	1213785.4488	2843198.1352	110441658655.4991	2.6726e+04
15	563663.2184	-712300.6328	1241626.2184	2819862.3672	116593715826.7928	2.6716e+04
16	591180.9869	-734538.7753	1269143.9869	2797624.2247	122721703920.5586	2.6706e+04
17	618390.5252	-755725.3304	1296353.5252	2776437.6696	128816978931.8068	2.6695e+04
18	645247.4879	-775896.7580	1323210.4879	2756266.2420	134871348880.4984	2.6685e+04
19	671793.2425	-795072.3727	1349756.2425	2737090.6273	140876050252.6408	2.6675e+04
20	697788.4036	-813398.3683	1375751.4036	2718764.6317	146824775814.1395	2.6665e+04
21	723618.8564	-830677.4548	1401581.8564	2701485.5452	152705963447.5103	2.6655e+04
22	748570.0612	-847366.7249	1426533.0612	2684796.2751	158517986976.8908	2.6645e+04
23	773602.6982	-862860.9486	1451565.6982	2669302.0514	164244036067.6128	2.6634e+04
24	797779.6063	-877801.9590	1475742.6063	2654361.0410	169885174546.0577	2.6624e+04
25	821475.9377	-891940.5939	1499438.9377	2640222.4061	175430239963.1075	2.6614e+04
26	844799.6942	-905219.4125	1522762.6942	2626943.5875	180870689607.2661	2.6604e+04
27	867264.8026	-918008.0274	1545227.8026	2614154.9726	186204296826.4483	2.6594e+04
28	889351.2730	-930013.5942	1567314.2730	2602149.4058	191418597371.2695	2.6583e+04
29	910863.2783	-941375.7879	1588826.2783	2590787.2121	196508945914.9096	2.6573e+04
30	931520.6407	-952285.5535	1609483.6407	2579877.4465	201468910474.2173	2.6563e+04
31	951630.1892	-962661.2019	1629593.1892	2569501.7981	206295124682.4623	2.6553e+04
32	971237.5665	-972504.2645	1649200.5665	2559658.7355	210980238382.5544	2.6543e+04
33	990015.9654	-981930.7618	1667978.9654	2550232.2382	215525762949.4208	2.6533e+04
34	1007983.1471	-990949.6249	1685946.1471	2541213.3751	219928609163.0656	2.6523e+04
35	1025580.0862	-999528.3290	1703543.0862	2532634.6710	224178915902.4901	2.6512e+04
36	1042472.4240	-1007708.9677	1720435.4240	2524454.0323	228279813229.7945	2.6502e+04
37	1058578.8524	-1015508.6611	1736541.8524	2516654.3389	232230617517.9836	2.6492e+04
38	1073914.4682	-1022934.7354	1751877.4682	2509228.2646	236029263202.9921	2.6482e+04
39	1088676.6528	-1029971.4951	1766639.6528	2502191.5049	239670710006.4815	2.6472e+04
40	1102919.9110	-1036620.4744	1780882.9110	2495542.5256	243152481104.3982	2.6462e+04
41	1116411.5372	-1042918.3144	1794374.5372	2489244.6856	246477313515.7488	2.6452e+04
42	1129164.0897	-1048870.8916	1807127.0897	2483292.1084	249643878308.9224	2.6442e+04
43	1141189.4551	-1054483.7692	1819152.4551	2477679.2308	252650999790.6050	2.6432e+04
44	1152498.8804	-1059762.2116	1830461.8804	2472400.7884	255497647652.2794	2.6421e+04
45	1163317.4176	-1064678.8892	1841280.4176	2467484.1108	258179034426.1172	2.6411e+04
46	1173508.5177	-1069260.6047	1851471.5177	2462902.3953	260697012429.5120	2.6401e+04
47	1182994.1721	-1073525.0006	1860957.1721	2458637.9994	263052543564.1623	2.6391e+04
48	1191783.6324	-1077476.2498	1869746.6324	2454686.7502	265245127549.1648	2.6381e+04
49	1199885.6444	-1081118.2976	1877848.6444	2451044.7024	267274383606.4133	2.6371e+04
50	1207308.4757	-1084454.8746	1885271.4757	2447708.1254	269140047477.0109	2.6361e+04
51	1214059.9422	-1087489.5078	1892022.9422	2444673.4922	270841968918.1571	2.6351e+04
52	1220147.4327	-1090225.5325	1898110.4327	2441937.4675	272380109622.1003	2.6341e+04
53	1225577.9334	-1092666.1028	1903540.9334	2439496.8972	273754541507.6766	2.6331e+04
54	1230358.0504	-1094814.2020	1908321.0504	2437348.7980	274965445342.6276	2.6321e+04
55	1232025.1470	-1095556.9439	1909988.1470	2436606.0561	275384227313.6970	2.6311e+04
56	1232768.7015	-1095883.7701	1910731.7015	2436279.2299	275565945717.3293	2.6301e+04
57	1233391.1881	-1096157.3248	1911354.1881	2436005.6752	275714709867.2355	2.6291e+04
58	1233893.6113	-1096378.0625	1911856.6113	2435784.9375	275830763110.7986	2.6281e+04
59	1234276.9225	-1096546.4142	1912239.9225	2435616.5858	275914341468.8997	2.6271e+04
60	1234542.0233	-1096662.7892	1912505.0233	2435500.2108	275965674379.4941	2.6261e+04
61	1234689.7687	-1096727.5760	1912652.7687	2435435.4240	275984985431.8572	2.6251e+04
62	1234781.3716	-1096767.6871	1912744.3716	2435395.3129	275984985431.8572	2.6241e+04
63	1234872.9746	-1096807.7982	1912835.9746	2435355.2018	275984985431.8572	2.6231e+04
64	1234964.5775	-1096847.9093	1912927.5775	2435315.0907	275984985431.8572	2.6221e+04
65	1235056.1804	-1096888.0204	1913019.1804	2435274.9796	275984985431.8572	2.6211e+04
66	1235147.7834	-1096928.1315	1913110.7834	2435234.8685	275984985431.8572	2.6201e+04
67	1235239.3863	-1096968.2427	1913202.3863	2435194.7573	275984985431.8572	2.6191e+04
68	1235330.9893	-1097008.3538	1913293.9893	2435154.6462	275984985431.8572	2.6181e+04
69	1235422.5922	-1097048.4649	1913385.5922	2435114.5351	275984985431.8572	2.6171e+04
70	1235514.1951	-1097088.5760	1913477.1951	2435074.4240	275984985431.8572	2.6161e+04
71	1235605.7981	-1097128.6871	1913568.7981	2435034.3129	275984985431.8572	2.6151e+04
72	1235697.4010	-1097168.7982	1913660.4010	2434994.2018	275984985431.8572	2.6141e+04
73	1235789.0040	-1097208.9093	1913752.0040	2434954.0907	275984985431.8572	2.6131e+04
74	1235880.6069	-1097249.0204	1913843.6069	2434913.9796	275984985431.8572	2.6121e+04
75	1235972.2099	-1097289.1315	1913935.2099	2434873.8685	275984985431.8572	2.6111e+04
76	1236063.8128	-1097329.2426	1914026.8128	2434833.7574	275984985431.8572	2.6101e+04
77	1236155.4157	-1097369.3537	1914118.4157	2434793.6463	275984985431.8572	2.6091e+04
78	1236247.0187	-1097409.4649	1914210.0187	2434753.5351	275984985431.8572	2.6081e+04
79	1236338.6216	-1097449.5760	1914301.6216	2434713.4240	275984985431.8572	2.6071e+04
80	1236430.2246	-1097489.6871	1914393.2246	2434673.3129	275984985431.8572	2.6061e+04
81	1236521.8275	-1097529.7982	1914484.8275	2434633.2018	275984985431.8572	2.6051e+04
82	1236613.4304	-1097569.9093	1914576.4304	2434593.0907	275984985431.8572	2.6041e+04
83	1236705.0334	-1097610.0204	1914668.0334	2434552.9796	275984985431.8572	2.6031e+04
84	1236796.6363	-1097650.1315	1914759.6363	2434512.8685	275984985431.8572	2.6021e+04
85	1236888.2393	-1097690.2426	1914851.2393	2434472.7574	275984985431.8572	2.6011e+04
86	1236979.8422	-1097730.3537	1914942.8422	2434432.6463	275984985431.8572	2.6001e+04
87	1237071.4452	-1097770.4648	1915034.4452	2434392.5352	275984985431.8572	2.5991e+04
88	1237163.0481	-1097810.5759	1915126.0481	2434352.4241	275984985431.8572	2.5982e+04
89	1237254.6510	-1097850.6870	1915217.6510	2434312.3130	275984985431.8572	2.5972e+04
90	1237346.2540	-1097890.7982	1915309.2540	2434272.2018	275984985431.8572	2.5962e+04
91	1237437.8569	-1097930.9093	1915400.8569	2434232.0907	275984985431.8572	2.5952e+04
92	1237529.4599	-1097971.0204	1915492.4599	2434191.9796	275984985431.8572	2.5942e+04
