z	h(m)	phi-4.0	phi-3.0	phi-2.0	phi-1.0	phi0.0	phi1.0	phi2.0	phi3.0	phi4.0	phi5.0
36	3518.8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	3500.0	19.2269	27.1910	38.4539	54.3820	96.1873	192.3746	384.7492	993.9891	3975.9563	15903.8251
34	3400.0	121.3783	171.6548	242.7566	343.3096	606.1870	1212.3740	2424.7481	6242.9079	24971.6315	99886.5261
33	3300.0	221.1159	312.7052	442.2319	625.4103	1103.1260	2206.2519	4412.5039	11336.6746	45346.6986	181386.7944
32	3200.0	318.4174	450.3103	636.8349	900.6205	1586.9434	3173.8868	6347.7736	16275.8408	65103.3632	260413.4526
31	3100.0	413.2618	584.4405	826.5237	1168.8810	2057.5864	4115.1728	8230.3457	21061.0384	84244.1538	336976.6151
30	3000.0	505.6296	715.0683	1011.2593	1430.1366	2515.0101	5030.0202	10060.0405	25692.9801	102771.9202	411087.6808
29	2900.0	595.3764	841.9894	1190.7528	1683.9787	2958.5523	5917.1045	11834.2091	30166.1508	120664.6032	482658.4129
28	2800.0	682.3391	964.9732	1364.6782	1929.9465	3387.4635	6774.9270	13549.8539	34474.2349	137896.9395	551587.7578
27	2700.0	766.4314	1083.8977	1532.8628	2167.7954	3801.3760	7602.7521	15205.5042	38614.8188	154459.2750	617837.1002
26	2600.0	847.5740	1198.6506	1695.1480	2397.3013	4199.9594	8399.9189	16799.8378	42585.8968	170343.5872	681374.3489
25	2500.0	925.6947	1309.1301	1851.3895	2618.2601	4582.9208	9165.8417	18331.6834	46385.8693	185543.4773	742173.9092
24	2400.0	1000.7290	1415.2445	2001.4579	2830.4890	4950.0054	9900.0108	19800.0217	50013.5401	200054.1606	800216.6423
23	2300.0	1072.6195	1516.9130	2145.2389	3033.8260	5300.9967	10601.9935	21203.9870	53468.1133	213872.4531	855489.8126
22	2200.0	1141.3166	1614.0655	2282.6333	3228.1309	5635.7169	11271.4339	22542.8678	56749.1890	226996.7559	907987.0237
21	2100.0	1206.7786	1706.6427	2413.5572	3413.2854	5954.0269	11908.0538	23816.1076	59856.7589	239427.0354	957708.1418
20	2000.0	1268.9713	1794.5964	2537.9425	3589.1927	6255.8264	12511.6527	25023.3055	62791.2005	251164.8020	1004659.2081
19	1900.0	1327.6280	1877.5495	2655.2560	3755.0991	6539.8900	13079.7799	26159.5598	65542.0002	262168.0009	1048672.0035
18	1800.0	1381.1670	1953.2652	2762.3341	3906.5303	6798.6435	13597.2869	27194.5738	68037.5488	272150.1952	1088600.7809
17	1700.0	1429.7167	2021.9247	2859.4334	4043.8495	7032.8074	14065.6149	28131.2298	70286.7915	281147.1660	1124588.6639
16	1600.0	1473.4242	2083.7364	2946.8483	4167.4729	7243.1891	14486.3782	28972.7564	72299.4057	289197.6230	1156790.4919
15	1500.0	1512.4552	2138.9347	3024.9104	4277.8693	7430.6801	14861.3603	29722.7205	74085.7683	296343.0733	1185372.2932
14	1400.0	1547.9906	2189.1893	3095.9813	4378.3787	7601.0333	15202.0666	30404.1332	75702.2687	302809.0748	1211236.2993
13	1300.0	1582.1006	2237.4282	3164.2012	4474.8563	7764.2214	15528.4428	31056.8857	77244.5042	308978.0167	1235912.0667
12	1200.0	1614.6997	2283.5302	3229.3993	4567.0603	7919.8646	15839.7291	31679.4583	78709.4739	314837.8956	1259351.5822
11	1100.0	1645.7013	2327.3731	3291.4026	4654.7462	8067.5808	16135.1616	32270.3231	80094.1985	320376.7939	1281507.1758
10	1000.0	1675.0182	2368.8334	3350.0364	4737.6669	8206.9862	16413.9724	32827.9448	81395.7204	325582.8818	1302331.5271
9	900.0	1698.4113	2401.9163	3396.8227	4803.8327	8317.9979	16635.9957	33271.9915	82427.9518	329711.8072	1318847.2286
8	800.0	1713.9854	2423.9414	3427.9708	4847.8828	8391.7543	16783.5087	33567.0173	83110.9902	332443.9609	1329775.8437
7	700.0	1726.3621	2441.4447	3452.7241	4882.8893	8450.2496	16900.4993	33800.9986	83650.5043	334602.0170	1338408.0681
6	600.0	1738.8145	2459.0551	3477.6291	4918.1102	8508.9838	17017.9676	34035.9352	84190.0261	336760.1046	1347040.4183
5	500.0	1751.3468	2476.7784	3502.6936	4953.5568	8567.9744	17135.9487	34271.8974	84729.7079	338918.8315	1355675.3262
4	400.0	1763.9630	2494.6204	3527.9260	4989.2408	8627.2397	17254.4794	34508.9587	85269.7063	341078.8253	1364315.3012
3	300.0	1776.6637	2512.5819	3553.3275	5025.1639	8686.7810	17373.5620	34747.1240	85810.0215	343240.0859	1372960.3436
2	200.0	1789.4495	2530.6638	3578.8990	5061.3276	8746.5996	17493.1992	34986.3984	86350.6534	345402.6134	1381610.4537
1	100.0	1800.2408	2545.9250	3600.4816	5091.8499	8796.9845	17593.9689	35187.9379	86804.1795	347216.7179	1388866.8717
0	0.0	1805.6695	2553.6023	3611.3390	5107.2046	8822.2798	17644.5596	35289.1191	87030.9461	348123.7844	1392495.1377
