z	h(m)	phi-4.0	phi-3.0	phi-2.0	phi-1.0	phi0.0	phi1.0	phi2.0	phi3.0	phi4.0	phi5.0
36	3518.8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	3500.0	-8.4191	-11.9064	-16.8382	-23.8128	-42.1185	-84.2370	-168.4740	-435.2481	-1740.9923	-6963.9691
34	3400.0	-53.4765	-75.6271	-106.9529	-151.2543	-267.0715	-534.1430	-1068.2859	-2750.4648	-11001.8590	-44007.4362
33	3300.0	-99.1792	-140.2605	-198.3583	-280.5210	-494.7833	-989.5666	-1979.1332	-5084.5762	-20338.3050	-81353.2198
32	3200.0	-145.4557	-205.7054	-290.9113	-411.4107	-724.8864	-1449.7728	-2899.5455	-7433.6387	-29734.5548	-118938.2192
31	3100.0	-192.2335	-271.8592	-384.4670	-543.7184	-957.0105	-1914.0209	-3828.0419	-9793.7282	-39174.9129	-156699.6517
30	3000.0	-239.4393	-338.6183	-478.8785	-677.2365	-1190.7828	-2381.5656	-4763.1312	-12160.9423	-48643.7691	-194575.0765
29	2900.0	-288.4314	-407.9035	-576.8627	-815.8071	-1432.9092	-2865.8185	-5731.6370	-14602.8136	-58411.2546	-233645.0183
28	2800.0	-340.0522	-480.9064	-680.1043	-961.8128	-1687.5096	-3375.0192	-6750.0384	-17160.0790	-68640.3159	-274561.2638
27	2700.0	-394.1560	-557.4208	-788.3120	-1114.8415	-1953.8152	-3907.6304	-7815.2609	-19824.0733	-79296.2933	-317185.1733
26	2600.0	-450.5938	-637.2358	-901.1875	-1274.4716	-2231.0453	-4462.0906	-8924.1813	-22586.1109	-90344.4438	-361377.7751
25	2500.0	-509.2134	-720.1365	-1018.4268	-1440.2730	-2518.4088	-5036.8175	-10073.6351	-25437.5034	-101750.0134	-407000.0538
24	2400.0	-569.8600	-805.9037	-1139.7200	-1611.8074	-2815.1058	-5630.2116	-11260.4232	-28369.5773	-113478.3091	-453913.2366
