z	h(m)	phi-4.0	phi-3.0	phi-2.0	phi-1.0	phi0.0	phi1.0	phi2.0	phi3.0	phi4.0	phi5.0
36	3518.8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	3500.0	0.8013	1.1332	1.6025	2.2663	3.8487	7.6975	15.3949	36.6654	146.6617	586.6468
34	3400.0	5.0694	7.1692	10.1387	14.3383	24.3370	48.6740	97.3479	231.6023	926.4093	3705.6371
33	3300.0	9.3600	13.2371	18.7200	26.4741	44.9117	89.8233	179.6467	426.9450	1707.7800	6831.1200
32	3200.0	13.6733	19.3370	27.3467	38.6740	65.5729	131.1458	262.2916	622.6930	2490.7720	9963.0881
31	3100.0	18.0093	25.4690	36.0186	50.9380	86.3208	172.6417	345.2833	818.8459	3275.3835	13101.5339
30	3000.0	22.3669	31.6316	44.7339	63.2632	107.1511	214.3021	428.6042	1015.3774	4061.5096	16246.0385
29	2900.0	26.7468	37.8257	53.4936	75.6514	128.0641	256.1282	512.2563	1212.2442	4848.9767	19395.9067
28	2800.0	31.1508	44.0539	62.3016	88.1078	149.0650	298.1301	596.2601	1409.4286	5637.7143	22550.8570
27	2700.0	35.5790	50.3163	71.1580	100.6325	170.1541	340.3082	680.6163	1606.9303	6427.7213	25710.8852
26	2600.0	40.0314	56.6130	80.0628	113.2259	191.3314	382.6629	765.3257	1804.7492	7218.9967	28875.9870
25	2500.0	44.5082	62.9441	89.0164	125.8882	212.5973	425.1945	850.3891	2002.8849	8011.5395	32046.1579
24	2400.0	49.0094	69.3098	98.0188	138.6195	233.9518	467.9035	935.8071	2201.3371	8805.3484	35221.3936
23	2300.0	53.5351	75.7101	107.0703	151.4203	255.3951	510.7903	1021.5805	2400.1056	9600.4225	38401.6899
22	2200.0	58.0855	82.1453	116.1710	164.2906	276.9275	553.8551	1107.7102	2599.1902	10396.7606	41587.0425
21	2100.0	62.6605	88.6154	125.3210	177.2307	298.5492	597.0984	1194.1967	2798.5904	11194.3618	44777.4470
20	2000.0	67.2599	95.1199	134.5199	190.2398	320.2585	640.5170	1281.0341	2998.2932	11993.1727	47972.6908
19	1900.0	71.8853	101.6611	143.7706	203.3223	342.0567	684.1135	1368.2269	3198.1967	12792.7868	51171.1472
18	1800.0	76.5386	108.2419	153.0772	216.4839	363.9468	727.8937	1455.7874	3398.2124	13592.8495	54371.3981
17	1700.0	81.2201	114.8625	162.4401	229.7250	385.9292	771.8584	1543.7168	3598.3402	14393.3608	57573.4433
16	1600.0	85.9298	121.5231	171.8596	243.0462	408.0041	816.0083	1632.0165	3798.5802	15194.3207	60777.2828
15	1500.0	90.6677	128.2235	181.3353	256.4469	430.1703	860.3407	1720.6813	3998.9144	15995.6577	63982.6306
14	1400.0	95.4346	134.9650	190.8693	269.9299	452.4287	904.8574	1809.7147	4199.2883	16797.1530	67188.6122
13	1300.0	100.2320	141.7495	200.4641	283.4990	474.7818	949.5635	1899.1270	4399.6649	17598.6598	70394.6391
12	1200.0	105.0601	148.5774	210.1201	297.1547	497.2299	994.4599	1988.9198	4600.0445	18400.1780	73600.7120
11	1100.0	109.9189	155.4488	219.8378	310.8976	519.7737	1039.5474	2079.0947	4800.4270	19201.7078	76806.8314
10	1000.0	114.8073	162.3621	229.6146	324.7241	542.4117	1084.8235	2169.6469	5000.8865	20003.5461	80014.1844
9	900.0	119.7240	169.3153	239.4480	338.6307	565.1435	1130.2869	2260.5739	5201.5170	20806.0680	83224.2721
8	800.0	124.6684	176.3078	249.3369	352.6156	587.9688	1175.9376	2351.8752	5402.3647	21609.4588	86437.8352
7	700.0	129.6400	183.3387	259.2800	366.6774	610.8875	1221.7750	2443.5500	5603.4730	22413.8919	89655.5676
6	600.0	134.6383	190.4072	269.2765	380.8145	633.8988	1267.7977	2535.5953	5804.8641	23219.4566	92877.8263
5	500.0	139.6631	197.5134	279.3261	395.0268	657.0029	1314.0058	2628.0116	6006.5497	24026.1989	96104.7956
4	400.0	144.7149	204.6578	289.4298	409.3156	680.2013	1360.4026	2720.8052	6208.5355	24834.1419	99336.5678
3	300.0	149.7939	211.8406	299.5878	423.6812	703.4943	1406.9885	2813.9771	6410.8212	25643.2848	102573.1392
2	200.0	154.8979	219.0587	309.7958	438.1174	726.8756	1453.7512	2907.5024	6613.4219	26453.6875	105814.7501
1	100.0	160.0262	226.3112	320.0524	452.6225	750.3450	1500.6900	3001.3800	6816.3774	27265.5095	109062.0381
0	0.0	165.1806	233.6007	330.3613	467.2014	773.9086	1547.8171	3095.6343	7019.7123	28078.8492	112315.3967
