x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
650000	3550000	5	33167.6	1.7554e-07	100.0000	4.7812	1.3714e-07	3.8403e-08	8.1807e-14	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
651000	3550000	3	32329.0	1.8441e-07	100.0000	4.7694	1.4189e-07	4.2514e-08	1.1506e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
652000	3550000	2	31499.8	1.9266e-07	100.0000	4.7582	1.4608e-07	4.6576e-08	1.5879e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
653000	3550000	2	30680.8	2.0048e-07	100.0000	4.7474	1.4984e-07	5.0634e-08	2.1609e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
654000	3550000	3	29872.8	2.0778e-07	100.0000	4.7371	1.5315e-07	5.4631e-08	2.8999e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
655000	3550000	5	29076.8	2.1458e-07	100.0000	4.7271	1.5603e-07	5.8554e-08	3.8442e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
656000	3550000	8	28293.7	2.2057e-07	100.0000	4.7178	1.5833e-07	6.2243e-08	5.0199e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
657000	3550000	11	27524.6	2.2576e-07	100.0000	4.7091	1.6008e-07	6.5674e-08	6.4680e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
658000	3550000	16	26770.9	2.2991e-07	100.0000	4.7011	1.6119e-07	6.8714e-08	8.2119e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
659000	3550000	22	26033.7	2.3292e-07	100.0000	4.6939	1.6164e-07	7.1284e-08	1.0273e-12	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
660000	3550000	28	25314.6	2.3455e-07	100.0000	4.6877	1.6131e-07	7.3237e-08	1.2643e-12	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
