x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
650000	3550000	5	33167.6	1.5523e-08	100.0000	4.0000	0.0000e+00	1.5523e-08	8.1806e-14	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
650500	3550000	4	32747.1	1.6164e-08	100.0000	4.0000	0.0000e+00	1.6164e-08	9.7323e-14	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
651000	3550000	3	32329.0	1.6780e-08	100.0000	4.0000	0.0000e+00	1.6779e-08	1.1506e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
651500	3550000	2	31913.1	1.7377e-08	100.0000	4.0000	0.0000e+00	1.7377e-08	1.3538e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
652000	3550000	2	31499.8	1.7968e-08	100.0000	4.0000	0.0000e+00	1.7967e-08	1.5879e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
652500	3550000	2	31089.0	1.8536e-08	100.0000	4.0000	0.0000e+00	1.8536e-08	1.8539e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
653000	3550000	2	30680.8	1.9106e-08	100.0000	4.0000	0.0000e+00	1.9106e-08	2.1609e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
653500	3550000	2	30275.4	1.9650e-08	100.0000	4.0000	0.0000e+00	1.9650e-08	2.5072e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
654000	3550000	3	29872.8	2.0179e-08	100.0000	4.0000	0.0000e+00	2.0179e-08	2.8999e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
654500	3550000	4	29473.2	2.0692e-08	100.0000	4.0000	0.0000e+00	2.0692e-08	3.3440e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
655000	3550000	5	29076.8	2.1187e-08	100.0000	4.0000	0.0000e+00	2.1187e-08	3.8442e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
655500	3550000	6	28683.5	2.1648e-08	100.0000	4.0000	0.0000e+00	2.1648e-08	4.3995e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
656000	3550000	8	28293.7	2.2087e-08	100.0000	4.0000	0.0000e+00	2.2086e-08	5.0199e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
