resolution x y mass_100 mass_res abs_diff rel_diff
300 650100 3549900 1.77400000e-07 1.77400000e-07 0.00000000e+00 0.00000000e+00
300 650400 3549900 1.80130000e-07 1.80130000e-07 0.00000000e+00 0.00000000e+00
300 650700 3549900 1.82820000e-07 1.82820000e-07 0.00000000e+00 0.00000000e+00
300 651000 3549900 1.85370000e-07 1.85370000e-07 0.00000000e+00 0.00000000e+00
300 651300 3549900 1.87970000e-07 1.87970000e-07 0.00000000e+00 0.00000000e+00
300 651600 3549900 1.90420000e-07 1.90420000e-07 0.00000000e+00 0.00000000e+00
300 651900 3549900 1.92910000e-07 1.92910000e-07 0.00000000e+00 0.00000000e+00
300 652200 3549900 1.95250000e-07 1.95250000e-07 0.00000000e+00 0.00000000e+00
300 652500 3549900 1.97630000e-07 1.97630000e-07 0.00000000e+00 0.00000000e+00
300 652800 3549900 2.00040000e-07 2.00040000e-07 0.00000000e+00 0.00000000e+00
300 653100 3549900 2.02300000e-07 2.02300000e-07 0.00000000e+00 0.00000000e+00
300 653400 3549900 2.04580000e-07 2.04580000e-07 0.00000000e+00 0.00000000e+00
300 653700 3549900 2.06800000e-07 2.06800000e-07 0.00000000e+00 0.00000000e+00
300 654000 3549900 2.08940000e-07 2.08940000e-07 0.00000000e+00 0.00000000e+00
300 654300 3549900 2.11010000e-07 2.11010000e-07 0.00000000e+00 0.00000000e+00
300 654600 3549900 2.13110000e-07 2.13110000e-07 0.00000000e+00 0.00000000e+00
300 654900 3549900 2.15020000e-07 2.15020000e-07 0.00000000e+00 0.00000000e+00
300 655200 3549900 2.16960000e-07 2.16960000e-07 0.00000000e+00 0.00000000e+00
300 655500 3549900 2.18920000e-07 2.18920000e-07 0.00000000e+00 0.00000000e+00
300 655800 3549900 2.20680000e-07 2.20680000e-07 0.00000000e+00 0.00000000e+00
300 656100 3549900 2.22350000e-07 2.22350000e-07 0.00000000e+00 0.00000000e+00
300 656400 3549900 2.24040000e-07 2.24040000e-07 0.00000000e+00 0.00000000e+00
300 656700 3549900 2.25630000e-07 2.25630000e-07 0.00000000e+00 0.00000000e+00
300 657000 3549900 2.27000000e-07 2.27000000e-07 0.00000000e+00 0.00000000e+00
300 657300 3549900 2.28380000e-07 2.28380000e-07 0.00000000e+00 0.00000000e+00
300 657600 3549900 2.29650000e-07 2.29650000e-07 0.00000000e+00 0.00000000e+00
300 657900 3549900 2.30810000e-07 2.30810000e-07 0.00000000e+00 0.00000000e+00
300 658200 3549900 2.31860000e-07 2.31860000e-07 0.00000000e+00 0.00000000e+00
300 658500 3549900 2.32790000e-07 2.32790000e-07 0.00000000e+00 0.00000000e+00
300 658800 3549900 2.33730000e-07 2.33730000e-07 0.00000000e+00 0.00000000e+00
300 659100 3549900 2.34410000e-07 2.34410000e-07 0.00000000e+00 0.00000000e+00
300 659400 3549900 2.34970000e-07 2.34970000e-07 0.00000000e+00 0.00000000e+00
300 659700 3549900 2.35390000e-07 2.35390000e-07 0.00000000e+00 0.00000000e+00
300 660000 3549900 2.35680000e-07 2.35680000e-07 0.00000000e+00 0.00000000e+00
300 660300 3549900 2.35960000e-07 2.35960000e-07 0.00000000e+00 0.00000000e+00
300 660600 3549900 2.35980000e-07 2.35980000e-07 0.00000000e+00 0.00000000e+00
300 660900 3549900 2.35850000e-07 2.35850000e-07 0.00000000e+00 0.00000000e+00
300 661200 3549900 2.35700000e-07 2.35700000e-07 0.00000000e+00 0.00000000e+00
300 661500 3549900 2.35410000e-07 2.35410000e-07 0.00000000e+00 0.00000000e+00
300 661800 3549900 2.34970000e-07 2.34970000e-07 0.00000000e+00 0.00000000e+00
300 662100 3549900 2.34380000e-07 2.34380000e-07 0.00000000e+00 0.00000000e+00
300 662400 3549900 2.33630000e-07 2.33630000e-07 0.00000000e+00 0.00000000e+00
300 662700 3549900 2.32860000e-07 2.32860000e-07 0.00000000e+00 0.00000000e+00
300 663000 3549900 2.31940000e-07 2.31940000e-07 0.00000000e+00 0.00000000e+00
300 663300 3549900 2.30990000e-07 2.30990000e-07 0.00000000e+00 0.00000000e+00
300 663600 3549900 2.30020000e-07 2.30020000e-07 0.00000000e+00 0.00000000e+00
300 663900 3549900 2.28890000e-07 2.28890000e-07 0.00000000e+00 0.00000000e+00
300 664200 3549900 2.27600000e-07 2.27600000e-07 0.00000000e+00 0.00000000e+00
300 664500 3549900 2.26420000e-07 2.26420000e-07 0.00000000e+00 0.00000000e+00
300 664800 3549900 2.25210000e-07 2.25210000e-07 0.00000000e+00 0.00000000e+00
300 665100 3549900 2.23840000e-07 2.23840000e-07 0.00000000e+00 0.00000000e+00
300 665400 3549900 2.22590000e-07 2.22590000e-07 0.00000000e+00 0.00000000e+00
300 665700 3549900 2.21450000e-07 2.21450000e-07 0.00000000e+00 0.00000000e+00
300 666000 3549900 2.20150000e-07 2.20150000e-07 0.00000000e+00 0.00000000e+00
300 666300 3549900 2.18970000e-07 2.18970000e-07 0.00000000e+00 0.00000000e+00
300 666600 3549900 2.17900000e-07 2.17900000e-07 0.00000000e+00 0.00000000e+00
300 666900 3549900 2.16800000e-07 2.16800000e-07 0.00000000e+00 0.00000000e+00
300 667200 3549900 2.15830000e-07 2.15830000e-07 0.00000000e+00 0.00000000e+00
300 667500 3549900 2.15150000e-07 2.15150000e-07 0.00000000e+00 0.00000000e+00
300 667800 3549900 2.15530000e-07 2.15530000e-07 0.00000000e+00 0.00000000e+00
300 668100 3549900 2.15900000e-07 2.15900000e-07 0.00000000e+00 0.00000000e+00
300 668400 3549900 2.16360000e-07 2.16360000e-07 0.00000000e+00 0.00000000e+00
300 668700 3549900 2.16920000e-07 2.16920000e-07 0.00000000e+00 0.00000000e+00
300 669000 3549900 2.17570000e-07 2.17570000e-07 0.00000000e+00 0.00000000e+00
300 669300 3549900 2.18210000e-07 2.18210000e-07 0.00000000e+00 0.00000000e+00
300 669600 3549900 2.18950000e-07 2.18950000e-07 0.00000000e+00 0.00000000e+00
300 669900 3549900 2.19690000e-07 2.19690000e-07 0.00000000e+00 0.00000000e+00
300 670200 3549900 2.20530000e-07 2.20530000e-07 0.00000000e+00 0.00000000e+00
300 670500 3549900 2.21370000e-07 2.21370000e-07 0.00000000e+00 0.00000000e+00
300 670800 3549900 2.22200000e-07 2.22200000e-07 0.00000000e+00 0.00000000e+00
300 671100 3549900 2.23020000e-07 2.23020000e-07 0.00000000e+00 0.00000000e+00
300 671400 3549900 2.23840000e-07 2.23840000e-07 0.00000000e+00 0.00000000e+00
300 671700 3549900 2.24760000e-07 2.24760000e-07 0.00000000e+00 0.00000000e+00
300 672000 3549900 2.25560000e-07 2.25560000e-07 0.00000000e+00 0.00000000e+00
300 672300 3549900 2.26350000e-07 2.26350000e-07 0.00000000e+00 0.00000000e+00
300 672600 3549900 2.27140000e-07 2.27140000e-07 0.00000000e+00 0.00000000e+00
300 672900 3549900 2.27790000e-07 2.27790000e-07 0.00000000e+00 0.00000000e+00
300 673200 3549900 2.28430000e-07 2.28430000e-07 0.00000000e+00 0.00000000e+00
300 673500 3549900 2.29060000e-07 2.29060000e-07 0.00000000e+00 0.00000000e+00
300 673800 3549900 2.29550000e-07 2.29550000e-07 0.00000000e+00 0.00000000e+00
