x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
650000	3550000	5	33167.6	3.5019e-09	100.0000	4.9888	3.4626e-09	3.9283e-11	3.5028e-24	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
651000	3550000	3	32329.0	3.6737e-09	100.0000	4.9873	3.6272e-09	4.6532e-11	6.3890e-24	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
652000	3550000	2	31499.8	3.8236e-09	100.0000	4.9859	3.7696e-09	5.4008e-11	1.1240e-23	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
653000	3550000	2	30680.8	3.9565e-09	100.0000	4.9844	3.8948e-09	6.1748e-11	1.9251e-23	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
654000	3550000	3	29872.8	4.0703e-09	100.0000	4.9829	4.0007e-09	6.9567e-11	3.2113e-23	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
655000	3550000	5	29076.8	4.1655e-09	100.0000	4.9814	4.0881e-09	7.7371e-11	5.2339e-23	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
656000	3550000	8	28293.7	4.2347e-09	100.0000	4.9800	4.1500e-09	8.4704e-11	8.2913e-23	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
657000	3550000	11	27524.6	4.2786e-09	100.0000	4.9786	4.1872e-09	9.1420e-11	1.2803e-22	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
658000	3550000	16	26770.9	4.2926e-09	100.0000	4.9774	4.1955e-09	9.7115e-11	1.9218e-22	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
659000	3550000	22	26033.7	4.2751e-09	100.0000	4.9763	4.1736e-09	1.0152e-10	2.8038e-22	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
660000	3550000	28	25314.6	4.2218e-09	100.0000	4.9753	4.1176e-09	1.0421e-10	3.9633e-22	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
